interval_index,node_index,fraction,z_mid,group,raw_component_sum_kappa_cMpc_inv,authoritative_total_kappa_cMpc_inv,raw_sum_vs_authoritative_relative_residual,conditioned_kappa_sum_relative_residual,conditioned_current_sum_relative_residual,minimum_component_kappa_cMpc_inv,minimum_component_current_s-1_cMpc-3,exact_zero_G3_current
0,9,0.5975451610080641,5.95,G1,0.04078373382758131,0.0407837084755637,6.216211952725e-07,0.0,0.0,0.0,0.0,True
0,9,0.5975451610080641,5.95,G2a,0.02048018718698925,0.0204801914659452,2.089314427112367e-07,0.0,0.0,0.0,0.0,True
0,9,0.5975451610080641,5.95,G2b,0.0009301514170183634,0.0009301514170179,4.981855642449525e-13,0.0,1.2101742283080578e-16,0.0,0.0,True
0,9,0.5975451610080641,5.95,G3,1.919754268666292,1.9197542686662972,2.6602498020872757e-15,0.0,0.0,0.0,0.0,True
0,10,0.6913417161825448,5.95,G1,0.041738195993886715,0.0417381693162933,6.391653934307465e-07,0.0,0.0,0.0,0.0,True
0,10,0.6913417161825448,5.95,G2a,0.020883439244882757,0.0208834486869821,4.521331454159345e-07,0.0,0.0,0.0,0.0,True
0,10,0.6913417161825448,5.95,G2b,0.0009284943990412407,0.000928494399042,8.178565238437128e-13,0.0,0.0,0.0,0.0,True
0,10,0.6913417161825448,5.95,G3,1.9197827885200507,1.9197827885200565,3.0071942318543713e-15,0.0,0.0,0.0,0.0,True
0,11,0.777785116509801,5.95,G1,0.04261667598960489,0.0426166488288526,6.373272662091319e-07,0.0,0.0,0.0,0.0,True
0,11,0.777785116509801,5.95,G2a,0.021257875930361842,0.0212578897534672,6.502576463884064e-07,0.0,1.7532673763393098e-16,0.0,0.0,True
0,11,0.777785116509801,5.95,G2b,0.0009285235459968258,0.0009285235459973,5.107355998557937e-13,0.0,0.0,0.0,0.0,True
0,11,0.777785116509801,5.95,G3,1.9198090938656718,1.9198090938656776,3.0071530270888187e-15,0.0,0.0,0.0,0.0,True
0,12,0.8535533905932737,5.95,G1,0.043383968721135924,0.0433839416999547,6.228383167667831e-07,0.0,0.0,0.0,0.0,True
