interval_index,z_mid,group,component,conditioned_quadrature_average_rate_s-1_cMpc-3,canonical_component_average_rate_s-1_cMpc-3,relative_difference,load_bearing,interpretation
3,5.65,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G2a,EXPLICIT_HEI_ATOMIC,4.0066940303340484e+48,4.0067012307988157e+48,1.797105487152428e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G2b,EXPLICIT_HEI_ATOMIC,3.415550941071438e+48,3.415555938782458e+48,1.4632203685967697e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G2b,EXPLICIT_HI_ATOMIC,3.994290697144881e+48,3.9942906168819055e+48,2.0094425511191313e-08,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
3,5.65,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
