interval_index,z_mid,refinement,species_reservoir,assigned_total_cMpc-3,all_substeps_feasible,reservoir_end_cMpc-3
3,5.65,2,HeI,5.290005592217899e+63,True,2.015834947658673e+64
3,5.65,2,HeII,0.0,True,4.1547946042594327e+65
3,5.65,2,INVALID_HI,1.3873730429120436e+65,False,9.131184436137568e+62
3,5.65,4,HI,2.8468914799090167e+63,True,1.5575664555593592e+65
3,5.65,4,HeI,5.290005592217899e+63,True,2.015834947658673e+64
3,5.65,4,HeII,0.0,True,4.1547946042594327e+65
3,5.65,4,INVALID_HI,6.726668463671537e+64,False,9.131184436137568e+62
3,5.65,8,HI,2.8468914799090163e+63,True,1.5575664555593596e+65
3,5.65,8,HeI,5.290005592217899e+63,True,2.0158349476586732e+64
3,5.65,8,HeII,0.0,True,4.1547946042594312e+65
3,5.65,8,INVALID_HI,3.2989245176073524e+64,False,9.131184436137568e+62
4,5.55,1,HI,2.6530966421530485e+63,True,1.5403305871807797e+65
4,5.55,1,HeI,5.141456001260726e+63,True,1.996387894119306e+64
4,5.55,1,HeII,0.0,True,4.157064920038725e+65
4,5.55,1,INVALID_HI,3.394869634092912e+65,False,3.4511933298792214e+62
4,5.55,2,HI,2.653096642153048e+63,True,1.5403305871807797e+65
4,5.55,2,HeI,5.1414560012607254e+63,True,1.9963878941193064e+64
4,5.55,2,HeII,0.0,True,4.1570649200387243e+65
4,5.55,2,INVALID_HI,1.7165159176435492e+65,False,3.4511933298792214e+62
4,5.55,4,HI,2.6530966421530478e+63,True,1.5403305871807797e+65
4,5.55,4,HeI,5.1414560012607254e+63,True,1.996387894119306e+64
4,5.55,4,HeII,0.0,True,4.1570649200387234e+65
4,5.55,4,INVALID_HI,8.616531889801976e+64,False,3.4511933298792214e+62
4,5.55,8,HI,2.653096642153048e+63,True,1.5403305871807797e+65
4,5.55,8,HeI,5.1414560012607254e+63,True,1.9963878941193064e+64
4,5.55,8,HeII,0.0,True,4.157064920038723e+65
4,5.55,8,INVALID_HI,4.314325462887848e+64,False,3.4511933298792214e+62
