interval_index,z_mid,group,component,partition_lane,macro_index,macro_owner_current_s-1_cMpc-3
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,16,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,17,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,0,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,1,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,2,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,3,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,4,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,5,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,6,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,7,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,8,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,9,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,10,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,11,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,12,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,13,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,14,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,15,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,16,0.0
0,5.95,G1,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,17,0.0
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1.9581540199142921e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1.2661145858480528e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,2,5.571315245802681e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2.567624702842046e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2.449789255273696e+46
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,5,6.154861757302644e+44
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,6,2.1695357025903814e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,7,1.2550038446217105e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,8,5.148989232328539e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,9,2.2366067787382785e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,10,1.9356006396118074e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,11,4.8215518268537146e+45
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,12,2.500443236282689e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,13,6.583109705424204e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,14,2.534629279808854e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,15,1.4479584835192838e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,16,1.38408257712105e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,LOCAL_NEUTRAL_HAZARD_PRIMARY,17,3.7146155605223086e+45
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,0,1.9581540199142934e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,1,1.2661145858480534e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,2,5.571315245802685e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,3,2.567624702842048e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,4,2.4497892552736973e+46
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,5,6.154861757302648e+44
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,6,2.1695357025903817e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,7,1.2550038446217107e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,8,5.14898923232854e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,9,2.2366067787382792e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,10,1.935600639611808e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,11,4.821551826853715e+45
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,12,2.5004432362826873e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,13,6.583109705424199e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,14,2.5346292798088526e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,15,1.4479584835192827e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,16,1.3840825771210492e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,RECOMBINATION_WEIGHTED_AUDITOR,17,3.7146155605223067e+45
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,0,1.9581540199142924e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,1,1.2661145858480528e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,2,5.571315245802682e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,3,2.5676247028420466e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,4,2.449789255273696e+46
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,5,6.154861757302645e+44
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,6,2.169535702590381e+49
