interval_index,z_mid,refinement,substep,fraction_left,fraction_right,dt_s,mode,species_reservoir,reservoir_start_cMpc-3,assigned_absorption_cMpc-3,recombination_supply_cMpc-3,material_inflow_cMpc-3,material_outflow_cMpc-3,capacity_cMpc-3,slack_cMpc-3,overshoot_cMpc-3,feasible,reachable,status
0,5.95,8,0,0.0,0.125,79820369906373.1,OWNER_CORRECT,HeII,4.351023288334827e+65,0.0,5.118614632327739e+61,5.915925728811679e+62,3.1404508367813957e+63,4.326046567159058e+65,4.326046567159058e+65,0.0,True,True,PASS
0,5.95,8,0,0.0,0.125,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,4.584453555491792e+62,4.024142930460361e+64,2.0215126582414823e+64,0.0,0.0,2.0673571937964002e+64,0.0,1.9567857366639607e+64,False,True,CAPACITY_FAILURE
0,5.95,8,1,0.125,0.25,79820369906373.1,OWNER_CORRECT,HI,2.062946082177706e+64,5.1359129245971484e+61,2.0215126582414823e+64,0.0,0.0,4.0844587404191884e+64,4.079322827494591e+64,0.0,True,True,PASS
0,5.95,8,1,0.125,0.25,79820369906373.1,OWNER_CORRECT,HeI,2.5580216475731643e+63,6.426506816430021e+62,3.1404508367813957e+63,0.0,0.0,5.69847248435456e+63,5.055821802711558e+63,0.0,True,True,PASS
0,5.95,8,1,0.125,0.25,79820369906373.1,OWNER_CORRECT,HeII,4.326046567159058e+65,0.0,5.118614632327739e+61,6.426506816430021e+62,3.1404508367813957e+63,4.301580427070907e+65,4.301580427070907e+65,0.0,True,True,PASS
0,5.95,8,1,0.125,0.25,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.036645041024025e+64,2.0215126582414823e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,8,2,0.25,0.375,79820369906373.1,OWNER_CORRECT,HI,4.079322827494591e+64,6.054726761768677e+61,2.0215126582414823e+64,0.0,0.0,6.100835485736074e+64,6.094780758974305e+64,0.0,True,True,PASS
0,5.95,8,2,0.25,0.375,79820369906373.1,OWNER_CORRECT,HeI,5.055821802711558e+63,6.5038172007745965e+62,3.1404508367813957e+63,0.0,0.0,8.196272639492954e+63,7.545890919415495e+63,0.0,True,True,PASS
0,5.95,8,2,0.25,0.375,79820369906373.1,OWNER_CORRECT,HeII,4.301580427070907e+65,0.0,5.118614632327739e+61,6.5038172007745965e+62,3.1404508367813957e+63,4.2771915973671e+65,4.2771915973671e+65,0.0,True,True,PASS
0,5.95,8,2,0.25,0.375,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.04475675482052e+64,2.0215126582414823e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,8,3,0.375,0.5,79820369906373.1,OWNER_CORRECT,HI,6.094780758974305e+64,7.024247736684093e+61,2.0215126582414823e+64,0.0,0.0,8.116293417215787e+64,8.109269169479104e+64,0.0,True,True,PASS
0,5.95,8,3,0.375,0.5,79820369906373.1,OWNER_CORRECT,HeI,7.545890919415495e+63,6.5753685681167805e+62,3.1404508367813957e+63,0.0,0.0,1.068634175619689e+64,1.0028804899385212e+64,0.0,True,True,PASS
0,5.95,8,3,0.375,0.5,79820369906373.1,OWNER_CORRECT,HeII,4.2771915973671e+65,0.0,5.118614632327739e+61,6.5753685681167805e+62,3.1404508367813957e+63,4.252874319030636e+65,4.252874319030636e+65,0.0,True,True,PASS
0,5.95,8,3,0.375,0.5,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.0516009146265654e+64,2.0215126582414823e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,8,4,0.5,0.625,79820369906373.1,OWNER_CORRECT,HI,8.109269169479104e+64,8.044178142096723e+61,2.0215126582414823e+64,0.0,0.0,1.0130781827720586e+65,1.012273764957849e+65,0.0,True,True,PASS
0,5.95,8,4,0.5,0.625,79820369906373.1,OWNER_CORRECT,HeI,1.0028804899385212e+64,6.641500091820483e+62,3.1404508367813957e+63,0.0,0.0,1.3169255736166608e+64,1.2505105726984559e+64,0.0,True,True,PASS
0,5.95,8,4,0.5,0.625,79820369906373.1,OWNER_CORRECT,HeII,4.252874319030636e+65,0.0,5.118614632327739e+61,6.641500091820483e+62,3.1404508367813957e+63,4.228623172217876e+65,4.228623172217876e+65,0.0,True,True,PASS
0,5.95,8,4,0.5,0.625,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.0569178809823315e+64,2.0215126582414823e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,8,5,0.625,0.75,79820369906373.1,OWNER_CORRECT,HI,1.012273764957849e+65,9.113721006573852e+61,2.0215126582414823e+64,0.0,0.0,1.2144250307819972e+65,1.21351365868134e+65,0.0,True,True,PASS
0,5.95,8,5,0.625,0.75,79820369906373.1,OWNER_CORRECT,HeI,1.2505105726984559e+64,6.7026867957825665e+62,3.1404508367813957e+63,0.0,0.0,1.5645556563765955e+64,1.4975287884187698e+64,0.0,True,True,PASS
0,5.95,8,5,0.625,0.75,79820369906373.1,OWNER_CORRECT,HeII,4.228623172217876e+65,0.0,5.118614632327739e+61,6.7026867957825665e+62,3.1404508367813957e+63,4.204433212109077e+65,4.204433212109077e+65,0.0,True,True,PASS
0,5.95,8,5,0.625,0.75,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.0605023294068195e+64,2.0215126582414823e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,8,6,0.75,0.875,79820369906373.1,OWNER_CORRECT,HI,1.21351365868134e+65,1.0231460589135688e+62,2.0215126582414823e+64,0.0,0.0,1.4156649245054882e+65,1.4146417784465745e+65,0.0,True,True,PASS
0,5.95,8,6,0.75,0.875,79820369906373.1,OWNER_CORRECT,HeI,1.4975287884187698e+64,6.759370735114464e+62,3.1404508367813957e+63,0.0,0.0,1.8115738720969093e+64,1.7439801647457646e+64,0.0,True,True,PASS
0,5.95,8,6,0.75,0.875,79820369906373.1,OWNER_CORRECT,HeII,4.204433212109077e+65,0.0,5.118614632327739e+61,6.759370735114464e+62,3.1404508367813957e+63,4.18029993593961e+65,4.18029993593961e+65,0.0,True,True,PASS
0,5.95,8,6,0.75,0.875,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.0621943943152497e+64,2.0215126582414823e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,8,7,0.875,1.0,79820369906373.1,OWNER_CORRECT,HI,1.4146417784465745e+65,1.139542156929421e+62,2.0215126582414823e+64,0.0,0.0,1.6167930442707228e+65,1.6156535021137934e+65,0.0,True,True,PASS
0,5.95,8,7,0.875,1.0,79820369906373.1,OWNER_CORRECT,HeI,1.7439801647457646e+64,6.811955488635574e+62,3.1404508367813957e+63,0.0,0.0,2.0580252484239042e+64,1.9899056935375485e+64,0.0,True,True,PASS
0,5.95,8,7,0.875,1.0,79820369906373.1,OWNER_CORRECT,HeII,4.18029993593961e+65,0.0,5.118614632327739e+61,6.811955488635574e+62,3.1404508367813957e+63,4.1562192445236644e+65,4.1562192445236644e+65,0.0,True,True,PASS
0,5.95,8,7,0.875,1.0,79820369906373.1,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.061887375356438e+64,2.0215126582414823e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
1,5.85,1,0,0.0,1.0,662030730057817.6,OWNER_CORRECT,HI,3.749247656263292e+62,1.536450779641145e+63,1.6288259014382386e+65,0.0,0.0,1.6325751490945019e+65,1.6172106412980904e+65,0.0,True,True,PASS
1,5.85,1,0,0.0,1.0,662030730057817.6,OWNER_CORRECT,HeI,4.243877658835477e+61,5.436301286414943e+63,2.467091463276587e+64,0.0,0.0,2.4713353409354227e+64,1.9277052122939284e+64,0.0,True,True,PASS
1,5.85,1,0,0.0,1.0,662030730057817.6,OWNER_CORRECT,HeII,4.351326991785062e+65,0.0,3.9146546968014654e+62,5.436301286414943e+63,2.467091463276587e+64,4.1628955130183548e+65,4.1628955130183548e+65,0.0,True,True,PASS
1,5.85,1,0,0.0,1.0,662030730057817.6,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,3.749247656263292e+62,3.183651677949077e+65,1.6288259014382386e+65,0.0,0.0,1.6325751490945019e+65,0.0,1.5510765288545753e+65,False,True,CAPACITY_FAILURE
1,5.85,2,0,0.0,0.5,331015365028908.8,OWNER_CORRECT,HI,3.749247656263292e+62,5.914563488462971e+62,8.144129507191193e+64,0.0,0.0,8.181621983753826e+64,8.122476348869195e+64,0.0,True,True,PASS
1,5.85,2,0,0.0,0.5,331015365028908.8,OWNER_CORRECT,HeI,4.243877658835477e+61,2.677726422771375e+63,1.2335457316382936e+64,0.0,0.0,1.237789609297129e+64,9.700169670199915e+63,0.0,True,True,PASS
1,5.85,2,0,0.0,0.5,331015365028908.8,OWNER_CORRECT,HeII,4.351326991785062e+65,0.0,1.9573273484007327e+62,2.677726422771375e+63,1.2335457316382936e+64,4.256707010197347e+65,4.256707010197347e+65,0.0,True,True,PASS
1,5.85,2,0,0.0,0.5,331015365028908.8,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,3.749247656263292e+62,1.610665645367218e+65,8.144129507191193e+64,0.0,0.0,8.181621983753826e+64,0.0,7.925034469918355e+64,False,True,CAPACITY_FAILURE
1,5.85,2,1,0.5,1.0,331015365028908.8,OWNER_CORRECT,HI,8.122476348869195e+64,9.449944307948478e+62,8.144129507191193e+64,0.0,0.0,1.6266605856060389e+65,1.6172106412980904e+65,0.0,True,True,PASS
1,5.85,2,1,0.5,1.0,331015365028908.8,OWNER_CORRECT,HeI,9.700169670199915e+63,2.7585748636435683e+63,1.2335457316382936e+64,0.0,0.0,2.203562698658285e+64,1.927705212293928e+64,0.0,True,True,PASS
1,5.85,2,1,0.5,1.0,331015365028908.8,OWNER_CORRECT,HeII,4.256707010197347e+65,0.0,1.9573273484007327e+62,2.7585748636435683e+63,1.2335457316382936e+64,4.162895513018355e+65,4.162895513018355e+65,0.0,True,True,PASS
