shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,model,refinement,combined_error,cone_pass,error_M,error_I,error_U,error_C,error_J_G1,error_J_G2a,minimum_M,minimum_I,minimum_neutral,minimum_U,minimum_C,minimum_J_G1,minimum_J_G2a,minimum_cycling
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,1.05926475138976191e-03,True,2.99018118200484179e-05,4.01532959161471565e-04,1.05926475138976191e-03,6.52361837773373255e-05,1.63281071736332380e-04,5.56633726965095917e-05,1.06121945022418308e-143,1.06068020949353160e-143,5.39240730651485425e-147,8.30895495159965851e-155,2.55990467612408658e-160,5.66439947623324991e-162,1.39611481678756966e-162,2.48929953319387848e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,5.67767669088496468e-04,True,1.49781760227040212e-05,2.05839751095736041e-04,5.67767669088496468e-04,8.02302576117529331e-06,8.24801878530199739e-05,2.79338008631362194e-05,1.05830460004045072e-143,1.05787027924875055e-143,4.34123524418068828e-147,8.28905512415347440e-155,2.55689729935424763e-160,5.65185172061418844e-162,1.39318772495732099e-162,2.48644690489853272e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,2.94681543739818720e-04,True,7.49592656389714807e-06,1.04243801189097716e-04,2.94681543739818720e-04,1.89920286093327018e-06,4.14536903502593369e-05,1.39925877329138313e-05,1.05684116208936571e-143,1.05637872872456322e-143,3.78206945447497355e-147,8.27690551303075152e-155,2.55374736111861235e-160,5.64542812615322827e-162,1.39171196720292196e-162,2.48337596018505081e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,1.04579399668293903e-03,True,2.99487921240270857e-05,4.01848617673951000e-04,1.04579399668293903e-03,5.32339426362654750e-05,7.50580656161879239e-05,2.57454267696509889e-05,4.65516970057064935e-144,4.65280429801029295e-144,2.36540256035639919e-147,3.64480494659824699e-155,1.12158707297678466e-160,2.52734874142907807e-162,6.06268891705921967e-163,1.09025089664543461e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,5.59996103159222805e-04,True,1.50017304819772691e-05,2.06001568620670171e-04,5.59996103159222805e-04,1.05243126532362792e-05,3.77051077196822535e-05,1.28944990139085865e-05,4.64237326445474362e-144,4.64046844309289899e-144,1.90395590875285352e-147,3.63604887256154915e-155,1.11968684129416269e-160,2.52170233251306933e-162,6.04993431646045651e-163,1.08841988365257149e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,2.90482629292498212e-04,True,7.50771993736035400e-06,1.04325750733920533e-04,2.90482629292498212e-04,3.88165956213347894e-06,1.88969228298032557e-05,6.45271149558626787e-06,4.63594862858915084e-144,4.63392039767344076e-144,1.65849058689388924e-147,3.63072440676609026e-155,1.11826176437089160e-160,2.51884891345255317e-162,6.04353261301702293e-163,1.08702974262334915e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,1.03597768062603794e-03,False,2.99821819821723686e-05,4.02072812676442860e-04,1.03597768062603794e-03,3.64365246006191179e-05,3.55258115815124668e-05,2.57454267693878700e-05,2.14891966050866289e-144,2.14782775744774882e-144,1.09190306091406787e-147,1.68250843120308724e-155,5.16877502668285824e-161,1.18096867459120170e-162,2.70297904133641279e-163,-1.99607577110041179e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,5.54343273805023686e-04,True,1.50184711467919746e-05,2.06116498771368204e-04,5.54343273805023686e-04,1.40184578891296686e-05,1.78022167466114968e-05,1.28944990142043009e-05,2.14300926184561514e-144,2.14213008277045087e-144,8.78779526706443520e-148,1.67845759079035502e-155,5.15625904562408368e-161,1.17832035492931402e-162,2.69729120659274085e-163,5.01145409806522481e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,2.87431750140596984e-04,True,7.51610175001972710e-06,1.04383955020103425e-04,2.87431750140596984e-04,6.65236531540717943e-06,8.91097289998366354e-06,6.45271149665988213e-06,2.14004185385612621e-144,2.13910567685597822e-144,7.65408682777439494e-148,1.67600139321342017e-155,5.14940475838895810e-161,1.17698955906507600e-162,2.69443640679071701e-163,5.00476143841454380e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,1.30066842984986322e-03,True,2.97847887705166431e-05,4.22164015868099415e-04,1.30066842984986322e-03,4.72193855090574530e-05,7.04308141753399010e-05,3.06891645898725712e-05,4.64680152254761166e-144,4.64444699418082001e-144,2.35452836679165511e-147,3.63884114791832234e-155,7.88995805591877075e-161,2.04323938602156873e-162,5.77877440131323519e-163,7.62784637330348140e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,7.08674321647369070e-04,True,1.49195045340619602e-05,2.16711648403919091e-04,7.08674321647369070e-04,1.04221182680716695e-05,3.53703796639487733e-05,1.53755518123923439e-05,4.63406327332356181e-144,4.63219470652487915e-144,1.86686217219757806e-147,3.63054454197753950e-155,7.87629404675301703e-161,2.03875050252045177e-162,5.76686247539036926e-163,7.61475037174706915e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,3.71381677605869419e-04,True,7.46655066433718050e-06,1.09828466841906515e-04,3.71381677605869419e-04,4.18580548838521048e-06,1.77242220326421551e-05,7.69554471164124580e-06,4.62766792356261848e-144,4.62566808321247201e-144,1.60693808344713463e-147,3.62501738364285940e-155,7.86660095441263367e-161,2.03648354955444934e-162,5.76087930717335181e-163,7.60534380638545473e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,6,5.75000000000000000e+00,1.08804373309742832e+01,TWO_MODE,2,5.53292806031480885e-02,True,4.24491514877001902e-02,4.22761229250296217e-02,5.53292806031480885e-02,1.36823438237566753e-02,9.06067669725493970e-03,1.74589360804213237e-02,3.11200520176835154e-143,3.10966586933665408e-143,2.33933243169746032e-146,2.45033401569092916e-154,5.24858823659298110e-160,6.17669852058516294e-162,3.33366965796825607e-162,5.15100007423649511e-160
