z,shape_lane,group,macro_index,species,q_macro_group,j_abs_s-1_cMpc-3,threshold_supported,micro_node_count
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,5,HeII,1.1433616721495e-05,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,6,HI,0.209739516420914,8.442520395137758e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,6,HeI,0.209739516420914,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,6,HeII,0.209739516420914,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,7,HI,0.15393640242999418,6.196310734603036e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,7,HeI,0.15393640242999418,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,7,HeII,0.15393640242999418,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,8,HI,0.06873303283841382,2.766670017458473e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,8,HeI,0.06873303283841382,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,8,HeII,0.06873303283841382,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,9,HI,0.03212425903626709,1.2930787517794134e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,9,HeI,0.03212425903626709,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,9,HeII,0.03212425903626709,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,10,HI,0.0031258098112885062,1.258213689697126e+48,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,10,HeI,0.0031258098112885062,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,10,HeII,0.0031258098112885062,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,11,HI,8.007128880345146e-05,3.223062112108014e+46,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,11,HeI,8.007128880345146e-05,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,11,HeII,8.007128880345146e-05,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,12,HI,0.22151917177608293,8.916679877722465e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,12,HeI,0.22151917177608293,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,12,HeII,0.22151917177608293,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,13,HI,0.06439970393306071,2.5922430983610495e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,13,HeI,0.06439970393306071,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,13,HeII,0.06439970393306071,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,14,HI,0.024473935027696736,9.851347955143989e+48,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,14,HeI,0.024473935027696736,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,14,HeII,0.024473935027696736,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,15,HI,0.014814879460490545,5.963345588424706e+48,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,15,HeI,0.014814879460490545,0.0,False,2560
