history_provenance,interval_index,z_mid,sequence,level,delta_chi_cMpc,group,component,finite_cell_deposition_rate,differential_hazard_rate,relative_difference,observed_order
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2b,EXPLICIT_HEI_ATOMIC,1.546859486130007e+48,1.5470485527076108e+48,0.00012221114668503104,0.9998775668008664
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2b,TOTAL_PHYSICAL,2.5081780072367412e+48,2.508486157186414e+48,0.00012284299388696704,0.9998770133026198
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G3,TOTAL_PHYSICAL,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G1,EFFECTIVE_HI_SUBGRID,4.014624681899578e+50,4.025240782605081e+50,0.002637382775057808,0.9973091246458475
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G1,TOTAL_PHYSICAL,4.014624681899578e+50,4.025240782605081e+50,0.002637382775057808,0.9973091246458475
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2a,EFFECTIVE_HI_SUBGRID,9.80640130557276e+49,9.819056446195713e+49,0.001288834695298633,0.9987327183140705
