interval_index,node_index,fraction,group,component,owner_total_s_inv_cMpc3,allocation_sum_relative_residual,minimum_allocation,negative_allocation_count,zero_support_nonzero_allocation_count,support_count,allocation_sha256
0,3,0.0842651938487273,G1,EFFECTIVE_HI_SUBGRID,4.2112068691209255e+50,0.0,1.0470082147643357e-165,0,0,46080,19fd2eb2b6784e0d887625dc428aa31bb203832956ae89176f6d6402b556ac8e
0,3,0.0842651938487273,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G2a,EFFECTIVE_HI_SUBGRID,7.691329654366885e+49,0.0,1.8884104105736518e-166,0,0,46080,efb3eaea3aa15f24220d5dfa6255688db550dfe18aca0ccc70cb0660cd10dc01
0,3,0.0842651938487273,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G2a,EXPLICIT_HEI_ATOMIC,6.751389260870161e+48,0.0,1.0748197117767542e-166,0,0,46080,99a6fccd4dcdbd39e128e70c47362bb511ec778d7d2c9007145f4c9c2eb5c6f3
0,3,0.0842651938487273,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G2b,EXPLICIT_HI_ATOMIC,5.528858851457397e+47,0.0,1.3528613942749704e-168,0,0,46080,9966870d9ab2a7ebd0805ec897329983ec25d01c0be8a92b69b56704beb4367e
0,3,0.0842651938487273,G2b,EXPLICIT_HEI_ATOMIC,1.2128339558279429e+48,0.0,1.9308290375009972e-167,0,0,46080,eba98b79c652ed7d9b768405c6137999a7768fb56c1fc86f8b2e7483b85d25d7
0,3,0.0842651938487273,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,3,0.0842651938487273,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G1,EFFECTIVE_HI_SUBGRID,4.18120799941582e+50,0.0,1.0377598452338849e-165,0,0,46080,1c61d2880cd7d597c0d628f1beeacfa432c71a08a5d2184e3be506cd1614a4d8
0,4,0.1464466094067262,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G2a,EFFECTIVE_HI_SUBGRID,8.048644259902542e+49,0.0,1.9722209483847223e-166,0,0,46080,96d297b5026f15c220dc4d633f047ca7bdaa53c231e462c2884f00f8128dae2c
0,4,0.1464466094067262,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G2a,EXPLICIT_HEI_ATOMIC,6.750670059939493e+48,0.0,1.073012531311528e-166,0,0,46080,ae022aecf49495fe3660d2039ae27bd36076b86122cffe78a69643df346b97bf
0,4,0.1464466094067262,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G2b,EXPLICIT_HI_ATOMIC,6.06751934132501e+47,0.0,1.4816140917060415e-168,0,0,46080,c786dda2a6088bac8c7c0ebb034b02a05b8ef88bccc1983755298a4b95409b14
0,4,0.1464466094067262,G2b,EXPLICIT_HEI_ATOMIC,1.2671187860659317e+48,0.0,2.014073157237346e-167,0,0,46080,4c3c7d2362f47e740d499a3a9d7b5d6c16953c6094b5da84e6723bb5006e2a54
0,4,0.1464466094067262,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,4,0.1464466094067262,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
