shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_pass,two_mode_tested,two_mode_pass,refinement_pass,overall_pass,max_endpoint_relative_residual,max_current_Gamma_relative_residual,H_nuclei_identity_residual,He_nuclei_identity_residual,KL_work,TV_work,node_rate_count,lp_minimum_normalized_slack,lp_max_stationarity,lp_max_complementarity,refinement_order_2_to_4,refinement_order_4_to_8
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,4,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.42517119839420225e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.46339177735544614e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,6,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.83678950963897151e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,7,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.59212742674227981e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,8,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.04693577177324155e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,9,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.31884883431005094e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,10,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.68011877744696164e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,11,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.52175944224825405e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,12,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.34185353584955118e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,13,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.76243712293575112e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,14,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.84809956914561610e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,15,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.78860007182995557e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,16,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.45256557360679261e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,17,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.04882442652903511e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,0,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.33963623708326834e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,1,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.31277831249984095e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.50234186341086567e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,3,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.02783498545344500e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,4,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.96005725911350761e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.11182655576285834e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,6,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.21679272392903365e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,7,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.98890501905118279e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,8,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.60116543924340328e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,9,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.79882985789194517e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,10,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.36775199125574596e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,11,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.34468692928191404e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,12,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.09093906736155390e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,13,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.39684751331361443e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,14,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.03235190179710839e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,15,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.60827385855036878e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,16,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.78376676888124375e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,17,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.94266835383268777e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,0,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,7.36557890606413615e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,1,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,5.93251343802623018e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,2,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,5.67595401251275128e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,3,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,5.95921901742732856e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,4,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,6.96174429530142041e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,6.74231771532397501e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,6,5.75000000000000000e+00,1.08804373309742832e+01,True,NONE,False,True,False,False,False,,6.01964774273226345e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-8.68445940160889052e-17,0.00000000000000000e+00,1.96472373683641470e-21,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,7,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,6.19252128954901262e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,8,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,6.41482226350705999e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,9,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,False,False,False,False,False,,5.90807701339180183e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
