shape_lane,interval_index,substep,z_mid,dt_Myr,macro_index,family,identifiability,status,usable,endpoint_changed,endpoint_previous,endpoint_target,evidence_secant_Myr_inv,evidence_start_process_Myr_inv,evidence_end_process_Myr_inv,k_min_Myr_inv,k_max_Myr_inv,a_lower_fast,a_upper_slow
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,11,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.26863377552765679e+62,6.16483468917296498e+61,6.12712084064103712e-02,4.69578154739852104e-03,9.77325093546900919e-02,4.69578154739852104e-03,9.77325093546900919e-02,1.49625845878057895e+00,1.93630090730373894e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,11,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,3.75548565310026942e+50,1.81744289880155711e+50,6.15923802084595712e-02,6.22335911848423753e-02,1.58975832981707699e-01,6.15923802084595712e-02,1.58975832981707699e-01,1.19917511579326064e+00,1.99527039527309302e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,12,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,4.44910546224500721e+49,3.03853980460638834e+49,3.33653092123500708e-02,1.14682340214432976e+00,8.66196248686058112e+00,3.33653092123500708e-02,8.66196248686058112e+00,1.00000000000000000e+00,3.18545217517622303e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,12,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.53580442812783285e+65,8.68222884422381219e+64,4.91826622250795056e-02,1.43486153456185827e-02,1.08200869473170910e-01,1.43486153456185827e-02,1.08200869473170910e-01,1.41781230822570725e+00,6.68522938427101021e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,12,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,2.30991408664849413e+49,1.77264162208007687e+49,2.33082449143373997e-02,1.46470361256544526e-02,7.35799714758155789e-03,7.35799714758155789e-03,2.33082449143373997e-02,4.32124296391166318e+00,1.25422392894548054e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,12,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.46809710660862006e+49,9.31079849775735404e+48,3.96435985354531284e-02,9.01795789953546180e-03,4.79531619555896745e-03,4.79531619555896745e-03,3.96435985354531284e-02,2.77098039723754441e+00,1.89716617668085199e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,12,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.55534430862099166e+65,8.79332409920793685e+64,4.91767865507276858e-02,4.69578154739852364e-03,9.77325093546900919e-02,4.69578154739852364e-03,9.77325093546900919e-02,1.49625845878057895e+00,1.93630090730373787e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,12,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,4.60422333799826657e+53,2.59234273857066344e+53,4.95135419359203632e-02,1.19582593627118400e-01,2.17199435913080025e-01,4.95135419359203632e-02,2.17199435913080025e-01,1.09416647704309211e+00,2.33486974999359376e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,13,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,2.86479719518216485e+49,1.69846258644715526e+49,4.52683930824253136e-02,1.14682340214432932e+00,8.66196248686053316e+00,4.52683930824253136e-02,8.66196248686053316e+00,1.00000000000000000e+00,2.49865390939884557e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,13,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,9.88910749674352011e+64,4.85313400750289587e+64,6.05016226925750439e-02,1.43486153456185775e-02,1.08200869473170952e-01,1.43486153456185775e-02,1.08200869473170952e-01,1.41781230822570703e+00,6.68522938427101288e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,13,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.54972418893861657e+49,1.01860232822347699e+49,3.66261315140020138e-02,9.82671447019862858e-03,4.22808137427887771e-03,4.22808137427887771e-03,3.66261315140020138e-02,2.95219995496090970e+00,2.14486608400163270e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,13,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,8.82952662993872415e+48,4.92705753756974294e+48,5.02430472500223144e-02,5.42363983030732036e-03,2.53756955561330053e-03,2.53756955561330053e-03,5.02430472500223144e-02,2.30957705503801591e+00,3.54002769877641725e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,13,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.00149255860336522e+65,4.91523328750452234e+64,6.04959989853262742e-02,4.69578154739852104e-03,9.77325093546901336e-02,4.69578154739852104e-03,9.77325093546901336e-02,1.49625845878057850e+00,1.93630090730373894e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,13,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,2.96467822950503303e+53,1.44905034518071504e+53,6.08182715647949956e-02,1.18245229047298492e-01,2.15982174142992811e-01,6.08182715647949956e-02,2.15982174142992811e-01,1.09559438841094181e+00,2.01285930333662622e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,14,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,5.45290434530895244e+48,4.13247903142522663e+48,2.43978447316629161e-02,1.14682340214432110e+00,8.66196248686041415e+00,2.43978447316629161e-02,8.66196248686041415e+00,1.00000000000000000e+00,4.15258754842150157e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,14,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.88230976108558960e+64,1.18080166632663021e+64,4.05617795492106137e-02,1.43486153456185948e-02,1.08200869473170966e-01,1.43486153456185948e-02,1.08200869473170966e-01,1.41781230822570681e+00,6.68522938427100577e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,14,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,2.92305390875849076e+48,2.45135189919914665e+48,1.55447728317123866e-02,1.85349214701491065e-03,1.01752322958888197e-03,1.01752322958888197e-03,1.55447728317123866e-02,6.21144362842349551e+00,8.75317184475341179e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,14,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.70734512924101706e+48,1.22576704863233916e+48,2.90793803225175111e-02,1.04875668143231040e-03,6.31303596754347377e-04,6.31303596754347377e-04,2.90793803225175111e-02,3.57262860859484110e+00,1.40775132969923050e+02
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,14,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.90625819300120407e+64,1.19591085828181696e+64,4.05557468583706282e-02,4.69578154739852278e-03,9.77325093546901058e-02,4.69578154739852278e-03,9.77325093546901058e-02,1.49625845878057873e+00,1.93630090730373823e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,14,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,5.64301962711286677e+52,3.52564149173568150e+52,4.09015354774080533e-02,1.18546254521721697e-01,2.16468699917147983e-01,4.09015354774080533e-02,2.16468699917147983e-01,1.09502086510402585e+00,2.70345096781448113e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,15,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,6.62922637846219648e+48,4.12528263463888366e+48,4.12364327463092886e-02,1.14682340214432887e+00,8.66196248686052606e+00,4.12364327463092886e-02,8.66196248686052606e+00,1.00000000000000000e+00,2.68617914548491532e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,15,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,2.28836904710428587e+64,1.17874539035953102e+64,5.66832365234322746e-02,1.43486153456185619e-02,1.08200869473170910e-01,1.43486153456185619e-02,1.08200869473170910e-01,1.41781230822570725e+00,6.68522938427101909e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,15,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,3.69308795831569403e+48,2.52196548921971239e+48,3.33737151405969976e-02,2.34176643422932340e-03,1.04683398182892789e-03,1.04683398182892789e-03,3.33737151405969976e-02,3.18479152695587331e+00,8.50949345433968745e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,15,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.93619902375277510e+48,1.14875003665174025e+48,4.52086502142201654e-02,1.18933285834605849e-03,5.91637726531391581e-04,5.91637726531391581e-04,4.52086502142201654e-02,2.50118357070067576e+00,1.50179688024794473e+02
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,15,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,2.31748372921206452e+64,1.19382827081026634e+64,5.66775220035377059e-02,4.69578154739852191e-03,9.77325093546900781e-02,4.69578154739852191e-03,9.77325093546900781e-02,1.49625845878057895e+00,1.93630090730373894e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,15,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,6.86035407872481186e+52,3.51950185620263038e+52,5.70050129897402003e-02,1.17253782567075956e-01,2.15115965321414165e-01,5.70050129897402003e-02,2.15115965321414165e-01,1.09662482606122746e+00,2.10675061718378709e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,16,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,6.60187646123377171e+47,4.16432116659983096e+47,4.00995258794573373e-02,1.14682340214432932e+00,8.66196248686029691e+00,4.00995258794573373e-02,8.66196248686029691e+00,1.00000000000000000e+00,2.74600706851888088e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,16,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,2.27892802028557077e+63,1.18990013869337357e+63,5.56036526803121364e-02,1.43486153456185792e-02,1.08200869473171049e-01,1.43486153456185792e-02,1.08200869473171049e-01,1.41781230822570636e+00,6.68522938427101199e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,16,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,3.72665260774629223e+47,2.58026082442585649e+47,3.21931374455589336e-02,2.36304959084525427e-04,1.07103159204079127e-04,1.07103159204079127e-04,3.21931374455589336e-02,3.28099508786864424e+00,8.27327447403098859e+02
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,16,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.87940986451892610e+47,1.12519155660627114e+47,4.44587564625193929e-02,1.15444945418869535e-04,5.79504464176718980e-05,5.79504464176718980e-05,4.44587564625193929e-02,2.53352669854980306e+00,1.52863014520842648e+03
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,16,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,2.30792258518806534e+63,1.20512575203363159e+63,5.55979135579284384e-02,4.69578154739852191e-03,9.77325093546901474e-02,4.69578154739852191e-03,9.77325093546901474e-02,1.49625845878057850e+00,1.93630090730373894e+01
