shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,family,k_min_Myr_inv,k_max_Myr_inv,selected_k_Myr_inv,two_mode_weight_slow,selected_model
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437711547e-05,2.19534473958154175e+00,4.51364634480813805e-04,9.95888863637605093e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,3.42933246619775532e-16,6.07973154955195961e-04,6.07973154955195961e-04,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,2.30642706504134541e-16,2.60363352987616134e-04,2.60363352987616134e-04,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601592e-05,4.41846920437740889e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551984886e-05,1.65834332097442652e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097805618e-05,9.70165947397927941e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437936316e-05,2.19534473958155152e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,2.64674649554502133e-17,6.15420102323588255e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,9.55867932274080632e-17,2.47987249597927202e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973714417e-05,4.41846920437925745e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551859593e-05,1.65834332097123602e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097266228e-05,9.71308859915023665e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437650629e-05,2.19534473957731580e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,1.63075396871500000e-06,1.64248601165539314e-06,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,1.11023266081353747e-16,6.67211105468341340e-07,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,1.08549562769839642e-03,1.08549562769839642e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,I,1.08630200483479265e-03,1.62836130244675727e-02,1.62836130244675727e-02,0.00000000000000000e+00,TWO_MODE
