shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,effective_HI_G2b,effective_HI_G3,primary_HeII_G3,exact_zero_pass
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,17,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,0,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,1,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,3,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,4,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,6,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,7,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,8,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,9,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,10,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,11,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,12,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,13,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,14,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,15,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,16,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,17,5.84999999999999964e+00,1.04892439548289094e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,0,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,1,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,2,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,3,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,4,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,6,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,7,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,8,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,9,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,10,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,11,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
