shape_lane,interval_index,substep,substeps_per_interval,z_mid,projection_method,feasible,identity_projection,optimizer_status,generalized_KL_total,generalized_KL_mass,generalized_KL_G1,generalized_KL_G2a,TV_mass,TV_G1,TV_G2a,serialization_TV_mass,serialization_TV_G1,serialization_TV_G2a,mass_sum_relative_residual,kappa_sum_relative_residual_max,J_sum_relative_residual_max,mass_transfer_sum_relative_residual,current_Gamma_relation_relative_residual_max,mass_cap_slack_min_fraction_cosmic_H,volume_filling_max,cycling_slack_min_fraction_of_global_J,cycling_capacity_over_global_J,prior_mass_upper_slack_min_normalized,prior_cycling_slack_min_normalized,stationarity_residual_max,complementarity_residual_max,KKT_gate,exact_zero_gate,R2B_core_gate
RECOMBINATION_WEIGHTED_AUDITOR,1,2,2,5.85,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.877406409464993e-18,1.3369737446051327e-16,8.898928143853679e-17,0.0,0.0,0.0,0.0,0.0,4.651830116197763e-05,0.05158575202169561,1.0812978153476703e-06,1.0888108901173597,0.00038269224723428596,1.0812978153476735e-06,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,1,2,2,5.85,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9205696021328276e-18,1.0497872238385622e-16,2.576614933241274e-16,0.0,0.0,1.5613182694746405e-16,0.0,0.0,4.651829267476153e-05,0.051585703804269634,1.0812868755354903e-06,1.0888108901173597,0.0003826921774124933,1.0812868755354934e-06,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,2,5.75,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4389056894777152e-16,1.1476449402348515e-16,4.8043708768263915e-17,0.0,0.0,1.1110485383608857e-16,0.0,0.0,4.133087237289681e-05,0.09065437860225976,3.5482077503352003e-06,1.2217523671259647,0.00019092408470628935,3.548207750335195e-06,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,2,1,2,5.75,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9815559743351372e-18,4.724749779784487e-17,1.6266420719071584e-17,0.0,0.0,1.1110485383608857e-16,0.0,0.0,4.1330860462764455e-05,0.09065408877683444,3.548169874319485e-06,1.2217523671259647,0.0001909240296882955,3.548169874319483e-06,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967001202699217e-17,1.8915431558314683e-16,1.6689683082814558e-16,0.0,0.0,1.1110485383608857e-16,0.0,0.0,4.133084319418174e-05,0.0906540440460655,3.5481460849716504e-06,1.2217523671259647,0.00019092394991768007,3.5481460849716415e-06,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869126779167182e-17,5.133358473539962e-17,1.9254752956984755e-17,0.0,0.0,2.260098278395595e-16,0.0,0.0,4.189589428541458e-05,0.08662567701153562,2.8167713512402425e-06,1.1776316253868275,0.00020342222755221015,2.8167713512402404e-06,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,2,2,2,5.75,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4501204056993622e-17,1.2007539060276962e-17,9.107298248878237e-18,0.0,0.0,1.1300491391977974e-16,0.0,0.0,4.189588246520388e-05,0.08662538908070941,2.8167397019878293e-06,1.1776316253868275,0.00020342217016013965,2.816739701987828e-06,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,2,2,2,5.75,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.238404754056349e-17,1.6571860799851484e-16,1.8859781493680075e-16,0.0,0.0,1.1222429278933389e-16,0.0,0.0,4.189586532711765e-05,0.0866253446423471,2.8167198235750546e-06,1.1776316253868275,0.0002034220869473493,2.8167198235750592e-06,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,2,5.65,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.239583502654078e-17,1.3671281175273858e-16,1.810422810472924e-16,0.0,0.0,2.1281164491015042e-16,0.0,0.0,4.7673496241025176e-05,0.03780206772111929,1.9034390021200382e-06,1.123836103768764,0.00048693666880988935,1.9034390021200348e-06,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,2,5.65,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.962081314076715e-17,1.4194408723498114e-16,3.349507086622405e-17,0.0,0.0,2.1281164491015042e-16,0.0,0.0,4.767351169261892e-05,0.03780193886008054,1.9034194580037629e-06,1.123836103768764,0.0004869368266323312,1.9034194580037535e-06,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,2,5.65,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.064932406458668e-17,3.8021614936351034e-17,3.0193759954300417e-16,0.0,0.0,2.1281164491015042e-16,0.0,0.0,4.767352379697053e-05,0.03780190975656792,1.903404147683066e-06,1.123836103768764,0.0004869369502660715,1.9034041476830645e-06,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,2,5.65,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.062546519149502e-17,1.2780541327941236e-16,1.4853654466346136e-16,0.0,0.0,1.8941378318157426e-16,0.0,0.0,4.7245835408781336e-05,0.043235857342513145,2.0289317983979718e-06,1.1317670889348856,0.00042168282194273246,2.028931798397967e-06,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,3,2,2,5.65,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.285344574391091e-17,1.1395473052591004e-16,2.654940069873879e-17,0.0,0.0,1.8941378318157426e-16,0.0,0.0,4.724582269821073e-05,0.0432357112846066,2.028911204080506e-06,1.1317670889348856,0.0004216827084970671,2.0289112040805e-06,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,2,5.65,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4265799872941196e-17,9.795427815227631e-17,2.1139994187688652e-16,0.0,0.0,0.0,0.0,0.0,4.724581565041857e-05,0.04323567829714841,2.0288950710612225e-06,1.1317670889348856,0.0004216826455935152,2.0288950710612225e-06,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,2,5.55,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0602141994192626e-16,2.0551221586052187e-16,1.3301805403681533e-17,0.0,0.0,1.5788009596874236e-16,0.0,0.0,4.696632390638544e-05,0.05010117445357146,5.437807622406421e-07,1.0397809272488776,0.0003781745499686257,5.437807622406413e-07,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,4,1,2,5.55,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2198629693177532e-16,2.804034809249581e-16,3.629409124042589e-17,0.0,0.0,2.286981380144726e-16,0.0,0.0,4.696631309243369e-05,0.05010104584885268,5.437778482614816e-07,1.0397809272488776,0.0003781744628942328,5.437778482614807e-07,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,4,1,2,5.55,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.041893110293351e-17,1.6950315120684706e-16,8.988078361552194e-17,0.0,0.0,1.5788009596874236e-16,0.0,0.0,4.696630836004807e-05,0.05010099540231215,5.437752049060633e-07,1.0397809272488776,0.00037817442478918267,5.437752049060686e-07,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,2,5.55,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.991424141693849e-17,1.5224400787359343e-16,6.898956300444188e-17,0.0,0.0,2.2542379287070603e-16,0.0,0.0,4.666764303748916e-05,0.05187406942269045,8.467278645741032e-07,1.0617505515992964,0.0003618752414854448,8.467278645740988e-07,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,4,2,2,5.55,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.805076893297903e-17,1.525150584167148e-16,3.944463028773826e-17,0.0,0.0,1.5975438718979638e-16,0.0,0.0,4.6667632023203466e-05,0.05187393866466869,8.467234278465007e-07,1.0617505515992964,0.00036187515607699486,8.46723427846497e-07,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,4,2,2,5.55,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1204368691679978e-16,2.3435876991221433e-16,1.3091783584409829e-16,0.0,0.0,3.3813568930605902e-16,0.0,0.0,4.666762720313153e-05,0.05187388737347264,8.467194031615964e-07,1.0617505515992964,0.00036187511870098616,8.467194031616012e-07,0.0,0.0,True,True,True
