shape_lane,interval_index,substep,substeps_per_interval,z_mid,macro_index,macro_density_index,zre_index,density_sigma,z_re,W_macro_fixed,D_L_mass,f_macro_mass,p_mass,p_kappa_G1,p_kappa_G2a,M_sink_H_cMpc3,M_sink_H_fraction_of_global,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,mass_cap_slack_cMpc3,volume_filling_macro,kappa_sink_G1_cMpc_inv,kappa_sink_G2a_cMpc_inv,kappa_sink_G2b_cMpc_inv,kappa_sink_G3_cMpc_inv,J_sink_G1_s_inv_cMpc3,J_sink_G2a_s_inv_cMpc3,J_sink_G2b_s_inv_cMpc3,J_sink_G3_s_inv_cMpc3,J_sink_macro_total_s_inv_cMpc3,cycling_capacity_macro_s_inv_cMpc3,cycling_capacity_slack_s_inv_cMpc3,mass_transfer_rate_macro_H_s_inv_cMpc3,current_Gamma_flux_G1_s_inv_cMpc2,current_Gamma_flux_G2a_s_inv_cMpc2,single_Jeans_cloud_H_auditor,single_Jeans_cloud_count_auditor_cMpc3,geometry_mass_inversion_used,HeII_G3_sink_absorption_exact_zero
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,11,1,5,0.0,15.0,0.0001968597518792,1.02740959208306,0.00020225559737578134,0.00011221461482523603,0.00012830621221332196,7.818022857119213e-05,1.3417535802831435e+62,0.00011221461482523603,1.1171462560324096e+63,2.5152426987486683e+64,9.829708980040953e+62,0.005334489514473752,7.348694364053397e-06,2.0508796080314964e-06,0.0,0.0,2.398469264317023e+46,6.909786740802686e+45,0.0,0.0,3.0894479383972914e+46,3.774540331849323e+46,6.850923934520316e+45,1.7134779136484909e+47,3.263803262861614e+51,3.369182039620031e+51,6.498988844578303e+65,0.00020645574448131018,False,0.0
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,12,2,0,1.7320508075688772,6.0,0.0140670794268443,2.6914728292809373,0.03786116206468831,0.1362670161072044,0.12568216419229286,0.15865441058556007,1.629348877782932e+65,0.1362670161072044,2.0912378197879005e+65,1.797326192039469e+66,4.618889420049685e+64,0.0906540440460655,0.007198402912295149,0.004161935841590492,0.0,0.0,2.349417091254145e+49,1.4022319487537562e+49,0.0,0.0,3.751649040007901e+49,4.583586095255507e+49,8.319370552476057e+48,2.080749667252505e+50,3.263803262861614e+51,3.369182039620031e+51,6.498988844578303e+65,0.2507080588609096,False,0.0
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,13,2,1,1.7320508075688772,7.0,0.0269462618860335,2.6914728292809373,0.0725251317169477,0.08788324577357573,0.08432031783898533,0.09541898399748597,1.0508226566320672e+65,0.08788324577357573,4.0058806983379535e+65,3.442876861340617e+66,2.9550580417058865e+65,0.030521645093716448,0.0048294173274192045,0.002503098955784284,0.0,0.0,1.5762268030951215e+49,8.433396045220063e+48,0.0,0.0,2.419566407617128e+49,2.956110985924693e+49,5.365445783075652e+48,1.3419464197893293e+50,3.263803262861614e+51,3.369182039620031e+51,6.498988844578303e+65,0.16169017700479701,False,0.0
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,14,2,2,1.7320508075688772,8.0,0.0151757116203559,2.6914728292809373,0.040845015491190906,0.016721835012984524,0.01590430325642723,0.01845094809645123,1.9994349249889534e+64,0.016721835012984524,2.2560491143684682e+65,1.9389741928984198e+66,2.0561056218695728e+65,0.01031181813719839,0.0009109135223350295,0.00048401845186984944,0.0,0.0,2.9730425263818345e+48,1.630746274884589e+48,0.0,0.0,4.6037888012664236e+48,5.6246898656952613e+48,1.0209010644288377e+48,2.55336571043323e+49,3.263803262861614e+51,3.369182039620031e+51,6.498988844578303e+65,0.030765323234197516,False,0.0
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,15,2,3,1.7320508075688772,9.0,0.0075526337300988,2.6914728292809373,0.020327708474071664,0.02036052400059753,0.020094049810617187,0.02092412780510481,2.434514079720288e+64,0.02036052400059753,1.1227883781794753e+65,9.649868327382108e+65,8.793369702074466e+64,0.02522846941664687,0.0011508798213821698,0.0005488966688330562,0.0,0.0,3.756245316188717e+48,1.849332798239597e+48,0.0,0.0,5.6055781144283144e+48,6.848628330412295e+48,1.243050215983981e+48,3.108980790039485e+49,3.263803262861614e+51,3.369182039620031e+51,6.498988844578303e+65,0.037459890114309856,False,0.0
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,16,2,4,1.7320508075688772,12.0,0.0007577798796522,2.6914728292809373,0.002039543956659676,0.0020287507186151597,0.002027667468853691,0.002031041836140803,2.425783436893034e+63,0.0020287507186151597,1.1265294630944609e+64,9.682021293633595e+64,8.839511194051575e+63,0.025054514582488124,0.00011613395987222826,5.327974042704317e-05,0.0,0.0,3.790383971600183e+47,1.795091445224111e+47,0.0,0.0,5.585475416824294e+47,6.824067812028967e+47,1.238592395204673e+47,3.097831377899816e+48,3.263803262861614e+51,3.369182039620031e+51,6.498988844578303e+65,0.003732555163433943,False,0.0
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,2,5.75,17,2,5,1.7320508075688772,15.0,1.9668925957295592e-05,2.6914728292809373,5.293837979519966e-05,5.3619925590910194e-05,5.370944829308462e-05,5.3430581416380605e-05,6.4113508965063e+61,5.361992559088718e-05,2.924018596071282e+62,2.5130643483018163e+63,2.282883506420652e+62,0.02551208408506818,3.0761902573561706e-06,1.401629182658931e-06,0.0,0.0,1.0040079799142177e+46,4.722343868421774e+45,0.0,0.0,1.4762423667563952e+46,1.803602606031024e+46,3.273602392746289e+45,8.187575065414465e+46,3.263803262861614e+51,3.369182039620031e+51,6.498988844578303e+65,9.865151410214969e-05,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75,0,0,0,-1.7320508075688772,6.0,0.0631697623782937,0.5622406532508406,0.03551660846527224,0.07383136094902719,0.07151784244810269,0.07842643506776151,8.398919489755026e+64,0.07383136094902719,1.9617378549098655e+65,8.062818293320634e+66,1.1218459059343628e+65,0.010416853244370921,0.004027287265213121,0.0021539748600145777,0.0,0.0,1.314427331668361e+49,7.25713341215417e+48,0.0,0.0,2.0401406728837783e+49,2.4025341766259005e+49,3.623935037421222e+48,-1.2497620591577774e+49,3.2638032628616145e+51,3.369182039620024e+51,6.436575324318236e+65,0.1304873953393009,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75,1,0,1,-1.7320508075688772,7.0,0.1210051431909678,0.5622406532508406,0.06803401075440127,0.025049769805737622,0.028209548686132062,0.018773866609622335,2.849615625811633e+64,0.025049769805737622,3.757816415628604e+65,1.5444770494201933e+67,3.4728548530474407e+65,0.0018450359148304582,0.0015885260557672641,0.0005156225278817565,0.0,0.0,5.1846365239538876e+48,1.7372261601626892e+48,0.0,0.0,6.921862684116577e+48,8.151404403400633e+48,1.2295417192840556e+48,-4.240237683748055e+48,3.2638032628616145e+51,3.369182039620024e+51,6.436575324318236e+65,0.044272233015675386,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75,2,0,2,-1.7320508075688772,8.0,0.0681481967856101,0.5622406532508406,0.038315686678608275,0.012471489968490563,0.014431299051758018,0.00857894794101849,1.418733703621643e+64,0.012471489968490563,2.1163432051173286e+65,8.698252249380606e+66,1.9744698347551644e+65,0.0016310560592476143,0.0008126501709528165,0.00023562001988693845,0.0,0.0,2.6523302795208514e+48,7.938467391779859e+47,0.0,0.0,3.4461770186988376e+48,4.058327043901044e+48,6.121500252022062e+47,-2.1110805467268983e+48,3.2638032628616145e+51,3.369182039620024e+51,6.436575324318236e+65,0.022041747857148172,False,0.0
