shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,macro_index,violated_constraints,M_eq_nonnegative,M_eq_mass_cap_slack,M_eq_volume_cap_slack,kappa_eq_G1,kappa_eq_G2a,cycling_eq_slack,m_eq_nonnegative,m_eq_upper_slack,k_eq_G1,k_eq_G2a,shape_cycling_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,13,M_eq_mass_cap_slack;cycling_eq_slack,4.9161715253624665e+65,-9.771911073293966e+64,4.241159197011581e+66,0.023144273964379597,0.011732467612430696,-1.7090382452551385e+49,0.34529322169643206,0.23684338062601185,0.31430432332743546,0.41514408977454376,0.03990725197914263
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,14,cycling_eq_slack;m_eq_nonnegative;k_eq_G1;k_eq_G2a;shape_cycling_slack,4.054788640730119e+64,1.8128930628057096e+65,2.6248774459875126e+66,0.002926903087176986,0.0017779816655677763,-1.1993156010503848e+49,-0.08460947403608503,0.4124596685403599,-0.09501806715870498,-0.05868109853541913,-0.008686664713853764
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,15,M_eq_mass_cap_slack;cycling_eq_slack,1.166859604850466e+65,-6.2822373517285515e+63,1.209840384645434e+66,0.005608758205834215,0.0026535418719941996,-4.075085687336268e+48,0.0857147137568959,0.07744945932287489,0.08270170463560247,0.09910340255949336,0.007617541426302707
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,16,M_eq_mass_cap_slack;cycling_eq_slack,1.1589271852673974e+64,-5.121134707294885e+62,1.215053558084636e+65,0.0005683984643613416,0.0002583524132001373,-4.472659365935159e+47,0.008441705545904407,0.007929077396633706,0.008395318133093181,0.009897966683836416,0.0005310850716053698
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,17,M_eq_mass_cap_slack;cycling_eq_slack,3.058930057896383e+62,-1.8374408526668876e+61,3.1487096394828275e+63,1.506358408989368e-05,6.779256213077178e-06,-1.1971377507666724e+46,0.00021993500953946046,0.0002049848467485251,0.0002201760301827847,0.00025226767369020185,1.4341914283908717e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,0,cycling_eq_slack,8.070786278478181e+64,1.1731788379231722e+65,1.1018807539350961e+67,0.00347382305071056,0.0021971660716789874,-2.1999871854378137e+48,0.12926567876973188,0.16567725276201634,0.12322560560978361,0.14188209611628444,0.012265547793428838
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,1,cycling_eq_slack,1.1871393023301447e+64,3.6745778153591777e+65,2.1249858903548178e+67,0.0006124842112284454,0.00020856867347557418,-3.4394671638263988e+47,0.019052848429262557,0.5459265075074413,0.021726419783994994,0.013468331301099255,0.0013444749398589667
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,2,cycling_eq_slack,5.695564496686941e+63,2.079366709000171e+65,1.1968577115521721e+67,0.00030127946137860904,9.168069265065308e-05,-1.665047034300039e+47,0.009143883413697193,0.3090436193060689,0.010687171897997118,0.005920284776984298,0.0006114135880409283
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,3,cycling_eq_slack,2.771629300874488e+63,1.0354865848907751e+65,5.95657301291017e+66,0.00014921155728145016,4.1678941916055464e-05,-8.154727043530239e+46,0.004450682737979859,0.1539045710817983,0.005292924896167257,0.0026914195149754733,0.0002857583316130353
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,4,cycling_eq_slack,2.8896725063909846e+62,1.0378487013027695e+64,5.976311262107894e+65,1.602714542022486e-05,3.814197887565099e-06,-8.59634551722616e+45,0.0004642046024427163,0.015424084101883714,0.0005685248418739426,0.0002463019970431742,2.7662404367094625e-05
