envelope_type,interval_index,substep,z_mid,lane_A,lane_B,mass_TV,mass_symmetric_KL,G1_TV,G1_symmetric_KL,G2a_TV,G2a_symmetric_KL
CROSS_PRIOR_LANE_SPREAD,2,1,5.75,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.992990163990122e-07,3.960236849012092e-13,1.9378927987052236e-16,2.0818375777616194e-17,1.2438327582495464e-06,3.993484105990037e-12
CROSS_PRIOR_LANE_SPREAD,2,2,5.75,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,8.050808891372445e-07,2.3129974244105083e-12,2.2774174852826373e-16,1.561589941558028e-17,2.404119909634092e-06,2.0450642287574833e-11
CROSS_PRIOR_LANE_SPREAD,2,2,5.75,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.2170048658830722e-06,4.15246535039862e-12,2.3780958213932835e-16,2.0818375777616194e-17,3.6342008206879295e-06,3.7681378917433746e-11
CROSS_PRIOR_LANE_SPREAD,2,2,5.75,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,4.165291336162519e-07,4.310133132156115e-13,1.9378927987052236e-16,2.0818375777616194e-17,1.2438327582495464e-06,3.993484105990037e-12
CROSS_PRIOR_LANE_SPREAD,3,1,5.65,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,7.995478550967246e-07,2.326082306370464e-12,3.1350383443776164e-16,0.0,2.7244147216871174e-06,2.6217921265772636e-11
CROSS_PRIOR_LANE_SPREAD,3,1,5.65,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.113412530732701e-06,4.190492535423632e-12,1.273988374647303e-16,1.2957910027096287e-17,3.7938910976047125e-06,4.936438255388043e-11
CROSS_PRIOR_LANE_SPREAD,3,1,5.65,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.644124659782799e-07,3.696874044682632e-13,3.1317349158833246e-16,1.4094628242311558e-17,1.2417151523811464e-06,4.794647393448605e-12
CROSS_PRIOR_LANE_SPREAD,3,2,5.65,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,7.918012003805896e-07,2.281790206475477e-12,3.1350383443776164e-16,0.0,2.7244147216871174e-06,2.6217921265772636e-11
CROSS_PRIOR_LANE_SPREAD,3,2,5.65,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.1026249058121846e-06,4.110147411559074e-12,1.273988374647303e-16,1.2957910027096287e-17,3.7938910976047125e-06,4.936438255388043e-11
CROSS_PRIOR_LANE_SPREAD,3,2,5.65,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.608817485866496e-07,3.6246899477395973e-13,3.1317349158833246e-16,1.4094628242311558e-17,1.2417151523811464e-06,4.794647393448605e-12
CROSS_PRIOR_LANE_SPREAD,4,1,5.55,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,6.651743930004843e-07,1.2189957693630577e-12,2.1498712640850848e-16,1.431146867680866e-17,2.5019676068191566e-06,1.6175258035793687e-11
CROSS_PRIOR_LANE_SPREAD,4,1,5.55,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.855697431753498e-07,2.5998387987328305e-12,1.1941978710159479e-16,7.37257477290143e-18,3.707093354844364e-06,3.5413247615711634e-11
CROSS_PRIOR_LANE_SPREAD,4,1,5.55,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.391201569806521e-07,2.944578573145832e-13,1.5385675860516562e-16,1.474514954580286e-17,1.2755566913665669e-06,4.264557290302093e-12
CROSS_PRIOR_LANE_SPREAD,4,2,5.55,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,6.524480037101698e-07,1.1735196910495635e-12,2.1498712640850848e-16,1.431146867680866e-17,2.5019676068191566e-06,1.6175258035793687e-11
CROSS_PRIOR_LANE_SPREAD,4,2,5.55,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.667134187045507e-07,2.502394887577428e-12,1.1941978710159479e-16,7.37257477290143e-18,3.707093354844364e-06,3.5413247615711634e-11
CROSS_PRIOR_LANE_SPREAD,4,2,5.55,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.3263197106553413e-07,2.8333553883495453e-13,1.5385675860516562e-16,1.474514954580286e-17,1.2755566913665669e-06,4.264557290302093e-12
