interval_index,node_index,fraction,z_eval,weight_sum,mass_density_sum,mass_xHII,target_xHII,mass_xHeII,target_xHeII,mass_xHeIII,target_xHeIII,temperature_weighted_mean,target_T_K
1,14,0.9619397662556434,5.8038060233744355,0.9999999999999999,0.9999999999999998,0.9998877177107862,0.9998877177107862,0.997329320475868,0.997329320475868,0.002566145282281919,0.0025661452822819,14004.419113052358,14004.419113047572
1,15,0.9903926402016152,5.800960735979839,0.9999999999999999,0.9999999999999998,0.9998860235495576,0.9998860235495576,0.9973325857199181,0.997332585719918,0.002562370337489851,0.00256237033749,13997.420589719477,13997.420589713522
1,16,1.0,5.8,0.9999999999999999,0.9999999999999997,0.9998854503235988,0.9998854503235988,0.9973336864932916,0.9973336864932916,0.0025610966248919204,0.0025610966248919,13995.06879006634,13995.068790060011
2,0,0.0,5.8,0.9999999999999999,0.9999999999999997,0.9998854503235988,0.9998854503235988,0.9973336864932916,0.9973336864932916,0.0025610966248919404,0.0025610966248919,14626.332212986723,14626.33221298671
2,1,0.0096073597983847,5.799039264020162,0.9999999999999999,0.9999999999999998,0.9998869638074844,0.9998869638074844,0.997336845586124,0.9973368455861242,0.002559874877480128,0.0025598748774801,14623.690127167745,14623.690127167749
2,2,0.0380602337443566,5.796193976625564,0.9999999999999999,0.9999999999999998,0.9998877103346472,0.9998877103346472,0.9973409886569196,0.99734098865692,0.002556259007835403,0.0025562590078351,14615.815345377116,14615.81534537712
2,3,0.0842651938487273,5.791573480615127,0.9999999999999999,0.9999999999999998,0.9998862080800868,0.9998862080800868,0.9973461908180951,0.9973461908180952,0.0025503948609645133,0.0025503948609644,14603.059788062272,14603.05978806228
2,4,0.1464466094067262,5.785355339059327,0.9999999999999999,0.9999999999999996,0.9998836664385607,0.9998836664385607,0.9973530658945711,0.9973530658945712,0.0025425181317182146,0.0025425181317182,14586.04752433787,14586.04752433758
2,5,0.2222148834901988,5.77777851165098,0.9999999999999999,0.9999999999999999,0.9998804130279861,0.999880413027986,0.9973613836484682,0.997361383648468,0.0025329437748307124,0.0025329437748308,14565.572963263,14565.572963258895
2,6,0.3086582838174551,5.769134171618254,0.9999999999999999,0.9999999999999996,0.9998765067535423,0.9998765067535424,0.997370795576314,0.997370795576314,0.0025220520696615776,0.0025220520696615,14542.56453960362,14542.564539610315
2,7,0.4024548389919358,5.759754516100807,0.9999999999999999,1.0,0.9998720115704056,0.9998720115704056,0.9973809106028246,0.9973809106028244,0.002510272148631777,0.0025102721486319,14518.03432193474,14518.034321938236
2,8,0.4999999999999999,5.75,0.9999999999999999,0.9999999999999998,0.9998670222996757,0.9998670222996758,0.9973913170091891,0.9973913170091891,0.0024980638973842294,0.0024980638973842,14493.02071975988,14493.020719761224
2,9,0.5975451610080641,5.740245483899193,0.9999999999999999,0.9999999999999996,0.9998616741696047,0.9998616741696048,0.997401602074111,0.9974016020741108,0.002485899165707514,0.0024858991657076,14468.533014971386,14468.533014971656
2,10,0.6913417161825448,5.730865828381746,0.9999999999999999,0.9999999999999999,0.999856150945342,0.999856150945342,0.9974113707548589,0.9974113707548588,0.002474243186936792,0.0024742431869368,14445.502531247761,14445.502531247765
2,11,0.777785116509801,5.72222148834902,0.9999999999999999,0.9999999999999998,0.999850689035418,0.999850689035418,0.9974202621330792,0.9974202621330794,0.002463536999508849,0.0024635369995087,14424.744484541181,14424.744484541188
2,12,0.8535533905932737,5.714644660940673,0.9999999999999999,0.9999999999999998,0.9998455734662256,0.9998455734662256,0.9974279623775275,0.9974279623775276,0.002454181514636045,0.0024541815146359,14406.933565157851,14406.93356515784
2,13,0.9157348061512728,5.708426519384873,0.9999999999999999,0.9999999999999998,0.9998411215232563,0.9998411215232564,0.9974342133124275,0.997434213312428,0.0024465236999668596,0.0024465236999667,14392.594653680313,14392.594653680257
2,14,0.9619397662556434,5.703806023374436,0.9999999999999999,0.9999999999999998,0.9998376519333502,0.9998376519333502,0.9974388163565394,0.9974388163565394,0.002440845173930579,0.0024408451739306,14382.107691882582,14382.107691882464
2,15,0.9903926402016152,5.700960735979839,0.9999999999999999,0.9999999999999997,0.9998354422109349,0.9998354422109348,0.9974416325410552,0.9974416325410554,0.0024373533516451997,0.0024373533516451,14375.722872128677,14375.722872128485
