interval_index,node_index,fraction,z_eval,group,global_kappa_cMpc_inv,global_current_s_inv_cMpc3,incident_flux_s_inv_cMpc2,q_sum_residual,kappa_moment_relative_residual,current_moment_relative_residual,common_flux_relative_residual,negative_measure_count,zero_support_nonzero_allocation_count,differential_vs_finite_TV,tau_min,tau_max,tau_weighted_mean,proper_cell_length_cm
0,3,0.0842651938487273,5.991573480615127,G3,1.919599950922626,0.0,0.0,0.0,1.1567233309123028e-16,0.0,0.0,0,0,0.009117255477230326,3.2982503358201024e-05,1.479972444137239,0.005713629257528101,1.2980657821400092e+21
0,4,0.1464466094067262,5.9853553390593275,G1,0.0362563838364027,4.18120799941582e+50,1.153233598331927e+52,0.0,0.0,1.9869078445311585e-16,1.1526094953420995e-16,0,0,0.00019772456051622882,3.1662056774736206e-09,0.06985931261627618,1.5488260503809592e-05,1.2992212790890267e+21
0,4,0.1464466094067262,5.9853553390593275,G2a,0.0186502727377223,8.723711265896491e+49,4.677524767909583e+51,0.0,0.0,2.3807742829971996e-16,1.4208668705552967e-16,0,0,5.440207449888645e-05,6.36594390108971e-09,0.018714523356368626,7.5164256418526936e-06,1.2992212790890267e+21
0,4,0.1464466094067262,5.9853553390593275,G2b,0.0009758476107837,1.873870720198433e+48,1.920249329394303e+51,0.0,0.0,0.0,1.7305408930987485e-16,0,0,1.8512291639157873e-05,2.800826533833527e-09,0.006133378296958569,2.899415680663841e-06,1.2992212790890267e+21
0,4,0.1464466094067262,5.9853553390593275,G3,1.9196183621187812,0.0,0.0,0.0,2.313424473393235e-16,0.0,0.0,0,0,0.009115617726873741,3.2883259805945234e-05,1.4788314025637948,0.005703525344029246,1.2992212790890267e+21
0,5,0.2222148834901988,5.97777851165098,G1,0.0370031233512978,4.145341214997397e+50,1.1202679232351904e+52,0.0,0.0,2.0040991905803685e-16,1.1865268729165035e-16,0,0,0.00020248299471136683,3.22805818580036e-09,0.07146908507950601,1.58245797947962e-05,1.3006320397459425e+21
0,5,0.2222148834901988,5.97777851165098,G2a,0.0189385889808312,9.148346165776919e+49,4.830532081897162e+51,0.0,0.0,0.0,1.375860850574115e-16,0,0,5.48342600541645e-05,6.17480611084664e-09,0.018913187521362063,7.439810153130023e-06,1.3006320397459425e+21
0,5,0.2222148834901988,5.97777851165098,G2b,0.0009622172164551,2.0059936816911118e+48,2.084761784954736e+51,0.0,0.0,1.617744645062132e-16,1.5939806712901922e-16,0,0,1.8534469626521186e-05,2.711288267875372e-09,0.00616837103208898,2.852718752380583e-06,1.3006320397459425e+21
0,5,0.2222148834901988,5.97777851165098,G3,1.919640940879742,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.009113620045110352,3.2771973294986024e-05,1.4774445307098014,0.005691226072703744,1.3006320397459425e+21
0,6,0.3086582838174551,5.969134171618254,G1,0.0378636282847097,4.105322656413776e+50,1.0842391081870014e+52,0.0,0.0,0.0,1.2259546678846237e-16,0,0,0.00020798900683633714,3.3004055254035057e-09,0.07332874785602643,1.6212216924681505e-05,1.3022453112560262e+21
0,6,0.3086582838174551,5.969134171618254,G2a,0.0192790821446707,9.617768830337963e+49,4.9887068057317215e+51,0.0,0.0,0.0,1.3322370381214964e-16,0,0,5.543301945129267e-05,5.990129692750451e-09,0.019166487968752144,7.376146734121527e-06,1.3022453112560262e+21
0,6,0.3086582838174551,5.969134171618254,G2b,0.0009502163250604,2.15800367380236e+48,2.271065668825662e+51,0.0,2.168404344971009e-19,0.0,1.4632205642827604e-16,0,0,1.8605784837756947e-05,2.6243402388076885e-09,0.006219676344523994,2.810163656266132e-06,1.3022453112560262e+21
0,6,0.3086582838174551,5.969134171618254,G3,1.919666861929956,0.0,0.0,0.0,2.313366025413353e-16,0.0,0.0,0,0,0.009111337643109667,3.2655333272407526e-05,1.4758667163553065,0.00567721044698184,1.3022453112560262e+21
0,7,0.4024548389919358,5.959754516100807,G1,0.0388057935259744,4.062965766259349e+50,1.0469997897452681e+52,0.0,6.938893903907228e-18,0.0,1.2695589901773648e-16,0,0,0.00021404829879039541,3.3803139578976015e-09,0.0753714624377897,1.6636884956154697e-05,1.3040003462059708e+21
0,7,0.4024548389919358,5.959754516100807,G2a,0.0196600017966067,1.0107849371977467e+50,5.1413267793912784e+51,0.0,0.0,0.0,1.2926896624360196e-16,0,0,5.618752127825176e-05,5.822037917636197e-09,0.019468193395653872,7.330657028266065e-06,1.3040003462059708e+21
0,7,0.4024548389919358,5.959754516100807,G2b,0.0009407328302355,2.3250645990270144e+48,2.471546143919486e+51,0.0,0.0,0.0,1.3445308304834723e-16,0,0,1.8729650760191343e-05,2.5447128111201683e-09,0.006286763688374601,2.7746334475346493e-06,1.3040003462059708e+21
0,7,0.4024548389919358,5.959754516100807,G3,1.9196951362706756,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00910885646978813,3.253598037274101e-05,1.4741597374600377,0.0056620223755153645,1.3040003462059708e+21
0,8,0.4999999999999999,5.95,G1,0.0397925648108178,4.020074920092687e+50,1.0102578054983303e+52,0.0,0.0,0.0,1.3157314781935755e-16,0,0,0.00022043275573818704,3.4642432479755807e-09,0.07751934986178079,1.7082110598624026e-05,1.305830546547341e+21
0,8,0.4999999999999999,5.95,G2a,0.0200662058550283,1.059496846708863e+50,5.2800058683907534e+51,0.0,0.0,1.9602878006343356e-16,1.258737233364136e-16,0,0,5.706815508200082e-05,5.675716923198112e-09,0.019806506597714636,7.304688890395527e-06,1.305830546547341e+21
0,8,0.4999999999999999,5.95,G2b,0.0009340873844612,2.501666512308633e+48,2.678193233229077e+51,0.0,0.0,0.0,1.2407879865545362e-16,0,0,1.8900109888656024e-05,2.47490001512169e-09,0.006366940638086191,2.7473158366540486e-06,1.305830546547341e+21
0,8,0.4999999999999999,5.95,G3,1.919724660391246,0.0,0.0,0.0,1.1566481876613384e-16,0.0,0.0,0,0,0.009106270338304717,3.24153772745306e-05,1.472389753803019,0.005646249001150738,1.305830546547341e+21
0,9,0.5975451610080641,5.940245483899194,G1,0.0407837084755637,3.9783543938472105e+50,9.75476370970755e+51,0.0,0.0,0.0,1.3626449961695345e-16,0,0,0.00022688922338725035,3.548537265070849e-09,0.07968667351478245,1.7529960354643175e-05,1.307665891582437e+21
0,9,0.5975451610080641,5.940245483899194,G2a,0.0204801914659452,1.1057877065084422e+50,5.399303558011966e+51,0.0,0.0,1.878225568243894e-16,1.2309254161237975e-16,0,0,5.802918909719522e-05,5.5529401295004164e-09,0.020165389538551563,7.296563849138622e-06,1.307665891582437e+21
0,9,0.5975451610080641,5.940245483899194,G2b,0.0009301514170179,2.681585395452814e+48,2.8829557708465105e+51,0.0,0.0,1.2101742283080578e-16,1.1526607598584664e-16,0,0,1.9105871659480412e-05,2.4158395269912273e-09,0.006455848333339209,2.728065479806993e-06,1.307665891582437e+21
0,9,0.5975451610080641,5.940245483899194,G3,1.9197542686662972,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00910367759448891,3.2296258693992636e-05,1.4706247268104715,0.005630497631072604,1.307665891582437e+21
0,10,0.6913417161825448,5.930865828381746,G1,0.0417381693162933,3.939336689215232e+50,9.438211483026007e+51,0.0,0.0,0.0,1.408347331669187e-16,0,0,0.00023315240088448563,3.629615135692574e-09,0.08178434185194632,1.796202058684394e-05,1.3094355774916248e+21
0,10,0.6913417161825448,5.930865828381746,G2a,0.0208834486869821,1.147915252193335e+50,5.49677052578437e+51,0.0,0.0,0.0,1.209099042382927e-16,0,0,5.901561175261948e-05,5.453184427686776e-09,0.020526307431704013,7.302626492981681e-06,1.3094355774916248e+21
0,10,0.6913417161825448,5.930865828381746,G2b,0.000928494399042,2.8579691152351818e+48,3.078068234104558e+51,0.0,1.0842021724855044e-19,1.135486566067115e-16,2.1591918935669763e-16,0,0,1.9331493712139254e-05,2.367416385533096e-09,0.006548102719976278,2.7158497853626122e-06,1.3094355774916248e+21
0,10,0.6913417161825448,5.930865828381746,G3,1.9197827885200565,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.009101177663191762,3.218231919711452e-05,1.4689318770499957,0.0056153722408224475,1.3094355774916248e+21
0,11,0.777785116509801,5.92222148834902,G1,0.0426166488288526,3.904333249809112e+50,9.161521041902702e+51,0.0,6.938893903907228e-18,0.0,1.450881343507624e-16,0,0,0.00023896029970907627,3.7041341651850543e-09,0.08372516294654728,1.8360499922861822e-05,1.3110707760188374e+21
0,11,0.777785116509801,5.92222148834902,G2a,0.0212578897534672,1.1845989787081882e+50,5.5725144520282304e+51,0.0,0.0,1.7532673763393098e-16,1.1926644670262957e-16,0,0,5.997044441979003e-05,5.374588590185786e-09,0.020870054192514025,7.3182370603156196e-06,1.3110707760188374e+21
0,11,0.777785116509801,5.92222148834902,G2b,0.0009285235459973,3.0235834874722175e+48,3.256334748328514e+51,0.0,1.0842021724855044e-19,0.0,2.0409879489005428e-16,0,0,1.9559915192801832e-05,2.3288955481925176e-09,0.006637946914998474,2.709164508115273e-06,1.3110707760188374e+21
