interval_index,node_index,fraction,z_eval,group,macro_index,q_macro,kappa_macro_cMpc_inv,current_macro_s_inv_cMpc3,tau_weighted_macro
0,14,0.9619397662556434,5.903806023374436,G1,16,0.0028829909411369047,0.00012821820024827172,1.1050047927644818e+48,5.537092677373532e-08
0,14,0.9619397662556434,5.903806023374436,G1,17,7.483088015322061e-05,3.3280301506797004e-06,2.868149186188049e+46,1.4372071470138484e-09
0,14,0.9619397662556434,5.903806023374436,G2a,0,0.02867667807978845,0.0006325432681808464,3.6008655816796604e+48,2.1153870044825311e-07
0,14,0.9619397662556434,5.903806023374436,G2a,1,0.05493174909390595,0.0012116713101173065,6.89765544333118e+48,4.0521397856275306e-07
0,14,0.9619397662556434,5.903806023374436,G2a,2,0.03093669862545717,0.0006823942578294946,3.884651248002118e+48,2.282101506032161e-07
0,14,0.9619397662556434,5.903806023374436,G2a,3,0.015396546757195824,0.000339613325413726,1.933309539565645e+48,1.1357541076919594e-07
0,14,0.9619397662556434,5.903806023374436,G2a,4,0.001544784742073617,3.407449031119995e-05,1.9397512478118297e+47,1.1395383938869166e-08
0,14,0.9619397662556434,5.903806023374436,G2a,5,4.0096415235717e-05,8.844370838550006e-07,5.034816137674981e+45,2.9577845620742425e-10
0,14,0.9619397662556434,5.903806023374436,G2a,6,0.1402982964126401,0.003094666079736917,1.761693963697393e+49,1.0349357486825283e-06
0,14,0.9619397662556434,5.903806023374436,G2a,7,0.2687490787949186,0.0059280025443861906,3.374621374373207e+49,1.9824761681518184e-06
0,14,0.9619397662556434,5.903806023374436,G2a,8,0.15135526164176,0.003338557959498223,1.9005337742939637e+49,1.1164994517363368e-06
0,14,0.9619397662556434,5.903806023374436,G2a,9,0.07532634270475691,0.0016615303509704452,9.458558417564342e+48,5.556583855685413e-07
0,14,0.9619397662556434,5.903806023374436,G2a,10,0.007557732699518066,0.00016670665020854727,9.490073947027504e+47,5.575098165634928e-08
0,14,0.9619397662556434,5.903806023374436,G2a,11,0.00019616842418681315,4.32703592109818e-06,2.4632425167979644e+46,1.4470718472342056e-09
0,14,0.9619397662556434,5.903806023374436,G2a,12,0.04905459649610176,0.0010820344916033528,6.159674689464575e+48,3.6186009986674687e-07
0,14,0.9619397662556434,5.903806023374436,G2a,13,0.09396676906332008,0.002072696392459758,1.1799194578964513e+49,6.931628606936081e-07
0,14,0.9619397662556434,5.903806023374436,G2a,14,0.05292060899699938,0.0011673100655502995,6.645121131834661e+48,3.9037844003436136e-07
0,14,0.9619397662556434,5.903806023374436,G2a,15,0.0263374783685257,0.0005809457635405618,3.307137566686956e+48,1.9428317086310865e-07
0,14,0.9619397662556434,5.903806023374436,G2a,16,0.0026425233768330434,5.8288145104378506e-05,3.3181568136821693e+47,1.949305144354834e-08
0,14,0.9619397662556434,5.903806023374436,G2a,17,6.8589306782649e-05,1.512926432895799e-06,8.612604060265338e+45,5.059614220700603e-10
0,14,0.9619397662556434,5.903806023374436,G2b,0,0.029262322757007887,2.7289585201411573e-05,9.909200621433936e+46,7.920007069286206e-08
0,14,0.9619397662556434,5.903806023374436,G2b,1,0.05605358358176713,5.227469663640231e-05,1.8981617073751426e+47,1.5171207764773313e-07
0,14,0.9619397662556434,5.903806023374436,G2b,2,0.031568498195488626,2.9440288398844895e-05,1.0690148712188493e+47,8.544186015279394e-08
0,14,0.9619397662556434,5.903806023374436,G2b,3,0.01571098016649183,1.4651814738407527e-05,5.320263046851032e+46,4.252262372242178e-08
0,14,0.9619397662556434,5.903806023374436,G2b,4,0.0015763328509280682,1.4700633985346732e-06,5.337989945539212e+45,4.266430736400962e-09
0,14,0.9619397662556434,5.903806023374436,G2b,5,4.09152775911489e-05,3.81569488907255e-08,1.3855280645322609e+44,1.1073942778042176e-10
0,14,0.9619397662556434,5.903806023374436,G2b,6,0.14081147830193985,0.0001313185855534055,4.768347338252406e+47,3.811139371432586e-07
0,14,0.9619397662556434,5.903806023374436,G2b,7,0.2697321068396634,0.00025154795032101217,9.134030756585016e+47,7.300446416106832e-07
0,14,0.9619397662556434,5.903806023374436,G2b,8,0.15190888760237983,0.00014166785615417376,5.144142711878004e+47,4.111496799788809e-07
0,14,0.9619397662556434,5.903806023374436,G2b,9,0.0756018707464487,7.050512395251415e-05,2.5601320537784926e+47,2.0462058180933014e-07
0,14,0.9619397662556434,5.903806023374436,G2b,10,0.007585377308502868,7.074004413941103e-06,2.5686623089831986e+46,2.0530236921181697e-08
0,14,0.9619397662556434,5.903806023374436,G2b,11,0.00019688596734392363,1.8361277829551662e-07,6.66721697439004e+44,5.328825965579544e-10
