interval_index,node_index,fraction,z_mid,thermal_photoheat_erg_cm-3_s-1,thermal_photoheat_H_erg_cm-3_s-1,thermal_photoheat_HeI_erg_cm-3_s-1,thermal_photoheat_HeII_erg_cm-3_s-1,thermal_threshold_H_erg_cm-3_s-1,thermal_threshold_HeI_erg_cm-3_s-1,thermal_threshold_HeII_erg_cm-3_s-1,thermal_recombination_cooling_erg_cm-3_s-1,thermal_excitation_cooling_erg_cm-3_s-1,thermal_collisional_ionization_cooling_erg_cm-3_s-1,thermal_free_free_cooling_erg_cm-3_s-1,thermal_cooling_total_erg_cm-3_s-1,thermal_expansion_work_erg_cm-3_s-1,thermal_thermal_rhs_erg_cm-3_s-1
1,4,0.1464466094067262,5.85,6.895747977011101e-33,5.6532402993394986e-33,1.2425076776716021e-33,0.0,1.4557262927115738e-32,3.4607440049063645e-33,0.0,1.0748966847694217e-33,3.68712692761348e-35,6.4103505888157765e-37,9.263108642379083e-34,2.0387198533423464e-33,1.694588772353752e-32,-1.2088859599868764e-32
1,5,0.2222148834901988,5.85,7.041886128931758e-33,5.776004270961907e-33,1.2658818579698514e-33,0.0,1.456336486693369e-32,3.478897925965934e-33,0.0,1.0748004178069273e-33,3.798460374351175e-35,6.568700166429902e-37,9.254958486431533e-34,2.038937740210235e-33,1.6919332523268994e-32,-1.1916384134547471e-32
1,6,0.3086582838174551,5.85,7.214148097740306e-33,5.9204845500325405e-33,1.2936635477077664e-33,0.0,1.4571012516574432e-32,3.499169310982887e-33,0.0,1.074690960487327e-33,3.934667060777729e-35,6.763391761557798e-37,9.245793314700593e-34,2.0392933017413188e-33,1.6889508095397854e-32,-1.1714653299398867e-32
1,7,0.4024548389919358,5.85,7.406900256481209e-33,6.0818749209361124e-33,1.325025335545097e-33,0.0,1.4579578920079318e-32,3.520472000440424e-33,0.0,1.0745727464194185e-33,4.0921282778450016e-35,6.988923565757813e-37,9.236014104024174e-34,2.039794331956861e-33,1.6857729674582064e-32,-1.1490623750057715e-32
1,8,0.4999999999999999,5.85,7.613137431966632e-33,6.254210370002429e-33,1.3589270619642033e-33,0.0,1.4588938615514896e-32,3.5418159312607426e-33,0.0,1.0744505223823384e-33,4.2653509000533705e-35,7.236973977146093e-37,9.226032021711425e-34,2.040430930951729e-33,1.6825339287053718e-32,-1.1252632786038818e-32
1,9,0.5975451610080641,5.85,7.82435146513944e-33,6.430301817292086e-33,1.3940496478473538e-33,0.0,1.459894882340945e-32,3.5622892984744937e-33,0.0,1.0743291472575356e-33,4.4466135120961387e-35,7.495901812205903e-37,9.216246500371429e-34,2.0411695225968605e-33,1.6793632971426923e-32,-1.1010451028884343e-32
1,10,0.6913417161825448,5.85,8.031091688242939e-33,6.602229279352704e-33,1.428862408890235e-33,0.0,1.4609340821161263e-32,3.581116338867502e-33,0.0,1.0742133585422518e-33,4.62670515087372e-35,7.752040184710827e-37,9.20702634538951e-34,2.0419582486084116e-33,1.6763799949047727e-32,-1.07746665094132e-32
1,11,0.777785116509801,5.85,8.223805665303736e-33,6.762065716348112e-33,1.4617399489556252e-33,0.0,1.4619676448761918e-32,3.5976958630283675e-33,0.0,1.0741075515922627e-33,4.7960750177785225e-35,7.991559261572247e-37,9.1986959367294e-34,2.042737051369145e-33,1.6736879723842859e-32,-1.055581110990827e-32
1,12,0.8535533905932737,5.85,8.393694376058208e-33,6.902597135592119e-33,1.4910972404660889e-33,0.0,1.462937191779692e-32,3.61160765815032e-33,0.0,1.0740155993788068e-33,4.945980874244125e-35,8.202206543211499e-37,9.19152729384347e-34,2.0434483581599166e-33,1.6713738950124618e-32,-1.0363492932226328e-32
1,13,0.9157348061512728,5.85,8.533343274851271e-33,7.017831456400912e-33,1.5155118184503581e-33,0.0,1.463777861360504e-32,3.622589280189638e-33,0.0,1.073940730278396e-33,5.0692767260815e-35,8.374375229419718e-37,9.185737483483342e-34,2.0440446834104868e-33,1.6695065648926343e-32,-1.0205767057485559e-32
