shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,model,refinement,combined_error,cone_pass,error_M,error_I,error_U,error_C,error_J_G1,error_J_G2a,minimum_M,minimum_I,minimum_neutral,minimum_U,minimum_C,minimum_J_G1,minimum_J_G2a,minimum_cycling
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.50915159695929180e-05,True,1.24839748900410628e-08,4.25219062914666833e-06,1.50915159695929180e-05,1.09687729930530387e-08,2.77632183728238756e-07,1.19540358849428329e-07,1.05088234587864184e-144,1.05033932225444598e-144,5.39405960265144977e-148,8.22790428345510154e-156,1.78160026191591705e-161,4.67721879300906469e-163,1.30710173346325603e-163,1.72165650728318832e-161
RECOMBINATION_WEIGHTED_AUDITOR,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.28860154550810108e-05,True,4.99303209115292458e-08,1.54875160629419146e-05,4.28860154550810108e-05,3.39479575494602075e-06,1.16966496316590366e-05,5.05979873489537152e-06,1.05513904820666668e-143,1.05459052710762648e-143,5.48521099040200307e-147,8.26106805535719935e-155,2.53721999255218692e-160,6.48579654317115325e-163,1.80514607110935902e-162,2.51263989406494542e-160
RECOMBINATION_WEIGHTED_AUDITOR,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.29798338555162160e-05,True,2.49670199538573980e-08,7.92842818929114371e-06,2.29798338555162160e-05,2.98121338245344107e-07,5.90826416164312390e-06,2.53915376470755729e-06,1.05502114034297848e-143,1.05447690552943157e-143,5.44233809077208151e-147,8.26026706842544540e-155,2.53713457842580462e-160,6.48562016922312097e-163,1.80512877632457277e-162,2.51253288275876215e-160
RECOMBINATION_WEIGHTED_AUDITOR,0,1,7,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.19247985581010635e-05,True,1.24839748183068997e-08,4.01228877109675544e-06,1.19247985581010635e-05,1.56751068609117116e-08,2.96937893755836458e-06,1.27190481854278735e-06,1.05496217652875859e-143,1.05441680717547910e-143,5.41966659503455618e-147,8.25977865989102725e-155,2.53700248668037734e-160,6.48553062045473508e-163,1.80512008140797233e-162,2.51238985786042583e-160
RECOMBINATION_WEIGHTED_AUDITOR,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.22987079638733373e-05,False,4.99303208767382146e-08,1.54875160629315537e-05,4.22987079638733373e-05,3.34387829152462044e-06,5.35233577458623484e-06,2.10530470769625919e-06,4.62847369597255359e-144,4.62606755293111366e-144,2.40614304143993380e-147,3.62379986595450263e-155,1.11297401109771620e-160,2.87980345849072954e-163,8.99284123043864069e-163,-3.00338047734310963e+41
RECOMBINATION_WEIGHTED_AUDITOR,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.26426318519402162e-05,True,2.49670199266109157e-08,7.92842818928533814e-06,2.26426318519402162e-05,2.93963226260501300e-07,2.68867902559197166e-06,1.05418551704077371e-06,4.62795648125421237e-144,4.62556914043575215e-144,2.38733641225162082e-147,3.62344770717424769e-155,1.11293522078461646e-160,2.87976717191477572e-163,8.99280694370591379e-163,1.10103128276193586e-160
RECOMBINATION_WEIGHTED_AUDITOR,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.17430731837765091e-05,True,1.24839747838295518e-08,4.01228877109893825e-06,1.17430731837765091e-05,1.56265296100217833e-08,1.34749209515787109e-06,5.27476992826981669e-07,4.62769783054500421e-144,4.62530551295375068e-144,2.37739133232726478e-147,3.62323384011560076e-155,1.11287721284777566e-160,2.87974890113666625e-163,8.99278976286233667e-163,1.10096802067214936e-160
RECOMBINATION_WEIGHTED_AUDITOR,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.18719370455152096e-05,False,4.99303211383451609e-08,1.54875160629501986e-05,4.18719370455152096e-05,3.23576602775627518e-06,2.53175342733959519e-06,9.17722307130527399e-07,2.13658796306634238e-144,2.13547724350792121e-144,1.11071955842116791e-147,1.67281191093973612e-155,5.13766094669558431e-161,1.34477788787086445e-163,4.21483352944948112e-163,-4.36085641216584215e+41
RECOMBINATION_WEIGHTED_AUDITOR,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.23980084590921995e-05,True,2.49670201778350082e-08,7.92842818929191959e-06,2.23980084590921995e-05,2.85134371320807522e-07,1.26866816387979136e-06,4.59146271470361000e-07,2.13634920730923629e-144,2.13524716720022640e-144,1.10203807502331904e-147,1.67264908338884141e-155,5.13746892063061094e-161,1.34476984418694234e-163,4.21482668457427329e-163,5.08172618920199717e-161
RECOMBINATION_WEIGHTED_AUDITOR,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.16113704886028173e-05,True,1.24839750343763125e-08,4.01228877110551207e-06,1.16113704886028173e-05,1.55233862860729140e-08,6.35034547423040461e-07,2.29644489803243768e-07,2.13622980941951426e-144,2.13512547194131883e-144,1.09744724455658477e-147,1.67255048258249559e-155,5.13720051259652176e-161,1.34476580902899954e-163,4.21482325894595121e-163,5.08143326394502794e-161
RECOMBINATION_WEIGHTED_AUDITOR,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,5.30427421266847288e-05,False,4.99303212188398202e-08,1.63788837110310911e-05,5.30427421266847288e-05,2.98361928096730502e-06,4.75648078544597320e-06,2.40928399152875397e-06,4.62023432445885633e-144,4.61783272409633189e-144,2.40160036252443457e-147,3.61737317993798901e-155,7.83235780253614986e-161,2.30801323589552349e-163,5.50588609677566800e-163,-1.84740729844090978e+41
RECOMBINATION_WEIGHTED_AUDITOR,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.89028337468596638e-05,True,2.49670198276860172e-08,8.39637730170309189e-06,2.89028337468596638e-05,2.37604702816757813e-07,2.38866907749608481e-06,1.20706597529729859e-06,4.61971803045963345e-144,4.61733631943136381e-144,2.38167439275679597e-147,3.61703890388712220e-155,7.83209885463616265e-161,2.30799682751006698e-163,5.50586850204832469e-163,7.75383504709346965e-161
RECOMBINATION_WEIGHTED_AUDITOR,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.51472800552343867e-05,True,1.24839746915984040e-08,4.25219062916077058e-06,1.51472800552343867e-05,1.08417725347158694e-08,1.19696109207925352e-06,6.04141044655727152e-07,4.61945984018715324e-144,4.61707282147465554e-144,2.37111621560190719e-147,3.61681607451651651e-155,7.83170510121859964e-161,2.30798856925037906e-163,5.50585967810822426e-163,7.75342030531630300e-161
RECOMBINATION_WEIGHTED_AUDITOR,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,5.30050435762458204e-05,False,4.99303209081791644e-08,1.63788837110510133e-05,5.30050435762458204e-05,2.86849598257456720e-06,1.81994204189068042e-06,9.34994401041403566e-07,1.75151325513920602e-144,1.75060281757844396e-144,9.10437560762066385e-148,1.37133235673334097e-155,2.96919578798685233e-161,8.69052358173840410e-164,2.77678881289915326e-163,-3.27142095996882663e+41
