# z zre gamma density mfp_13.6eV mfp_14.48eV mfp_16.7eV mfp_20.05eV mfp_25.5eV mfp_39.5eV
4.600000 12.000000 1.000000 0.000000 217.149300 249.539400 335.304700 476.708600 725.191900 1182.035000
4.610000 12.000000 1.000000 0.000000 216.145700 248.156400 332.900100 472.724600 718.979900 1174.816000
4.620000 12.000000 1.000000 0.000000 213.691738 245.528044 329.882459 469.328683 716.040627 1175.000209
4.640000 12.000000 1.000000 0.000000 211.775200 243.271700 326.658700 464.170800 706.884200 1161.309000
4.650000 12.000000 1.000000 0.000000 212.087738 243.979843 328.694658 469.304283 718.662927 1185.363210
4.660000 12.000000 1.000000 0.000000 209.856600 241.549300 325.792800 466.004900 716.159700 1183.920000
4.670000 12.000000 1.000000 0.000000 207.301800 238.242800 320.312000 456.364100 698.090400 1152.185000
4.680000 12.000000 1.000000 0.000000 205.762800 236.754000 319.109200 456.173100 700.602200 1162.839000
4.690000 12.000000 1.000000 0.000000 204.055400 234.627700 315.781400 450.294900 688.870200 1133.575000
4.710000 12.000000 1.000000 0.000000 202.726300 233.357800 314.870100 450.870800 694.640000 1159.536000
4.720000 12.000000 1.000000 0.000000 201.509235 231.959941 312.971455 448.184878 690.204721 1149.354201
4.730000 12.000000 1.000000 0.000000 199.381835 229.372940 309.125954 442.162577 680.643119 1135.132198
4.740000 12.000000 1.000000 0.000000 197.766600 227.545600 306.747400 438.993800 676.608500 1133.969000
4.750000 12.000000 1.000000 0.000000 197.084734 227.027839 306.765753 440.166476 679.500318 1130.958197
4.760000 12.000000 1.000000 0.000000 194.965100 224.611800 303.638300 435.819300 672.806200 1122.490000
4.780000 12.000000 1.000000 0.000000 193.948000 223.126200 300.722100 430.438400 664.461500 1114.205000
4.790000 12.000000 1.000000 0.000000 192.448500 221.663700 299.474300 429.538800 663.024500 1107.724000
4.800000 12.000000 1.000000 0.000000 190.880600 219.930500 297.349800 426.997300 660.232600 1105.574000
4.810000 12.000000 1.000000 0.000000 189.588100 218.419900 295.212300 423.687400 654.352200 1091.444000
4.820000 12.000000 1.000000 0.000000 187.273800 215.680600 291.352600 418.164100 646.966200 1085.828000
4.830000 12.000000 1.000000 0.000000 186.085332 214.385737 289.829750 416.142571 643.054510 1074.540184
4.840000 12.000000 1.000000 0.000000 185.603100 213.819400 288.998800 414.800200 641.125100 1074.135000
4.850000 12.000000 1.000000 0.000000 183.992700 212.115600 287.095800 412.926100 640.317300 1076.077000
4.860000 12.000000 1.000000 0.000000 183.027431 210.903136 285.207049 409.664970 633.641308 1058.146180
4.870000 12.000000 1.000000 0.000000 181.723700 209.442400 283.307500 406.982100 629.033300 1052.351000
