source,z,mode,energy_eV,lambda_density_cMpc,lambda_mean_cMpc,density_effect,central_gamma12,zre_max,Q_numeric_mass,Q_at_z
PUBLIC_REPO_EXACT_CHECKPOINT,5.2,public_continuous_joint,16.7,85.64864331219222,89.45951636441349,-0.04259885596405044,0.502,18.0,0.8278614855875921,0.8446512897493085
PUBLIC_REPO_EXACT_CHECKPOINT,5.2,public_continuous_joint,20.05,112.40057830669456,121.80382344391603,-0.07719991763272649,0.502,18.0,0.8278614855875921,0.8446512897493085
PUBLIC_REPO_EXACT_CHECKPOINT,5.2,public_continuous_joint,25.5,152.36186160140286,172.39791630596528,-0.11621981943797499,0.502,18.0,0.8278614855875921,0.8446512897493085
PUBLIC_REPO_EXACT_CHECKPOINT,5.2,public_continuous_joint,39.5,220.76830857757307,263.24800125794917,-0.16136757915495614,0.502,18.0,0.8278614855875921,0.8446512897493085
PUBLIC_REPO_EXACT_CHECKPOINT,5.3,public_continuous_joint,13.6,47.315828590934665,46.93324837235635,0.008151581913593997,0.404,18.0,0.8096669304010884,0.8278623069751687
PUBLIC_REPO_EXACT_CHECKPOINT,5.3,public_continuous_joint,14.48,52.841984190199,52.86751172654786,-0.0004828586690612813,0.404,18.0,0.8096669304010884,0.8278623069751687
PUBLIC_REPO_EXACT_CHECKPOINT,5.3,public_continuous_joint,16.7,67.18478700246993,68.775730828902,-0.023132343448155623,0.404,18.0,0.8096669304010884,0.8278623069751687
PUBLIC_REPO_EXACT_CHECKPOINT,5.3,public_continuous_joint,20.05,88.82818904316863,94.12081511546033,-0.056232259206415725,0.404,18.0,0.8096669304010884,0.8278623069751687
PUBLIC_REPO_EXACT_CHECKPOINT,5.3,public_continuous_joint,25.5,121.499817584403,134.33617929256835,-0.09555401810415687,0.404,18.0,0.8096669304010884,0.8278623069751687
PUBLIC_REPO_EXACT_CHECKPOINT,5.3,public_continuous_joint,39.5,177.84005969720806,207.0059620452047,-0.14089402092499914,0.404,18.0,0.8096669304010884,0.8278623069751687
PUBLIC_REPO_EXACT_CHECKPOINT,5.4,public_continuous_joint,13.6,41.097100622756386,40.50458710433784,0.014628306588887474,0.372,18.0,0.7900369945916242,0.809667751788665
PUBLIC_REPO_EXACT_CHECKPOINT,5.4,public_continuous_joint,14.48,45.91802851684378,45.61026096219673,0.006747770088448624,0.372,18.0,0.7900369945916242,0.809667751788665
PUBLIC_REPO_EXACT_CHECKPOINT,5.4,public_continuous_joint,16.7,58.48683521123721,59.31062911936326,-0.013889481874625909,0.372,18.0,0.7900369945916242,0.809667751788665
PUBLIC_REPO_EXACT_CHECKPOINT,5.4,public_continuous_joint,20.05,77.56082578635636,81.21270415169695,-0.044966836204829,0.372,18.0,0.7900369945916242,0.809667751788665
PUBLIC_REPO_EXACT_CHECKPOINT,5.4,public_continuous_joint,25.5,106.62800814568887,116.37314968111865,-0.08374046386243783,0.372,18.0,0.7900369945916242,0.809667751788665
PUBLIC_REPO_EXACT_CHECKPOINT,5.4,public_continuous_joint,39.5,156.97329826645915,179.99112093118825,-0.12788310081989518,0.372,18.0,0.7900369945916242,0.809667751788665
PUBLIC_REPO_EXACT_CHECKPOINT,5.5,public_continuous_joint,13.6,35.83447738495633,35.137239374772136,0.0198432780318194,0.344,18.0,0.7689602251887,0.790037815979201
PUBLIC_REPO_EXACT_CHECKPOINT,5.5,public_continuous_joint,14.48,40.046732660912454,39.54654189447699,0.012648154363790853,0.344,18.0,0.7689602251887,0.790037815979201
PUBLIC_REPO_EXACT_CHECKPOINT,5.5,public_continuous_joint,16.7,51.0652094971141,51.37005093693914,-0.005934224986447023,0.344,18.0,0.7689602251887,0.790037815979201
PUBLIC_REPO_EXACT_CHECKPOINT,5.5,public_continuous_joint,20.05,67.8505356529927,70.26891775963213,-0.03441610008726692,0.344,18.0,0.7689602251887,0.790037815979201
PUBLIC_REPO_EXACT_CHECKPOINT,5.5,public_continuous_joint,25.5,93.71630605339637,101.0128100233172,-0.07223345205659115,0.344,18.0,0.7689602251887,0.790037815979201
PUBLIC_REPO_EXACT_CHECKPOINT,5.5,public_continuous_joint,39.5,138.72903589546945,156.80515697552113,-0.11527759308881369,0.344,18.0,0.7689602251887,0.790037815979201
PUBLIC_REPO_EXACT_CHECKPOINT,5.6,public_continuous_joint,13.6,31.336185673741245,30.60100222748428,0.02402481594529804,0.319,18.0,0.7464467197015057,0.7689610465762768
PUBLIC_REPO_EXACT_CHECKPOINT,5.6,public_continuous_joint,14.48,35.02012330845665,34.42033602205285,0.01742537568545277,0.319,18.0,0.7464467197015057,0.7689610465762768
PUBLIC_REPO_EXACT_CHECKPOINT,5.6,public_continuous_joint,16.7,44.6810163168981,44.64579998702919,0.0007887937920059152,0.319,18.0,0.7464467197015057,0.7689610465762768
PUBLIC_REPO_EXACT_CHECKPOINT,5.6,public_continuous_joint,20.05,59.431527278290325,60.93847510772126,-0.02472900457005356,0.319,18.0,0.7464467197015057,0.7689610465762768
PUBLIC_REPO_EXACT_CHECKPOINT,5.6,public_continuous_joint,25.5,82.44423514943372,87.81313882312172,-0.061140095270963424,0.319,18.0,0.7464467197015057,0.7689610465762768
PUBLIC_REPO_EXACT_CHECKPOINT,5.6,public_continuous_joint,39.5,122.75378774250771,136.8672674327002,-0.10311800589671527,0.319,18.0,0.7464467197015057,0.7689610465762768
PUBLIC_REPO_EXACT_CHECKPOINT,5.7,public_continuous_joint,13.6,21.782317797170318,20.99015342507112,0.037739808569146494,0.224,18.0,0.7225310014451486,0.7464475410890822
PUBLIC_REPO_EXACT_CHECKPOINT,5.7,public_continuous_joint,14.48,24.343880308558365,23.591395692324795,0.03189657051440942,0.224,18.0,0.7225310014451486,0.7464475410890822
PUBLIC_REPO_EXACT_CHECKPOINT,5.7,public_continuous_joint,16.7,31.017134124669557,30.424870380517348,0.01946643442502438,0.224,18.0,0.7225310014451486,0.7464475410890822
PUBLIC_REPO_EXACT_CHECKPOINT,5.7,public_continuous_joint,20.05,41.302685020584576,41.26276758996296,0.0009673958620100009,0.224,18.0,0.7225310014451486,0.7464475410890822
PUBLIC_REPO_EXACT_CHECKPOINT,5.7,public_continuous_joint,25.5,57.86871659066342,59.6825110737517,-0.03039072000249643,0.224,18.0,0.7225310014451486,0.7464475410890822
PUBLIC_REPO_EXACT_CHECKPOINT,5.7,public_continuous_joint,39.5,87.6251501867115,94.22331682720694,-0.07002689846501176,0.224,18.0,0.7225310014451486,0.7464475410890822
PUBLIC_REPO_EXACT_CHECKPOINT,5.8,public_continuous_joint,13.6,16.816035422410824,16.097108510542284,0.044661866533216354,0.178,18.0,0.6972743368929339,0.7225318228327255
PUBLIC_REPO_EXACT_CHECKPOINT,5.8,public_continuous_joint,14.48,18.799070987559585,18.091239245831723,0.03912566364910286,0.178,18.0,0.6972743368929339,0.7225318228327255
PUBLIC_REPO_EXACT_CHECKPOINT,5.8,public_continuous_joint,16.7,23.932609396962683,23.26836561302613,0.028547075242993936,0.178,18.0,0.6972743368929339,0.7225318228327255
PUBLIC_REPO_EXACT_CHECKPOINT,5.8,public_continuous_joint,20.05,31.823581698340476,31.374355656728124,0.014318255537337787,0.178,18.0,0.6972743368929339,0.7225318228327255
PUBLIC_REPO_EXACT_CHECKPOINT,5.8,public_continuous_joint,25.5,44.688233782175516,45.23332044267995,-0.012050555987707545,0.178,18.0,0.6972743368929339,0.7225318228327255
PUBLIC_REPO_EXACT_CHECKPOINT,5.8,public_continuous_joint,39.5,68.47814182398646,71.92630728059417,-0.04794025422653714,0.178,18.0,0.6972743368929339,0.7225318228327255
PUBLIC_REPO_EXACT_CHECKPOINT,5.9,public_continuous_joint,13.6,13.741310587049805,13.106805661598358,0.0484103405386167,0.151,18.0,0.6707662481240713,0.6972751582805103
PUBLIC_REPO_EXACT_CHECKPOINT,5.9,public_continuous_joint,14.48,15.355371539070077,14.718646118793663,0.043259781853400625,0.151,18.0,0.6707662481240713,0.6972751582805103
PUBLIC_REPO_EXACT_CHECKPOINT,5.9,public_continuous_joint,16.7,19.527266871564755,18.891977521305964,0.03362746697863295,0.151,18.0,0.6707662481240713,0.6972751582805103
PUBLIC_REPO_EXACT_CHECKPOINT,5.9,public_continuous_joint,20.05,25.901211081413635,25.34406652389459,0.021983234497658932,0.151,18.0,0.6707662481240713,0.6972751582805103
PUBLIC_REPO_EXACT_CHECKPOINT,5.9,public_continuous_joint,25.5,36.2981039751111,36.312794457026236,-0.0004045538806582982,0.151,18.0,0.6707662481240713,0.6972751582805103
PUBLIC_REPO_EXACT_CHECKPOINT,5.9,public_continuous_joint,39.5,55.95260276571811,57.85381630009573,-0.032862370297505716,0.151,18.0,0.6707662481240713,0.6972751582805103
PUBLIC_REPO_EXACT_CHECKPOINT,6.0,public_continuous_joint,13.6,12.444615179564945,11.872259722382603,0.04820947911906681,0.145,18.0,0.6431249885796959,0.670767069511648
PUBLIC_REPO_EXACT_CHECKPOINT,6.0,public_continuous_joint,14.48,13.895895437451683,13.317821441922323,0.04340604790733105,0.145,18.0,0.6431249885796959,0.670767069511648
PUBLIC_REPO_EXACT_CHECKPOINT,6.0,public_continuous_joint,16.7,17.658672449738017,17.074072488527747,0.034239046460829314,0.145,18.0,0.6431249885796959,0.670767069511648
PUBLIC_REPO_EXACT_CHECKPOINT,6.0,public_continuous_joint,20.05,23.38807384974381,22.84297428918017,0.023862897784805215,0.145,18.0,0.6431249885796959,0.670767069511648
PUBLIC_REPO_EXACT_CHECKPOINT,6.0,public_continuous_joint,25.5,32.71357296053454,32.59617088346363,0.003601713756215208,0.145,18.0,0.6431249885796959,0.670767069511648
PUBLIC_REPO_EXACT_CHECKPOINT,6.0,public_continuous_joint,39.5,50.500779972147775,51.888965186172406,-0.026752994765726457,0.145,18.0,0.6431249885796959,0.670767069511648
