interval_index,substep,quantity,shape_a,shape_b,total_variation,l1_distance,same_global_sum_by_construction
1,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.0771757594906052e-06,2.1543515189812103e-06,True
1,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.549628271094113e-06,3.099256542188226e-06,True
1,2,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,5.493615400826298e-07,1.0987230801652596e-06,True
1,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.5570244339723274e-16,3.114048867944655e-16,True
1,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.557665666933349e-17,1.9115331333866697e-16,True
1,2,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.3678057438851893e-16,2.7356114877703785e-16,True
1,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.824428101134894e-06,7.648856202269788e-06,True
1,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.501833711464229e-06,1.1003667422928457e-05,True
1,2,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.9504650872061702e-06,3.9009301744123405e-06,True
1,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.1548775500682066e-15,6.309755100136413e-15,True
1,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2.244637310223896e-19,4.489274620447792e-19,True
1,2,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.155102013799229e-15,6.310204027598458e-15,True
