s,time_s,node_a_baseline_J,node_b_baseline_J,partition_shape_f,node_a_redistributed_J,node_b_redistributed_J,baseline_pointwise_total_J,redistributed_pointwise_total_J
0.094,60024918169592.555,1.0973093353648245e+48,1.05522082353328e+48,0.085164,1.1332183084956352e+48,1.0193118504024693e+48,2.1525301588981045e+48,2.1525301588981045e+48
0.095,60663481128843.54,1.097321615678078e+48,1.0552326147241888e+48,0.08597500000000001,1.1335725428881837e+48,1.018981687514083e+48,2.1525542304022668e+48,2.1525542304022668e+48
0.096,61302044088094.52,1.0973338959913312e+48,1.0552444059150977e+48,0.086784,1.1339259339907708e+48,1.0186523679156582e+48,2.152578301906429e+48,2.152578301906429e+48
0.097,61940607047345.51,1.0973461763045845e+48,1.0552561971060067e+48,0.087591,1.1342784818033967e+48,1.0183238916071946e+48,2.1526023734105912e+48,2.1526023734105912e+48
0.098,62579170006596.49,1.097358456617838e+48,1.0552679882969155e+48,0.088396,1.1346301863260615e+48,1.017996258588692e+48,2.1526264449147535e+48,2.1526264449147535e+48
0.099,63217732965847.484,1.097370736931091e+48,1.0552797794878246e+48,0.089199,1.1349810475587646e+48,1.0176694688601511e+48,2.1526505164189157e+48,2.1526505164189157e+48
0.1,63856295925098.47,1.0973830172443445e+48,1.0552915706787336e+48,0.09000000000000001,1.1353310655015068e+48,1.0173435224215714e+48,2.1526745879230783e+48,2.1526745879230783e+48
0.101,64494858884349.45,1.0973952975575978e+48,1.0553033618696426e+48,0.090799,1.1356802401542874e+48,1.0170184192729528e+48,2.1526986594272405e+48,2.1526986594272402e+48
0.10200000000000001,65133421843600.44,1.0974075778708512e+48,1.0553151530605514e+48,0.09159600000000001,1.1360285715171071e+48,1.0166941594142955e+48,2.1527227309314028e+48,2.1527227309314028e+48
0.10300000000000001,65771984802851.42,1.0974198581841045e+48,1.0553269442514603e+48,0.09239100000000001,1.1363760595899653e+48,1.0163707428455995e+48,2.152746802435565e+48,2.152746802435565e+48
0.10400000000000001,66410547762102.41,1.097432138497358e+48,1.0553387354423693e+48,0.09318400000000002,1.1367227043728624e+48,1.0160481695668648e+48,2.1527708739397272e+48,2.1527708739397272e+48
0.105,67049110721353.38,1.097444418810611e+48,1.0553505266332783e+48,0.093975,1.1370685058657979e+48,1.0157264395780915e+48,2.1527949454438895e+48,2.1527949454438895e+48
0.106,67687673680604.37,1.0974566991238643e+48,1.0553623178241872e+48,0.094764,1.1374134640687724e+48,1.0154055528792792e+48,2.1528190169480517e+48,2.1528190169480517e+48
