s,time_s,baseline_J,null_shape_g,plus_J,minus_J
0.47100000000000003,300763153807213.75,1.1019390134613262e+48,-0.007225610999999991,1.0690145099210198e+48,1.1348635170016326e+48
0.47200000000000003,301401716766464.75,1.1019512937745796e+48,-0.006978047999999993,1.0701548455461283e+48,1.133747742003031e+48
0.47300000000000003,302040279725715.75,1.1019635740878327e+48,-0.006730316999999991,1.0712959466866504e+48,1.132631201489015e+48
0.47400000000000003,302678842684966.75,1.1019758544010863e+48,-0.006482423999999993,1.0724377860027506e+48,1.1315139227994221e+48
0.47500000000000003,303317405644217.7,1.1019881347143395e+48,-0.006234374999999992,1.0735803361545916e+48,1.1303959332740874e+48
0.47600000000000003,303955968603468.7,1.1020004150275929e+48,-0.005986175999999992,1.0747235698023382e+48,1.1292772602528476e+48
0.47700000000000004,304594531562719.7,1.1020126953408462e+48,-0.005737832999999991,1.0758674596061537e+48,1.1281579310755387e+48
0.47800000000000004,305233094521970.7,1.1020249756540996e+48,-0.005489351999999992,1.0770119782262021e+48,1.1270379730819971e+48
0.47900000000000004,305871657481221.7,1.1020372559673527e+48,-0.00524073899999999,1.0781570983226466e+48,1.1259174136120588e+48
0.48,306510220440472.6,1.1020495362806062e+48,-0.004992000000000004,1.0793027925556519e+48,1.1247962800055604e+48
0.481,307148783399723.6,1.1020618165938594e+48,-0.0047431410000000045,1.0804490335853812e+48,1.1236745996023377e+48
0.482,307787346358974.56,1.1020740969071127e+48,-0.004494168000000004,1.0815957940719985e+48,1.122552399742227e+48
0.483,308425909318225.56,1.1020863772203661e+48,-0.004245087000000003,1.0827430466756677e+48,1.1214297077650646e+48
0.484,309064472277476.56,1.1020986575336194e+48,-0.003995904000000003,1.0838907640565522e+48,1.1203065510106867e+48
0.485,309703035236727.56,1.1021109378468727e+48,-0.0037466250000000034,1.085038918874816e+48,1.1191829568189294e+48
0.486,310341598195978.5,1.1021232181601261e+48,-0.0034972560000000033,1.0861874837906232e+48,1.118058952529629e+48
0.487,310980161155229.5,1.1021354984733792e+48,-0.0032478030000000027,1.0873364314641369e+48,1.1169345654826216e+48
0.488,311618724114480.5,1.1021477787866327e+48,-0.0029982720000000028,1.0884857345555218e+48,1.1158098230177436e+48
0.489,312257287073731.5,1.1021600590998861e+48,-0.002748669000000002,1.089635365724941e+48,1.1146847524748313e+48
0.49,312895850032982.44,1.1021723394131392e+48,-0.0024990000000000025,1.0907852976325581e+48,1.1135593811937203e+48
0.491,313534412992233.44,1.1021846197263927e+48,-0.002249271000000002,1.0919355029385378e+48,1.1124337365142475e+48
0.492,314172975951484.44,1.1021969000396461e+48,-0.0019994880000000015,1.0930859543030433e+48,1.111307845776249e+48
0.493,314811538910735.44,1.1022091803528992e+48,-0.0017496570000000017,1.0942366243862382e+48,1.1101817363195603e+48
0.494,315450101869986.4,1.1022214606661527e+48,-0.0014997840000000012,1.0953874858482867e+48,1.1090554354840186e+48
0.495,316088664829237.4,1.1022337409794061e+48,-0.0012498750000000012,1.0965385113493525e+48,1.1079289706094596e+48
0.496,316727227788488.4,1.1022460212926592e+48,-0.000999936000000001,1.0976896735495991e+48,1.1068023690357193e+48
0.497,317365790747739.4,1.1022583016059126e+48,-0.0007499730000000007,1.0988409451091908e+48,1.1056756581026345e+48
0.498,318004353706990.3,1.1022705819191659e+48,-0.0004999920000000004,1.099992298688291e+48,1.1045488651500408e+48
0.499,318642916666241.3,1.1022828622324192e+48,-0.0002499990000000002,1.1011437069470637e+48,1.1034220175177747e+48
0.5,319281479625492.3,1.1022951425456726e+48,0.0,1.1022951425456726e+48,1.1022951425456726e+48
0.501,319920042584743.3,1.1023074228589259e+48,0.0002499990000000002,1.1034465781442814e+48,1.1011682675735704e+48
0.502,320558605543994.3,1.1023197031721792e+48,0.0004999920000000004,1.104597986403054e+48,1.1000414199413043e+48
0.503,321197168503245.25,1.1023319834854326e+48,0.0007499730000000007,1.1057493399821544e+48,1.0989146269887108e+48
0.504,321835731462496.25,1.1023442637986859e+48,0.000999936000000001,1.106900611541746e+48,1.0977879160556258e+48
0.505,322474294421747.25,1.1023565441119392e+48,0.0012498750000000012,1.1080517737419927e+48,1.0966613144818856e+48
0.506,323112857380998.25,1.1023688244251924e+48,0.0014997840000000012,1.1092027992430583e+48,1.0955348496073265e+48
0.507,323751420340249.2,1.1023811047384457e+48,0.0017496570000000017,1.1103536607051068e+48,1.0944085487717847e+48
0.508,324389983299500.2,1.1023933850516992e+48,0.0019994880000000015,1.111504330788302e+48,1.0932824393150963e+48
0.509,325028546258751.2,1.1024056653649524e+48,0.002249271000000002,1.1126547821528073e+48,1.0921565485770976e+48
0.51,325667109218002.2,1.1024179456782057e+48,0.0024990000000000025,1.1138049874587868e+48,1.0910309038976246e+48
0.511,326305672177253.1,1.1024302259914591e+48,0.002748669000000002,1.1149549193664043e+48,1.089905532616514e+48
0.512,326944235136504.1,1.1024425063047124e+48,0.0029982720000000028,1.1161045505358233e+48,1.0887804620736015e+48
0.513,327582798095755.1,1.1024547866179657e+48,0.0032478030000000027,1.117253853627208e+48,1.0876557196087233e+48
0.514,328221361055006.1,1.1024670669312191e+48,0.0034972560000000033,1.118402801300722e+48,1.0865313325617162e+48
0.515,328859924014257.06,1.1024793472444722e+48,0.0037466250000000034,1.1195513662165289e+48,1.0854073282724156e+48
0.516,329498486973508.06,1.1024916275577257e+48,0.003995904000000003,1.120699521034793e+48,1.0842837340806584e+48
0.517,330137049932759.06,1.102503907870979e+48,0.004245087000000003,1.1218472384156774e+48,1.0831605773262805e+48
0.518,330775612892010.06,1.1025161881842322e+48,0.004494168000000004,1.1229944910193465e+48,1.082037885349118e+48
0.519,331414175851261.0,1.1025284684974857e+48,0.0047431410000000045,1.1241412515059639e+48,1.0809156854890074e+48
0.52,332052738810512.0,1.102540748810739e+48,0.004992000000000004,1.1252874925356932e+48,1.0797940050857847e+48
0.521,332691301769763.0,1.1025530291239922e+48,0.005240739000000005,1.1264331867686983e+48,1.0786728714792861e+48
0.522,333329864729014.0,1.1025653094372456e+48,0.005489352000000005,1.1275783068651433e+48,1.077552312009348e+48
0.523,333968427688265.0,1.102577589750499e+48,0.005737833000000005,1.1287228254851914e+48,1.0764323540158064e+48
0.524,334606990647515.94,1.1025898700637522e+48,0.005986176000000005,1.1298667152890069e+48,1.0753130248384975e+48
0.525,335245553606766.94,1.1026021503770055e+48,0.0062343750000000055,1.1310099489367534e+48,1.0741943518172576e+48
0.526,335884116566017.94,1.1026144306902587e+48,0.006482424000000006,1.1321524990885947e+48,1.0730763622919228e+48
0.527,336522679525268.94,1.1026267110035122e+48,0.006730317000000006,1.1332943384046946e+48,1.0719590836023297e+48
0.528,337161242484519.9,1.1026389913167655e+48,0.006978048000000006,1.1344354395452169e+48,1.070842543088314e+48
0.529,337799805443770.9,1.1026512716300187e+48,0.007225611000000006,1.1355757751703253e+48,1.0697267680897122e+48
0.53,338438368403021.9,1.1026635519432722e+48,0.0074730000000000065,1.1367153179401837e+48,1.0686117859463606e+48
0.531,339076931362272.9,1.1026758322565254e+48,0.007720209000000007,1.1378540405149559e+48,1.067497623998095e+48
0.532,339715494321523.8,1.1026881125697787e+48,0.007967232000000006,1.1389919155548057e+48,1.0663843095847518e+48
0.533,340354057280774.8,1.1027003928830322e+48,0.008214063000000008,1.140128915719897e+48,1.0652718700461674e+48
0.534,340992620240025.8,1.1027126731962854e+48,0.008460696000000007,1.1412650136703931e+48,1.0641603327221778e+48
0.535,341631183199276.8,1.1027249535095387e+48,0.008707125000000008,1.1424001820664582e+48,1.0630497249526193e+48
0.536,342269746158527.75,1.1027372338227921e+48,0.008953344000000009,1.1435343935682562e+48,1.0619400740773281e+48
0.537,342908309117778.75,1.1027495141360453e+48,0.009199347000000007,1.1446676208359504e+48,1.0608314074361401e+48
0.538,343546872077029.75,1.1027617944492987e+48,0.009445128000000007,1.1457998365297052e+48,1.0597237523688922e+48
0.539,344185435036280.75,1.1027740747625521e+48,0.009690681000000008,1.1469310133096842e+48,1.05861713621542e+48
0.54,344823997995531.75,1.1027863550758052e+48,0.009936000000000009,1.1480611238360506e+48,1.0575115863155599e+48
0.541,345462560954782.7,1.1027986353890587e+48,0.010181079000000008,1.1491901407689692e+48,1.0564071300091481e+48
0.542,346101123914033.7,1.1028109157023121e+48,0.01042591200000001,1.1503180367686032e+48,1.055303794636021e+48
0.543,346739686873284.7,1.1028231960155652e+48,0.01067049300000001,1.1514447844951162e+48,1.0542016075360143e+48
0.544,347378249832535.7,1.1028354763288187e+48,0.01091481600000001,1.1525703566086725e+48,1.0531005960489649e+48
0.545,348016812791786.6,1.102847756642072e+48,0.01115887500000001,1.1536947257694355e+48,1.0520007875147084e+48
0.546,348655375751037.6,1.1028600369553252e+48,0.01140266400000001,1.1548178646375691e+48,1.0509022092730813e+48
0.547,349293938710288.6,1.1028723172685787e+48,0.01164617700000001,1.1559397458732374e+48,1.0498048886639199e+48
0.548,349932501669539.6,1.102884597581832e+48,0.011889408000000011,1.1570603421366037e+48,1.0487088530270601e+48
0.549,350571064628790.56,1.1028968778950852e+48,0.01213235100000001,1.158179626087832e+48,1.0476141297023385e+48
0.55,351209627588041.56,1.1029091582083386e+48,0.012375000000000011,1.1592975703870863e+48,1.046520746029591e+48
0.551,351848190547292.56,1.1029214385215919e+48,0.012617349000000012,1.1604141476945301e+48,1.0454287293486537e+48
0.552,352486753506543.56,1.1029337188348452e+48,0.012859392000000011,1.1615293306703272e+48,1.0443381069993632e+48
0.553,353125316465794.5,1.1029459991480986e+48,0.013101123000000011,1.1626430919746419e+48,1.0432489063215554e+48
0.554,353763879425045.5,1.1029582794613519e+48,0.013342536000000012,1.1637554042676372e+48,1.0421611546550666e+48
0.555,354402442384296.5,1.1029705597746052e+48,0.013583625000000012,1.1648662402094772e+48,1.0410748793397332e+48
