shape_lane,interval_index,substep,group,node_rows,J_sum,kappa_sum,Phi_min,Phi_max,Phi_distinct_rounded_1e_minus_9,negative_J_rows,negative_kappa_rows,nonpositive_Phi_rows,max_J_equals_kappa_Phi_relative_residual,dynamic_opacity_law_present_in_rows
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,G1,46080,1.8426792637680145e+50,0.024939802334648157,7.388507892093379e+51,7.388507892097126e+51,14,0,0,0,7.361655191846447e-16,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,G2a,46080,6.500349630293557e+49,0.010304348888284727,6.308355531016225e+51,6.308355531018239e+51,13,0,0,0,8.110397842703718e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,0,1,G1,46080,2.02028219526998e+50,0.019121154753139746,1.0565691357830646e+52,1.0565691357834581e+52,14,0,0,0,7.613748839863752e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,0,1,G2a,46080,4.6486550545515565e+49,0.00853711942890815,5.445226687130701e+51,5.445226687133917e+51,13,0,0,0,7.340227786471286e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,0,2,G1,46080,2.0422038319672545e+50,0.01932863418780078,1.056569135783063e+52,1.0565691357836646e+52,13,0,0,0,7.755312281673069e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,0,2,G2a,46080,4.696395184651108e+49,0.008624792785487346,5.4452266871306995e+51,5.445226687135047e+51,12,0,0,0,6.81238938399473e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,1,1,G1,46080,1.6912427145616508e+50,0.027364336192355218,6.180463149820888e+51,6.180463149826352e+51,14,0,0,0,8.307446894138004e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,1,1,G2a,46080,6.479631580844805e+49,0.012233511704903423,5.296624335796717e+51,5.296624335797891e+51,14,0,0,0,7.602440880558967e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,1,2,G1,46080,1.6963288532385906e+50,0.02744663000357389,6.18046314982088e+51,6.180463149821381e+51,14,0,0,0,8.362651233535131e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,1,2,G2a,46080,6.651170309154133e+49,0.012557375957744612,5.296624335796725e+51,5.296624335798242e+51,12,0,0,0,7.843102355742065e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,2,1,G1,46080,1.8693321414003941e+50,0.05727465753439411,3.263803262861612e+51,3.263803262862407e+51,15,0,0,0,8.2933101494838e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,2,1,G2a,46080,8.838279021543839e+49,0.026232714402515463,3.36918203962003e+51,3.369182039621604e+51,14,0,0,0,7.86930857034211e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,2,2,G1,46080,1.837901265858493e+50,0.056311643743104975,3.263803262861613e+51,3.2638032628637247e+51,16,0,0,0,7.975378853607587e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,2,2,G2a,46080,9.253427630471681e+49,0.027464908460437643,3.3691820396200234e+51,3.369182039621931e+51,14,0,0,0,7.067978692253002e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,3,1,G1,46080,1.174763259892034e+50,0.023916259572287865,4.9119857406683166e+51,4.91198574067189e+51,14,0,0,0,8.041002564017754e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,3,1,G2a,46080,4.879711221373288e+49,0.012326184745082694,3.9588172028005215e+51,3.958817202802125e+51,12,0,0,0,8.100909728938693e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,3,2,G1,46080,1.338156134747124e+50,0.02724267140411172,4.9119857406683053e+51,4.9119857406705404e+51,16,0,0,0,8.719836684845741e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,3,2,G2a,46080,5.482491053523209e+49,0.013848810825729987,3.958817202800526e+51,3.9588172028013735e+51,14,0,0,0,7.60716387529571e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,4,1,G1,46080,1.8162970293028743e+50,0.024582731125542826,7.388507892093382e+51,7.388507892097827e+51,15,0,0,0,7.609580404992849e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,4,1,G2a,46080,6.57751925811194e+49,0.010426678118840925,6.308355531016208e+51,6.308355531017928e+51,12,0,0,0,6.306863582212742e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,4,2,G1,46080,1.8426792637680161e+50,0.024939802334648174,7.388507892093379e+51,7.388507892097126e+51,13,0,0,0,7.193451646746588e-16,False
RECOMBINATION_WEIGHTED_AUDITOR,4,2,G2a,46080,6.500349630293541e+49,0.010304348888284756,6.308355531016227e+51,6.308355531018023e+51,12,0,0,0,8.370335402432671e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,0,1,G1,46080,2.0202821952699787e+50,0.019121154753139736,1.0565691357830649e+52,1.0565691357834573e+52,13,0,0,0,6.642832680942578e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,0,1,G2a,46080,4.6486550545515715e+49,0.008537119428908183,5.4452266871307015e+51,5.445226687134489e+51,12,0,0,0,7.840245030416579e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,0,2,G1,46080,2.042203831967251e+50,0.019328634187800748,1.056569135783063e+52,1.0565691357836639e+52,13,0,0,0,7.31269119120709e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,0,2,G2a,46080,4.696395184651111e+49,0.008624792785487289,5.4452266871306995e+51,5.445226687134944e+51,13,0,0,0,6.652199816050629e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,1,1,G1,46080,1.691242714561653e+50,0.02736433619235515,6.180463149820888e+51,6.180463149826348e+51,14,0,0,0,7.890838967935945e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,1,1,G2a,46080,6.479631580844805e+49,0.012233511704903322,5.296624335796717e+51,5.2966243357987964e+51,14,0,0,0,6.640525923595144e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,1,2,G1,46080,1.6963288532385931e+50,0.027446630003574037,6.18046314982088e+51,6.180463149821381e+51,13,0,0,0,8.815334821420519e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,1,2,G2a,46080,6.651170309154147e+49,0.012557375957744706,5.296624335796727e+51,5.2966243357986276e+51,11,0,0,0,6.400666821771259e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,G1,46080,1.8693321414003948e+50,0.05727465753439413,3.263803262861613e+51,3.263803262862408e+51,16,0,0,0,8.262104800352814e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,G2a,46080,8.838279021543837e+49,0.0262327144025152,3.369182039620031e+51,3.36918203962317e+51,14,0,0,0,7.286725160034982e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,2,2,G1,46080,1.8379012658584917e+50,0.05631164374310495,3.263803262861613e+51,3.263803262863727e+51,16,0,0,0,8.232476614149354e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,2,2,G2a,46080,9.253427630471681e+49,0.0274649084604376,3.3691820396200234e+51,3.369182039622325e+51,15,0,0,0,7.927954561961687e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,G1,46080,1.1747632598920325e+50,0.02391625957228783,4.9119857406683166e+51,4.9119857406718916e+51,14,0,0,0,8.415638702453802e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,G2a,46080,4.879711221373276e+49,0.012326184745082774,3.958817202800521e+51,3.958817202801448e+51,13,0,0,0,8.270002148850187e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,G1,46080,1.3381561347471237e+50,0.027242671404111695,4.9119857406683053e+51,4.9119857406705424e+51,16,0,0,0,7.845269152245523e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,G2a,46080,5.482491053523212e+49,0.013848810825729918,3.958817202800526e+51,3.9588172028023445e+51,13,0,0,0,8.739184414010588e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,4,1,G1,46080,1.8162970293028797e+50,0.0245827311255429,7.388507892093383e+51,7.388507892097827e+51,14,0,0,0,8.454651050413473e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,4,1,G2a,46080,6.577519258111954e+49,0.01042667811884087,6.30835553101621e+51,6.308355531018411e+51,13,0,0,0,7.459659107014753e-16,False
SCRIPT_SELF_SHIELDING_AUDITOR,4,2,G1,46080,1.8426792637680192e+50,0.024939802334648205,7.388507892093379e+51,7.388507892097126e+51,15,0,0,0,8.23528090909154e-16,False
