shape_lane,interval_index,substep,macro_index,KL_photon,TV_G1,TV_G2a,KL_bernoulli,KL_thermal
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,12,1.029240528472386e+49,0.28785938403955397,0.29689585482094466,0.03155326084994661,2.611797054070177e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,13,3.9752653539104976e+48,0.28652444829342105,0.2946621236562007,0.03155326084994674,1.0223918175328503e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,14,1.1011102366888287e+48,0.28564274908031434,0.2924912630951101,0.03155326084994674,2.8564923831153697e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,15,9.135473596879855e+47,0.28612107995337577,0.29396447751478405,0.03155326084994674,2.359742616418821e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,16,9.106188159317198e+46,0.28598128177066356,0.2937769280176765,0.03155326084994674,2.356428817759151e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,17,2.4237999986226077e+45,0.28599559183723033,0.29384318071656435,0.03155326084994674,6.270938266400779e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,0,1.164033911367397e+49,0.3688055914218068,0.37129428642881257,0.039728798235070736,1.9195610676598655e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,1,1.7227131087518467e+48,0.36667547367194897,0.3623090743851618,0.03972879823507009,2.8985288367114883e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,8.276360769706538e+47,0.3664158417738117,0.3605980066516636,0.03972879823507171,1.3961224292114318e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,3,4.037279944508546e+47,0.3663792985221763,0.35999800132036197,0.03972879823507121,6.813159525119712e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,4,4.232104542711774e+46,0.36644664229540547,0.3594734686580821,0.039728798235071305,7.138104636325117e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5,1.078239530670124e+45,0.3664236185003128,0.35918767794620887,0.03972879823507166,1.819069890224277e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,6,1.9097209078944847e+49,0.34582623103917004,0.34968174974899213,0.037297475007493294,3.598584757141722e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,7,1.3719295747769503e+49,0.3447476072169251,0.3467110903662018,0.03729747500749136,2.6117093195442957e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,8,6.110525270389495e+48,0.3443378912418275,0.34524798203321116,0.03729747500749242,1.1679033204800036e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,9,2.8490352215845585e+48,0.3441800329776623,0.34460770751676073,0.03729747500749249,5.453948915957088e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,10,2.678063789608565e+47,0.3439936166883053,0.3436870364780935,0.03729747500749251,5.1366435283233784e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,11,6.843956811007194e+45,0.34395606565767156,0.3434516885660569,0.03729747500749277,1.3132521883603506e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,12,1.095955557551668e+49,0.2947955266118777,0.30395337905564046,0.0334517034581951,2.8373420574722634e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,13,4.2312919457903836e+48,0.29345735636673287,0.30169915526564056,0.033451703458195516,1.109942534855328e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,14,1.1721262260798166e+48,0.29257005155590754,0.29949705544404553,0.0334517034581951,3.1011625930958673e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,15,9.72192105702982e+47,0.2930532898405661,0.30099550283257515,0.03345170345819583,2.561057310754979e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,16,9.689009403314874e+46,0.2929139023773446,0.30080793710288234,0.0334517034581951,2.5568523783963186e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,17,2.5789343383873036e+45,0.2929283889113823,0.30087534617400125,0.03345170345819548,6.804306553170626e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,0,6.812954822809174e+48,0.3486523780259291,0.353040138332787,0.04432103415291884,1.2222037949362331e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,1,2.293331413717952e+48,0.34721709946972035,0.3491394536690172,0.044321034152918645,4.1737843706890396e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,2,1.1405761402556525e+48,0.34700032812945036,0.3482813451140192,0.044321034152919526,2.0806466774290174e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,3,5.717585728992802e+47,0.34693979016455045,0.348036022495328,0.04432103415291948,1.0437762470648645e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,4,5.706526113035926e+46,0.34683561853590006,0.3474893876468479,0.044321034152918506,1.0431230811616799e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5,1.450417837442958e+45,0.3468044057679697,0.3473125892438523,0.044321034152918506,2.6522034223066197e+61
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,6,1.974035552989164e+49,0.3235363259699673,0.3309033938521623,0.04135262599559435,4.097323927089522e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,7,1.7335627096243966e+49,0.32263905966346296,0.3294332807426049,0.04135262599559432,3.632157497573682e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,8,7.883094838747963e+48,0.32221039914574345,0.3286420259364783,0.04135262599559531,1.659504710283173e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,9,3.7168823306074963e+48,0.32202385317248283,0.3283095222151362,0.041352625995594104,7.84109507213143e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,10,3.4602970786806752e+47,0.3217580711741774,0.32777857549350164,0.04135262599559482,7.322710241982055e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,11,8.783477537369377e+45,0.3217042928165036,0.32763861114074,0.04135262599559407,1.8600190445228629e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,12,7.354254847690439e+48,0.2636395277046821,0.27987234752823786,0.0366265087565539,2.2586992323107943e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,13,4.68375879286678e+48,0.26250580894996156,0.2785003784364437,0.03662650875655328,1.456704611246575e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,14,8.83502135764641e+47,0.26169505231388984,0.276331207259948,0.036626508756553273,2.7716951503625625e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,15,1.0772698227658119e+48,0.2619145131462446,0.2778136946780419,0.03662650875655328,3.374844776799629e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,16,1.0705151071658848e+47,0.26171569191957206,0.2776085143022158,0.036626508756553745,3.36274238269915e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,17,2.82816586139287e+45,0.26167845632568437,0.27759917791269484,0.0366265087565541,8.887736506397255e+61
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,0,7.349715986875754e+48,0.36044230285165846,0.3649062341207173,0.05213596002308392,3.7226958557461815e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,1,2.4582837673639705e+48,0.3589932228058779,0.3609004441673832,0.05213596002308392,1.2630496450901703e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,1.2210705249103889e+48,0.35877346204494887,0.36001631716876425,0.052135960023084724,6.288325641555058e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,3,6.1157531893919004e+47,0.35871270494228535,0.3597639433458654,0.05213596002308392,3.1517707319922225e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,4,6.095245589597428e+46,0.3586078066340533,0.3592007028088939,0.05213596002308479,3.1452242182773837e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5,1.548949611094828e+45,0.358576039916996,0.35901823958117685,0.052135960023085126,7.99554343877685e+60
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,6,2.165548298959376e+49,0.3375505024412847,0.34496358129343807,0.048750730685095674,1.2486620078773288e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,7,1.8958435717705833e+49,0.33665418592425156,0.34353147230084086,0.04875073068509553,1.1030960235355145e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,8,8.606130648020104e+48,0.3362254797016997,0.34275079756351257,0.048750730685095674,5.0304313677899965e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,9,4.054277313053324e+48,0.33603911280163745,0.34242448346113885,0.048750730685095674,2.3746094645598555e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,10,3.7693548359522425e+47,0.3357734092260492,0.34188978243759693,0.048750730685095035,2.2144107496915605e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,11,9.565263813683087e+45,0.3357195153894696,0.34174781265947296,0.048750730685095695,5.623056077335608e+61
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,12,8.380309024155966e+48,0.2803533901949102,0.29574377335036695,0.04335876271572097,6.893858233453588e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,13,5.333010218971011e+48,0.27924837367574373,0.29438399945845795,0.04335876271572109,4.438959563172729e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,14,1.0063725022431546e+48,0.2783479122860169,0.2921828883106232,0.04335876271572198,8.449113571216507e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,15,1.2257612534508573e+48,0.2786813553900561,0.29370843818918857,0.043358762715721574,1.0271871467367234e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,16,1.2176610819392405e+47,0.2784949200323311,0.2935095481984122,0.04335876271572105,1.0229494682243425e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,17,3.2167374604207576e+45,0.2784620330387667,0.2935024932905206,0.0433587627157225,2.703400940530605e+61
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,0,5.1912116946320935e+48,0.3753706823387939,0.37866324049662814,0.05577257016335804,1.553050922459327e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,1,1.5015794064336338e+48,0.3738606309317294,0.3728243665587555,0.05577257016335817,4.557122705810024e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,2,7.676183677447552e+47,0.37369685408959896,0.37182609478534095,0.05577257016335822,2.3335015324451385e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,3,3.908046431192078e+47,0.373686699296531,0.37160968302971564,0.05577257016335713,1.1882034839273464e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,4,3.878262757590568e+46,0.37361840443013494,0.3707824597073932,0.05577257016335693,1.1801001840926848e+63
