shape_lane,interval_index,substep,z_mid,macro_count,mass_relative_residual_max,ionization_absolute_residual_max,temperature_relative_residual_max,J_relative_residual_max,kappa_relative_residual_max,capacity_violation_max,transfer_relative_residual_max,KKT_stationarity_max,KKT_complementarity_max
RECOMBINATION_WEIGHTED_AUDITOR,4,1,5.55,18,1.9872133295394896e-16,3.3306690738754696e-16,3.734193461868311e-16,1.390777964342103e-14,6.938893903907228e-17,1.6225927682921336e+32,3.1552023035856805e-16,8.881784197001252e-16,1.3311338499938939e-17
RECOMBINATION_WEIGHTED_AUDITOR,4,2,5.55,18,2.1647910721697784e-16,4.440892098500626e-16,3.695867406456968e-16,1.237058134493794e-14,2.3418766925686896e-17,3.2451855365842673e+32,2.1210641745212385e-16,8.881784197001252e-16,1.1802956796956668e-17
SCRIPT_SELF_SHIELDING_AUDITOR,0,1,5.95,18,2.6614811302125674e-16,2.220446049250313e-16,5.001253195068363e-16,1.3386667435616275e-14,9.540979117872439e-18,3.2451855365842673e+32,2.2923046795990127e-16,8.881784197001252e-16,2.3412704805072403e-17
SCRIPT_SELF_SHIELDING_AUDITOR,0,2,5.95,18,2.141473632975065e-16,5.551115123125783e-16,5.002186932609394e-16,9.2533242211381e-15,9.540979117872439e-18,3.2451855365842673e+32,2.1990432917627112e-16,1.7763568394002505e-15,2.0426922364501192e-17
SCRIPT_SELF_SHIELDING_AUDITOR,1,1,5.85,18,2.2073256451672406e-16,5.551115123125783e-16,3.7529412669524693e-16,5.516039379972594e-15,2.0816681711721685e-17,3.2451855365842673e+32,2.5939780977653876e-16,1.7763568394002505e-15,1.7223044612075415e-17
SCRIPT_SELF_SHIELDING_AUDITOR,1,2,5.85,18,3.1657321754354966e-16,3.3306690738754696e-16,4.991918089654896e-16,5.154513971596311e-15,1.9081958235744878e-17,3.2451855365842673e+32,2.9907299127644597e-16,1.7763568394002505e-15,1.8985081300790356e-17
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,5.75,18,1.9416548541186936e-16,5.551115123125783e-16,5.059589128173015e-16,6.153172763445232e-15,2.6020852139652106e-17,3.2451855365842673e+32,2.482851081394432e-16,1.7763568394002505e-15,1.4818420008914927e-17
SCRIPT_SELF_SHIELDING_AUDITOR,2,2,5.75,18,3.744051986900664e-16,4.440892098500626e-16,5.090200211175757e-16,5.109998430095611e-15,1.8214596497756474e-17,6.490371073168535e+32,2.2435153857702583e-16,1.7763568394002505e-15,1.4979452978747994e-17
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65,18,4.358210920841286e-16,5.551115123125783e-16,6.389036595328656e-16,8.11119188449493e-15,1.0408340855860843e-17,1.6225927682921336e+32,2.6492239269069725e-16,8.881784197001252e-16,1.6309989211104942e-17
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65,18,3.8850769069886854e-16,4.440892098500626e-16,5.115291209916902e-16,6.213075743674725e-15,6.071532165918825e-18,3.2451855365842673e+32,2.6803749710699573e-16,1.7763568394002505e-15,1.6723659347521856e-17
SCRIPT_SELF_SHIELDING_AUDITOR,4,1,5.55,18,3.648527288414892e-16,3.3306690738754696e-16,7.468386923736622e-16,8.547379326894023e-15,1.2576745200831851e-17,2.4338891524382005e+32,3.3067177179631855e-16,1.7763568394002505e-15,2.4502726824802987e-17
SCRIPT_SELF_SHIELDING_AUDITOR,4,2,5.55,18,2.995150783712852e-16,4.440892098500626e-16,3.695867406456968e-16,1.3125310341786563e-14,5.204170427930421e-17,4.867778304876401e+32,2.40533153188397e-16,8.881784197001252e-16,1.8378624748147325e-17
