shape_lane,interval_index,substep,z_mid,macro_index,mass_relative_residual,ionization_absolute_residual,temperature_relative_residual,J_G1_relative_residual,J_G2a_relative_residual,kappa_G1_relative_residual,kappa_G2a_relative_residual,capacity_violation_max,capacity_slack_min,transfer_relative_residual,kkt_stationarity_max,kkt_complementarity_max,active_capacity_nodes
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,9,0.0,1.1102230246251565e-16,2.5019608446349793e-16,3.8021458180173463e-16,1.3161341849794082e-15,8.673617379884035e-19,6.505213034913027e-19,4.056481920730334e+31,-4.056481920730334e+31,1.6544630789582179e-16,4.440892098500626e-16,4.583125108913171e-18,1376
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10,1.567094565679651e-16,3.3306690738754696e-16,5.003921689269959e-16,6.144257506109796e-16,3.198953672293633e-15,1.3552527156068805e-20,2.371692252312041e-20,2.535301200456459e+30,-2.535301200456459e+30,2.1947638143914015e-16,4.440892098500626e-16,2.581235663004481e-18,1376
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,11,1.9152660254707463e-16,2.220446049250313e-16,1.2509804223174897e-16,5.973318886676155e-16,5.235189778814917e-16,1.2705494208814505e-21,8.470329472543003e-22,7.922816251426434e+28,-7.922816251426434e+28,1.3411942902799062e-16,4.440892098500626e-16,2.1305398766323273e-18,1376
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,1.8214999253204776e-16,4.440892098500626e-16,1.2509804223174897e-16,6.863254043883185e-16,1.4709228613158292e-15,2.3418766925686896e-17,4.336808689942018e-19,8.112963841460668e+31,-8.112963841460668e+31,1.2755331463599933e-16,4.440892098500626e-16,2.3324656524680933e-18,1357
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,13,1.163298663329777e-16,1.1102230246251565e-16,2.5019608446349793e-16,8.412818607975394e-16,9.033517107656266e-16,4.336808689942018e-19,3.2526065174565133e-19,4.056481920730334e+31,-4.056481920730334e+31,3.258470634155724e-16,4.440892098500626e-16,1.745602677028518e-18,1358
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,14,2.0818312727971201e-16,2.220446049250313e-16,2.5019608446349793e-16,4.898740201620804e-15,3.569499443444966e-15,2.2768245622195593e-18,0.0,4.056481920730334e+31,-4.056481920730334e+31,0.0,4.440892098500626e-16,1.9374371192225834e-18,1358
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,15,1.2600389407513246e-16,2.220446049250313e-16,1.2509804223174897e-16,7.833063109539614e-16,1.7545228679761036e-15,1.0299920638612292e-18,4.607859233063394e-19,2.028240960365167e+31,-2.028240960365167e+31,1.7647230310480232e-16,4.579669976578771e-16,3.2077271306728447e-18,1358
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,16,1.577263635352279e-16,2.220446049250313e-16,1.2509804223174897e-16,6.905917004375554e-16,1.9004761008786983e-15,6.776263578034403e-21,2.710505431213761e-20,1.2676506002282294e+30,-1.2676506002282294e+30,2.2090059071357085e-16,4.579669976578771e-16,2.3944559021091923e-18,1358
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,17,1.8521498127827743e-16,1.1102230246251565e-16,2.5019608446349793e-16,1.621900341885701e-16,1.1158389175229068e-16,4.235164736271502e-22,9.529120656610879e-22,3.961408125713217e+28,-3.961408125713217e+28,1.2969961982388445e-16,4.440892098500626e-16,3.41625448707781e-18,1358
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,0,0.0,3.3306690738754696e-16,0.0,1.366190287298553e-15,2.2008672161073906e-15,9.974659986866641e-18,2.168404344971009e-19,1.6225927682921336e+32,-1.6225927682921336e+32,1.596089515704093e-16,8.881784197001252e-16,4.360408704408337e-18,1387
