interval_index,selected_node_count,quantity,selected_average,GL512_average,absolute_variation_average,relative_residual
1,17,thermal_threshold_H_erg_cm-3_s-1,1.459716246516915e-32,1.459720195188986e-32,1.459720195188986e-32,2.7050883341323396e-06
1,17,thermal_threshold_HeI_erg_cm-3_s-1,3.538961911691417e-33,3.538971955088589e-33,3.538971955088589e-33,2.837942006687257e-06
1,17,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
1,17,thermal_recombination_cooling_erg_cm-3_s-1,1.0744542120539303e-33,1.07445421166121e-33,1.07445421166121e-33,3.6550670979890344e-10
1,17,thermal_excitation_cooling_erg_cm-3_s-1,4.300784824643672e-35,4.300793995267663e-35,4.300793995267663e-35,2.132309522624097e-06
1,17,thermal_collisional_ionization_cooling_erg_cm-3_s-1,7.2855468257658645e-37,7.285562971753911e-37,7.285562971753911e-37,2.216162032929246e-06
1,17,thermal_free_free_cooling_erg_cm-3_s-1,9.226887909191051e-34,9.226887905018574e-34,9.226887905018574e-34,4.5220852442237226e-10
1,17,thermal_cooling_total_erg_cm-3_s-1,2.0408794059020486e-33,2.0408794984129193e-33,2.0408794984129193e-33,4.5328923521772845e-08
1,17,thermal_expansion_work_erg_cm-3_s-1,1.6828318534796077e-32,1.682831853039639e-32,1.682831853039639e-32,2.6144552283473603e-10
1,17,thermal_thermal_rhs_erg_cm-3_s-1,-1.1232790333177639e-32,-1.1232772360611698e-32,1.1232772360611698e-32,1.6000115878919032e-06
2,17,redshift_threshold_loss_rate_s-1_cMpc-3,2.925988419707893e+48,2.925988419683505e+48,2.925988419683505e+48,8.335035839675703e-12
2,17,absorption_G1_s-1_cMpc-3,3.302717894254935e+50,3.3027178934803292e+50,3.3027178934803292e+50,2.345359119341564e-10
2,17,absorption_G2a_s-1_cMpc-3,1.745133016666838e+50,1.745133158852988e+50,1.745133158852988e+50,8.147581707353168e-08
2,17,absorption_G2b_s-1_cMpc-3,8.131894273447974e+48,8.131902142287433e+48,8.131902142287433e+48,9.67650535108464e-07
2,17,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0
2,17,thermal_photoheat_erg_cm-3_s-1,8.553572760348169e-33,8.553577502767518e-33,8.553577502767518e-33,5.544369414816198e-07
2,17,thermal_photoheat_H_erg_cm-3_s-1,6.971218016805816e-33,6.97121901220912e-33,6.97121901220912e-33,1.4278755291517152e-07
2,17,thermal_photoheat_HeI_erg_cm-3_s-1,1.5823547435423517e-33,1.5823584905583995e-33,1.5823584905583995e-33,2.367994402141926e-06
2,17,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
2,17,thermal_threshold_H_erg_cm-3_s-1,1.299518439080634e-32,1.2995186448131768e-32,1.2995186448131768e-32,1.5831442166333656e-07
2,17,thermal_threshold_HeI_erg_cm-3_s-1,3.283866489139897e-33,3.2838753401253e-33,3.2838753401253e-33,2.6952866618318487e-06
2,17,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
2,17,thermal_recombination_cooling_erg_cm-3_s-1,9.843904319257693e-34,9.84390431841466e-34,9.84390431841466e-34,8.563999316172764e-11
2,17,thermal_excitation_cooling_erg_cm-3_s-1,7.477635285481172e-35,7.477636314040182e-35,7.477636314040182e-35,1.3755135531640442e-07
2,17,thermal_collisional_ionization_cooling_erg_cm-3_s-1,1.3835520060031297e-36,1.3835522032327678e-36,1.3835522032327678e-36,1.4255308733995171e-07
2,17,thermal_free_free_cooling_erg_cm-3_s-1,8.568177716186036e-34,8.568177715257711e-34,8.568177715257711e-34,1.0834559477033044e-10
2,17,thermal_cooling_total_erg_cm-3_s-1,1.9173681084051877e-33,1.9173681187108717e-33,1.9173681187108717e-33,5.374911511351559e-09
2,17,thermal_expansion_work_erg_cm-3_s-1,1.6162724463742328e-32,1.6162724462407602e-32,1.6162724462407602e-32,8.258049827735012e-11
2,17,thermal_thermal_rhs_erg_cm-3_s-1,-9.526519811799348e-33,-9.526515078350958e-33,9.526515078350958e-33,4.968709282385545e-07
3,17,redshift_threshold_loss_rate_s-1_cMpc-3,4.603259644446363e+48,4.6032596495747584e+48,4.6032596495747584e+48,1.1140790768929562e-09
3,17,absorption_G1_s-1_cMpc-3,2.958543842578774e+50,2.958544580158395e+50,2.958544580158395e+50,2.493048865711649e-07
3,17,absorption_G2a_s-1_cMpc-3,1.1100960377874217e+50,1.1100966569481186e+50,1.1100966569481186e+50,5.57753861294993e-07
3,17,absorption_G2b_s-1_cMpc-3,7.409841638216326e+48,7.409846555671348e+48,7.409846555671348e+48,6.636379019848109e-07
3,17,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0
3,17,thermal_photoheat_erg_cm-3_s-1,7.287945633086077e-33,7.287947548886232e-33,7.287947548886232e-33,2.6287238502174296e-07
3,17,thermal_photoheat_H_erg_cm-3_s-1,5.834019757484348e-33,5.83401967188038e-33,5.83401967188038e-33,1.4673239589374844e-08
3,17,thermal_photoheat_HeI_erg_cm-3_s-1,1.4539258756017288e-33,1.4539278770058518e-33,1.4539278770058518e-33,1.3765497963616194e-06
3,17,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
3,17,thermal_threshold_H_erg_cm-3_s-1,1.1881100158650556e-32,1.188110002828379e-32,1.188110002828379e-32,1.0972617494616458e-08
