interval_index,node_count,quantity,candidate_average,GL256_average,absolute_variation_average,dense_relative_residual,next_node_count,nested_relative_delta
1,17,thermal_excitation_cooling_erg_cm-3_s-1,4.300784824643672e-35,4.300793995267381e-35,4.300793995267381e-35,2.1323094571225176e-06,33.0,2.1312439833225273e-06
1,17,thermal_collisional_ionization_cooling_erg_cm-3_s-1,7.2855468257658645e-37,7.285562971753423e-37,7.285562971753423e-37,2.2161619659778682e-06,33.0,2.2150779531242993e-06
1,17,thermal_free_free_cooling_erg_cm-3_s-1,9.226887909191051e-34,9.226887905018574e-34,9.226887905018574e-34,4.5220852442237226e-10,33.0,4.520060789368887e-10
1,17,thermal_cooling_total_erg_cm-3_s-1,2.0408794059020486e-33,2.0408794984129166e-33,2.0408794984129166e-33,4.5328922180727995e-08,33.0,4.530626925113571e-08
1,17,thermal_expansion_work_erg_cm-3_s-1,1.6828318534796077e-32,1.6828318530396386e-32,1.6828318530396386e-32,2.614456854719632e-10,33.0,2.613606262021492e-10
1,17,thermal_thermal_rhs_erg_cm-3_s-1,-1.1232790333177639e-32,-1.1232772360606498e-32,1.1232772360606498e-32,1.600012050835438e-06,33.0,1.597911326257246e-06
1,33,redshift_threshold_loss_rate_s-1_cMpc-3,5.1922980683016415e+48,5.192298086232471e+48,5.192298086232471e+48,3.453351308469016e-09,65.0,3.500717422103674e-09
1,33,absorption_G1_s-1_cMpc-3,3.387186561994301e+50,3.387185436232327e+50,3.387185436232327e+50,3.3235912092934605e-07,65.0,2.886207251882971e-07
1,33,absorption_G2a_s-1_cMpc-3,1.4217158367404524e+50,1.4217149585070998e+50,1.4217149585070998e+50,6.177281510476253e-07,65.0,5.369497999050968e-07
1,33,absorption_G2b_s-1_cMpc-3,4.655653653633693e+48,4.655653657805566e+48,4.655653657805566e+48,8.960874748428747e-10,65.0,8.235765789999203e-10
1,33,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,65.0,0.0
1,33,thermal_photoheat_erg_cm-3_s-1,7.636425644561079e-33,7.636425668202805e-33,7.636425668202805e-33,3.0959152271871904e-09,65.0,3.042431059855601e-09
1,33,thermal_photoheat_H_erg_cm-3_s-1,6.271923010774198e-33,6.271923031566215e-33,6.271923031566215e-33,3.315094534099397e-09,65.0,3.26421734274058e-09
1,33,thermal_photoheat_HeI_erg_cm-3_s-1,1.3645026337868813e-33,1.3645026366365894e-33,1.3645026366365894e-33,2.0884591839496027e-09,65.0,2.0229914502163573e-09
1,33,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,65.0,0.0
1,33,thermal_threshold_H_erg_cm-3_s-1,1.4597201894143684e-32,1.4597201951903702e-32,1.4597201951903702e-32,3.956923908341998e-09,65.0,3.907173452407391e-09
1,33,thermal_threshold_HeI_erg_cm-3_s-1,3.538971943940829e-33,3.5389719550912065e-33,3.5389719550912065e-33,3.1507391581217315e-09,65.0,3.0951101687431816e-09
1,33,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,65.0,0.0
1,33,thermal_recombination_cooling_erg_cm-3_s-1,1.074454211661405e-33,1.07445421166121e-33,1.07445421166121e-33,1.8149206465190375e-13,65.0,1.6748215088929829e-13
