z,Gamma12,kappa_G1_direct_cMpc_inv,kappa_G2a_direct_cMpc_inv,fit_G1_cMpc_inv,fit_G2a_cMpc_inv,group_operator
5.65,30.000000000000004,0.000891522940405479,0.000650196201533298,0.0008915229404054787,0.0006501962015332979,DIRECT_ENERGY_GROUP
5.55,0.029999999999999995,0.18958306871229824,0.09587604325756413,0.18958306871229821,0.09587604325756414,DIRECT_ENERGY_GROUP
5.55,0.05000000000000001,0.10881068684438275,0.050495798493738024,0.10881068684438273,0.050495798493738024,DIRECT_ENERGY_GROUP
5.55,0.07999999999999999,0.07424463263172898,0.034811354613829226,0.07424463263172898,0.034811354613829226,DIRECT_ENERGY_GROUP
5.55,0.15,0.04398832497080923,0.021111064973310306,0.043988324970809234,0.021111064973310306,DIRECT_ENERGY_GROUP
5.55,0.3,0.021556189839261178,0.01003338352368676,0.021556189839261174,0.01003338352368676,DIRECT_ENERGY_GROUP
5.55,0.5,0.01618949947039279,0.00841377943706521,0.016189499470392787,0.008413779437065212,DIRECT_ENERGY_GROUP
5.55,0.8,0.01111783574275511,0.006035016604095731,0.011117835742755109,0.0060350166040957325,DIRECT_ENERGY_GROUP
5.55,3.0000000000000004,0.0039736876757570545,0.0024471403940665533,0.0039736876757570545,0.0024471403940665524,DIRECT_ENERGY_GROUP
5.55,4.999999999999999,0.0029097185706486606,0.0019216989848780228,0.002909718570648662,0.0019216989848780221,DIRECT_ENERGY_GROUP
5.55,7.999999999999998,0.002131882449008624,0.0014734561455969422,0.002131882449008624,0.0014734561455969426,DIRECT_ENERGY_GROUP
5.55,15.0,0.0014342493442248611,0.0010435158207467302,0.0014342493442248611,0.00104351582074673,DIRECT_ENERGY_GROUP
5.55,30.000000000000004,0.0008981347049299424,0.0006710117809432361,0.0008981347049299423,0.0006710117809432363,DIRECT_ENERGY_GROUP
