shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_status,two_mode_status,refinement_status,farkas_h_dot_y
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,16,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-1.18140590447541795e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,17,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.86872483409889674e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,0,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-7.27172077964321484e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,1,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.00737076744722576e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-6.74389572458862996e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,3,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-7.03869243669051059e+00
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,4,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-1.19957182174331989e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.74619926404298447e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,6,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-3.69153041241145133e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,7,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-5.00821373350363377e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,8,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-9.12210136360494528e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,9,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-1.40793535770556283e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,10,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.78854084794025914e+00
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,11,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-1.93147504867122732e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,12,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-4.41416706882131055e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,13,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-1.18602125593871122e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,14,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.19765108426097339e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,15,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.92236335140466152e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,16,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-4.84598708631999442e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,17,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-8.76740558034950525e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,0,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-5.99359774046896998e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,1,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-4.15327692783478905e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,2,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.71629023728333630e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,3,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-7.44180960155216612e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,4,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-9.28349601899417160e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-2.37844895021365757e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,6,5.75000000000000000e+00,1.08804373309742832e+01,True,NONE,FAIL,FAIL,NOT_RUN,
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,7,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-3.76951609011901209e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,8,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.68394703475684450e-02
