shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,equilibrium_pass,violated_constraints,temperature_min_K,temperature_max_K,minimum_row_capacity_slack,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,7,100.0,True,,3513.3453601779315,75850.50114962323,-2.596148429267414e+33,1.7648524641617854e-211,1.7639346462974222e-211,9.178178643630628e-215,3.5142917737482026e-208,6.551517713153303e-210,1.7824638058770173e-211,0.024282290191102323,0.9986950108439371,-6.675391082171429e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,8,100.0,True,,3514.317610444157,75850.50114962341,-2.028240960365167e+33,1.3746314632736586e-211,1.3739165812427095e-211,7.148820309490967e-215,3.5142917737481983e-208,6.551517713150673e-210,1.7811764850865783e-211,0.024570832256214214,0.9989835529090488,-1.1888808489411134e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,9,100.0,True,,3514.3176104441523,75850.50114962322,-6.287546977132018e+32,1.2750294958074802e-211,1.2743664121375417e-211,6.630836699385099e-215,3.5142917737482043e-208,6.551517713150635e-210,1.780787909333554e-211,0.02464448118160903,0.9990572018344437,-7.983929896317226e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10,100.0,True,,3515.5922163163773,75850.5011496232,-5.070602400912918e+31,1.2155743612136335e-211,1.2149421974000359e-211,6.321638135975685e-215,3.5142917737482043e-208,6.551517713150647e-210,1.7806049030828546e-211,0.02468844423659112,0.9991011648894259,-6.731147136906777e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,11,100.0,True,,3872.55517178841,75850.50114962312,-9.50737950171172e+29,1.1948994575302783e-211,1.1942780457746167e-211,6.214117556616452e-215,3.514291773748201e-208,6.551517713153269e-210,1.7805346865046886e-211,0.024703731930977656,0.9991164525838123,-4.946556202094739e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,12,100.0,True,,3229.2411205593335,84684.47116780255,-5.192296858534828e+33,5.2485332521009256e-210,5.2458037335271876e-210,2.7295185737383074e-213,3.5142917737482013e-208,4.6187238260393587e-210,1.5363559019297708e-211,0.025781724796241655,0.9611906427403223,-8.606925367556858e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,13,100.0,True,,3512.3318626573364,79989.4233570899,-1.7037224067067403e+33,7.734608959888437e-211,7.73058654871135e-211,4.022411177086148e-214,3.5142917737482013e-208,4.6187238260393526e-210,1.5352373444180829e-211,0.058871861314237744,0.9942807792583184,-1.0004430287520274e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,14,100.0,True,,3512.690644360613,79989.42335708982,-4.259306016766851e+32,5.206390706559489e-211,5.203683104367974e-211,2.7076021915141037e-214,3.514291773748207e-208,4.618723826039359e-210,1.5337966406634206e-211,0.06074130789504406,0.9961502258391246,-6.597561359008842e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,15,100.0,True,,3512.331862657331,79989.42335708984,-2.9409493925294922e+32,6.277728012487463e-211,6.274463257481087e-211,3.2647550063760185e-214,3.5142917737482026e-208,4.618723826039362e-210,1.5344960655846526e-211,0.05994912634156458,0.9953580442856451,-7.591315602986829e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,16,100.0,True,,3512.331862657336,79989.42335708995,-3.2958915605933964e+31,6.265890132399932e-211,6.2626315337256246e-211,3.2585986743076936e-214,3.514291773748192e-208,4.618723826039373e-210,1.5343996885023445e-211,0.05995787965407013,0.9953667975981507,-8.495275829254059e-17
