shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,constraint,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min,clipping_used
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,300.0,NEGATIVE_H_MASS,-0.0005687366353509794,-0.0005729804530615719,1.3697854070993097e-213,-0.03319690880328795,-0.026597273859992644,-0.06277724294698524,0.034263817151743925,1.016415595105712,-0.0009429862052104753,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,300.0,NEGATIVE_IONIZED_H,-0.0005687366353509794,-0.0005729804530615719,1.3697854070993097e-213,-0.03319690880328795,-0.026597273859992644,-0.06277724294698524,0.034263817151743925,1.016415595105712,-0.0009429862052104753,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,300.0,NEGATIVE_THERMAL_MEASURE,-0.0005687366353509794,-0.0005729804530615719,1.3697854070993097e-213,-0.03319690880328795,-0.026597273859992644,-0.06277724294698524,0.034263817151743925,1.016415595105712,-0.0009429862052104753,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,300.0,NEGATIVE_CYCLING_CAPACITY,-0.0005687366353509794,-0.0005729804530615719,1.3697854070993097e-213,-0.03319690880328795,-0.026597273859992644,-0.06277724294698524,0.034263817151743925,1.016415595105712,-0.0009429862052104753,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,300.0,NEGATIVE_PHOTON_CURRENT,-0.0005687366353509794,-0.0005729804530615719,1.3697854070993097e-213,-0.03319690880328795,-0.026597273859992644,-0.06277724294698524,0.034263817151743925,1.016415595105712,-0.0009429862052104753,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,0,300.0,CYCLING_CAPACITY_DEFICIT,-0.0005687366353509794,-0.0005729804530615719,1.3697854070993097e-213,-0.03319690880328795,-0.026597273859992644,-0.06277724294698524,0.034263817151743925,1.016415595105712,-0.0009429862052104753,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,1,300.0,NEGATIVE_PHOTON_CURRENT,8.664607190122265e-211,8.65810954460896e-211,6.4976455133042e-214,3.5221715422538025e-208,8.999120910323348e-210,-0.024665902094644296,0.011441330447857646,0.993593108401826,-5.397586490890268e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,2,300.0,NEGATIVE_PHOTON_CURRENT,7.937684431749557e-211,7.931852609847792e-211,5.831821901765547e-214,3.521650561099159e-208,8.75478265052677e-210,-0.00925564395529158,0.011978840713579674,0.9941306186675479,-3.5041489513860956e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,3,300.0,NEGATIVE_PHOTON_CURRENT,7.770618929058423e-211,7.764906632744188e-211,5.712296314236153e-214,3.521664746849132e-208,8.760742853691789e-210,-0.00839617204077712,0.012102374365140568,0.9942541523191087,-1.653056780492402e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,4,300.0,NEGATIVE_PHOTON_CURRENT,7.793583429776012e-211,7.787784347618789e-211,5.7990821572227374e-214,3.521972050108742e-208,8.898962274362243e-210,-0.012166552343574005,0.012085393668442445,0.9942371716224107,-3.5867151209794027e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,5,300.0,NEGATIVE_PHOTON_CURRENT,7.684547693555457e-211,7.678836973450276e-211,5.710720105180245e-214,3.521939813276065e-208,8.883594066625445e-210,-0.011246428770787685,0.012166018228444268,0.9943177961824126,-6.039958315098939e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,6,300.0,NEGATIVE_PHOTON_CURRENT,8.506837272470496e-210,8.500293121916704e-210,6.544150553791455e-213,3.5228354532632177e-208,8.270825750399404e-210,-0.07936773061507964,-0.030526070657059243,0.9370976859630076,-6.713868807134917e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,6,300.0,MACRO_MASS_CAP_EXCEEDED,8.506837272470496e-210,8.500293121916704e-210,6.544150553791455e-213,3.5228354532632177e-208,8.270825750399404e-210,-0.07936773061507964,-0.030526070657059243,0.9370976859630076,-6.713868807134917e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,7,300.0,NEGATIVE_PHOTON_CURRENT,3.505828743264884e-210,3.503201281794591e-210,2.6274614702933125e-213,3.522156076801783e-208,8.39810026551293e-210,-0.034428543681961854,0.006453008515383005,0.9740767651354498,-4.473107453375136e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,8,300.0,NEGATIVE_PHOTON_CURRENT,2.8838945958313308e-210,2.8817558994474886e-210,2.1386963838419298e-213,3.5218869388998722e-208,8.231337232640184e-210,-0.01874685641512119,0.011051791329625481,0.9786755479496922,-5.457330471483918e-17,False
