shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,relaxation_lambda,absolute_state_feasible,shape_only_feasible,absolute_mass_min_cMpc3,absolute_mass_cap_slack_min_cMpc3,absolute_volume_cap_slack_min_cMpc3,absolute_opacity_min_cMpc_inv,absolute_cycling_slack_min_s_inv_cMpc3,shape_mass_simplex_residual,shape_mass_min,shape_mass_upper_slack_min,shape_opacity_simplex_residual_max,shape_opacity_min,shape_cycling_slack_min,blocking_for_R2B_core_gate,definition
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,2,5.65,300.0,0.0369414231098882,False,True,4.125613429592828e+61,-2.169235538124785e+65,3.095250731900673e+63,4.606661384843054e-07,2.2315817020978624e+45,0.0,1.610785347522805e-05,0.0004219085220414249,3.9968028886505635e-15,8.603587465247284e-06,2.832473804452001e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,2,5.55,10.0,0.6904480064845657,True,True,9.308499370700758e+60,2.5629303997867626e+62,3.888254998989078e+63,5.997025632653263e-08,5.7044718053729376e+44,1.1102230246251565e-16,1.2894445370934045e-05,0.0003762157500436875,2.220446049250313e-16,7.017614918829555e-06,6.193232903718955e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,2,5.55,100.0,0.11064866663102796,False,False,8.1530434175646e+60,-2.493304230583474e+65,3.835397597468867e+63,-0.008037390933263212,7.949453881218374e+45,7.771561172376096e-16,-0.09089896298744535,-0.23568647357602696,1.5543122344752192e-15,-0.17099052883396917,-0.006993358768243113,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,2,5.55,300.0,0.03833357528071304,False,False,-9.606778860390267e+64,-9.387392485028133e+65,3.716654414777746e+63,-0.029140308897161765,2.4526257044781566e+46,2.1094237467877974e-15,-0.6686406292729681,-0.9696464229148674,5.551115123125783e-15,-0.9225220903495747,-0.037140327333013756,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,2,5.55,10.0,0.6904480064845657,True,True,9.942229775996655e+60,2.570261952826138e+62,3.8958953561100495e+63,7.695897666591202e-08,2.5989458574654644e+44,0.0,1.3731207215260854e-05,0.00036188932088589994,2.220446049250313e-16,7.508555882233912e-06,8.670471830063156e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,2,5.55,100.0,0.11064866663102796,True,True,1.290530527721961e+61,2.4450581722737153e+62,3.883374978054807e+63,6.99881029832559e-08,1.0864661067240658e+45,8.881784197001252e-16,1.4055162125929772e-05,0.0003621276527407509,2.3314683517128287e-15,7.508555882233905e-06,1.2110064881023433e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,2,5.55,300.0,0.03833357528071304,False,True,1.956180002440769e+61,-6.115830984685043e+64,3.855248178476757e+63,5.4328163156288713e-08,2.943343862721589e+45,2.6645352591003757e-15,1.4782920888844662e-05,0.00036266306087977685,6.8833827526759706e-15,7.508555882233891e-06,1.9837047560584513e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,0,1,2,5.95,10.0,0.6364149217279105,True,True,5.3640029286809496e+60,2.6206456160356405e+62,4.358672987785944e+63,3.8663082310164076e-08,1.4161722574458982e+44,0.0,1.01420228498465e-05,0.0004956368118253096,2.220446049250313e-16,4.528820597172597e-06,5.671199437767852e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,0,1,2,5.95,100.0,0.09622441459146866,True,True,5.3851448268949955e+60,2.6198253608312586e+62,4.358590962265506e+63,3.8663082310164076e-08,1.521095755838762e+44,8.881784197001252e-16,1.01420228498465e-05,0.0004956368118242791,1.3322676295501878e-15,4.528820597172597e-06,5.671199437767954e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,0,1,2,5.95,300.0,0.0331623924176628,True,True,5.432510031997794e+60,2.61798770389058e+62,4.3584071965714385e+63,3.8663082310164076e-08,1.7561608843890232e+44,2.6645352591003757e-15,1.01420228498465e-05,0.0004956368118219704,3.774758283725532e-15,4.528820597172597e-06,5.671199437768225e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
