shape_lane,interval_index,substep,macro_index,tau_Myr,refinement,refined_substep,elapsed_Myr,status,physical_active_capacity_count,physical_active_capacity_sha256,minimum_capacity_slack,H_nuclei_total,HII_nuclei_total,HI_nuclei_total,H_nuclei_identity_residual,thermal_measure_erg_cMpc3,temperature_min_K,temperature_max_K,current_G1_total,current_G2a_total,capacity_total,kappa_G1_total,kappa_G2a_total,phi_G1,phi_G2a,current_Gamma_residual_max,current_TV_to_exact_G1,current_TV_to_exact_G2a,xHII_min,xHII_max,z_mid,error_mass_l1_relative,error_ionized_l1_relative,error_thermal_l1_relative,error_capacity_l1_relative,error_current_l1_relative,error_temperature_mass_weighted_relative,projection_pass,projection_solver_status,projection_active_set_count,projection_active_set_sha256,projection_max_column_relative_residual,projection_max_capacity_violation,projection_max_capacity_relative_violation,projection_max_stationarity_residual,projection_max_complementarity_residual,projection_projection_generalized_kl_to_raw,projection_projection_TV_G1,projection_projection_TV_G2a,He_nuclei_total,He_nuclei_identity_residual,equilibrium_violations
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,10.0,1,1,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,4.018664465681278e+63,3.988307558328762e+63,3.0356907352516255e+61,0.0,1.210788875995409e+52,2679.4009652168324,84696.36008104899,1.686278928067314e+48,2.026739504308068e+47,1.9943920377321847e+48,0.00015959948771525427,3.722047989476806e-05,1.0565691357830983e+52,5.44522668713081e+51,9.714240890454713e-17,7.35158520489305e-05,7.61283948079179e-05,0.8848866506221418,0.9994797229239055,5.95,9.375064673777507e-05,9.382180587262424e-05,9.187373537076097e-05,9.375064673776328e-05,0.00014759232619422516,1.8770873453068855e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,1.0169720506262509e-17,2.220446049250313e-16,0.0,9.187801115419676e+30,1.0387775479100717e-17,9.895753604946021e-18,3.17474492788821e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,10.0,2,1,5.058709781882848,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-1.0141204801825835e+31,4.018193155991062e+63,3.987839453835019e+63,3.0353702156042697e+61,0.0,1.210649717626048e+52,2679.4072577087027,84696.55898788085,1.6862789280673154e+48,2.0267395043080697e+47,1.9941581350758418e+48,0.0001595994877152544,3.722047989476809e-05,1.0565691357830983e+52,5.44522668713081e+51,9.715374177134211e-17,3.36404812299704e-05,3.483596755304255e-05,0.8848854491014578,0.9994797167901299,5.95,4.290703423623764e-05,4.293960725121269e-05,4.204788314369514e-05,4.2907034236216524e-05,6.753750028947292e-05,8.591879578164211e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.0141204801825835e+31,5.085456676403522e-18,2.220446049250313e-16,0.0,1.6810092816882933e+31,9.03304747986262e-18,1.1151515190454058e-17,3.174372593232939e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,10.0,2,2,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-1.5211807202738753e+31,4.018822793916215e+63,3.988464809834086e+63,3.035798408212932e+61,0.0,1.210835623812089e+52,2679.3988516955897,84696.29327225163,1.6862789280673135e+48,2.0267395043080673e+47,1.994470613232529e+48,0.0001595994877152542,3.7220479894768055e-05,1.0565691357830983e+52,5.44522668713081e+51,9.713860241970704e-17,4.262409370140821e-05,4.4138831873525546e-05,0.8848870541887319,0.9994797249841174,5.95,5.435611830310371e-05,5.439737598491849e-05,5.326789523628298e-05,5.435611830308684e-05,8.557323306448767e-05,1.0882822216339622e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.5211807202738753e+31,7.626989889855678e-18,2.220446049250313e-16,0.0,1.4449868609013035e+31,1.2413911579997022e-17,1.7128533327339854e-17,3.17487000719381e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,10.0,4,1,2.529354890941424,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-1.0141204801825835e+31,4.017814783167198e+63,3.987463654179638e+63,3.0351128987559854e+61,0.0,1.210537999691381e+52,2679.412310461656,84696.71870633628,1.6862789280673164e+48,2.0267395043080705e+47,1.9939703553411426e+48,0.00015959948771525448,3.722047989476811e-05,1.0565691357830983e+52,5.44522668713081e+51,9.716284184046645e-17,1.1899253949798516e-05,1.2322119343839901e-05,0.8848844843028838,0.999479711864823,5.95,1.5178853522782243e-05,1.5190378004706965e-05,1.4874882699617501e-05,1.5178853522762358e-05,2.3889250025443516e-05,3.039754369088383e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.0141204801825835e+31,5.085935593105047e-18,2.220446049250313e-16,0.0,8.41044001476291e+30,9.032832836044499e-18,3.925343447535972e-18,3.1740736787020865e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,10.0,4,2,5.058709781882848,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,4.018269539744333e+63,3.9879153181316754e+63,3.0354221612657546e+61,0.0,1.2106722706071803e+52,2679.4062378031167,84696.52674847667,1.6862789280673154e+48,2.0267395043080693e+47,1.9941960429804795e+48,0.00015959948771525437,3.722047989476808e-05,1.0565691357830983e+52,5.44522668713081e+51,9.715190490793986e-17,1.8737084822711724e-05,1.9402947135601063e-05,0.8848856438474634,0.9994797177843103,5.95,2.3898372157054706e-05,2.391651468419136e-05,2.3419841936667808e-05,2.389837215703176e-05,3.761705615883292e-05,4.785416567345513e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,1.0170720012731571e-17,2.220446049250313e-16,0.0,3.236176801446407e+30,9.775557123239442e-18,9.750971884770003e-18,3.174432936398023e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,10.0,4,3,7.588064672824272,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,4.018632492650603e+63,3.988275802734408e+63,3.035668991619543e+61,0.0,1.210779435674311e+52,2679.4013920445523,84696.37357315216,1.686278928067314e+48,2.026739504308068e+47,1.9943761700830325e+48,0.00015959948771525427,3.722047989476806e-05,1.0565691357830983e+52,5.44522668713081e+51,9.71431776277561e-17,2.2129562825478105e-05,2.2915984087158327e-05,0.8848865691214668,0.9994797225078439,5.95,2.8222665420697732e-05,2.824408871990709e-05,2.7657599916060974e-05,2.8222665420691853e-05,4.442788274979899e-05,5.650814527696337e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,1.0169801418559493e-17,2.220446049250313e-16,0.0,1.4606689541941543e+31,1.1979141300773914e-17,8.386368682358026e-18,3.1747196691939766e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,10.0,4,4,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,4.018922174688847e+63,3.988563514756193e+63,3.035865993265399e+61,0.0,1.210864966867308e+52,2679.3975251482098,84696.2513398436,1.6862789280673135e+48,2.0267395043080673e+47,1.994519934150793e+48,0.0001595994877152542,3.722047989476805e-05,1.0565691357830983e+52,5.44522668713081e+51,9.713621328628663e-17,2.3233699980717414e-05,2.405935911343286e-05,0.8848873074864948,0.999479726277205,5.95,2.9628635710526746e-05,2.965112460163626e-05,2.9035463022269386e-05,2.962863571053501e-05,4.6644577063058595e-05,5.93190263992863e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,1.0169068384010569e-17,2.220446049250313e-16,0.0,1.3511927845598179e+31,1.128490619200048e-17,9.548660623393269e-18,3.174948518004189e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,10.0,1,1,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-1.0141204801825835e+31,1.9639912365514196e+63,1.949155287813152e+63,1.4835948738267395e+61,0.0,5.917335876325251e+51,2679.4009652168315,84696.36008104902,8.323289488555658e+47,9.083518472928469e+46,9.746940850136138e+47,7.877657227216541e-05,1.6681616753249886e-05,1.0565691357830983e+52,5.44522668713081e+51,9.840207327247356e-17,7.351940506918711e-05,7.633211564406954e-05,0.8848866506221418,0.9994797229239056,5.95,9.375064673776806e-05,9.382180587262751e-05,9.187373537073965e-05,9.37506467377844e-05,0.0001475923261935719,1.8770873453068846e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.0141204801825835e+31,1.0404500199346333e-17,2.220446049250313e-16,0.0,5.314175276126279e+30,7.94019165550746e-18,1.1377406257915787e-17,1.5515530768756214e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,10.0,2,1,5.058709781882848,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-1.0141204801825835e+31,1.9637608993064986e+63,1.9489265170035078e+63,1.4834382302990872e+61,0.0,5.916655785164986e+51,2679.407257708702,84696.55898788088,8.323289488555658e+47,9.08351847292847e+46,9.745797727162855e+47,7.87765722721654e-05,1.6681616753249886e-05,1.0565691357830983e+52,5.44522668713081e+51,4.9206776843193236e-17,3.364210707409045e-05,3.492918917502187e-05,0.8848854491014579,0.9994797167901297,5.95,4.2907034236216375e-05,4.293960725121295e-05,4.204788314368388e-05,4.290703423624013e-05,6.753750028916235e-05,8.591879576913898e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.0141204801825835e+31,1.0405720584125122e-17,2.220446049250313e-16,0.0,2.6634746703655053e+30,4.662931273865554e-18,8.73489769844557e-18,1.551371110452134e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,10.0,2,2,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-1.5211807202738753e+31,1.964068614314249e+63,1.9492321393594875e+63,1.4836474954761383e+61,0.0,5.917564341038021e+51,2679.3988516955897,84696.29327225164,8.32328948855566e+47,9.08351847292847e+46,9.747324862275996e+47,7.877657227216541e-05,1.668161675324989e-05,1.0565691357830983e+52,5.44522668713081e+51,9.83982172295184e-17,4.262615372338668e-05,4.425694811340289e-05,0.8848870541887319,0.9994797249841172,5.95,5.435611830307589e-05,5.439737598493778e-05,5.326789523626085e-05,5.4356118303107395e-05,8.557323306408217e-05,1.0882822215089302e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.5211807202738753e+31,1.5606135445029993e-17,2.220446049250313e-16,0.0,3.1941097322281974e+30,5.725210909363577e-18,9.331811185919671e-18,1.5516142053082566e+62,0.0,
