         69460 function calls (69418 primitive calls) in 3.286 seconds

   Ordered by: cumulative time
   List reduced from 220 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.005    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/interpreters/pxla.py:109(shard_args)
       42    0.000    0.000    0.005    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/interpreters/pxla.py:193(_shard_np_array)
        6    0.003    0.001    0.005    0.001 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/physical_trial.py:64(_coordinates)
       12    0.003    0.000    0.004    0.000 /opt/pyvenv/lib/python3.13/site-packages/numpy/_core/shape_base.py:220(vstack)
       42    0.003    0.000    0.003    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/interpreters/pxla.py:235(batched_device_put)
       24    0.003    0.000    0.003    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R1_CANONICAL_TIME_RESOLVED_GROUP_BOUNDARY_FLUX_DYNAMIC_OPACITY_AND_HEATING_MOMENT_EXTRACTION_LOCK_RERUN_V2/inputs/canonical_b2c2a_r1_src/hi_transmission_kernel_b2c1a.py:161(mean_molecular_weight)
        6    0.002    0.000    0.003    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/second_order_trial.py:130(_owner_energy_rates)
        9    0.000    0.000    0.002    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/array_forcing.py:80(point)
      132    0.000    0.000    0.002    0.000 /opt/pyvenv/lib/python3.13/site-packages/scipy/interpolate/_interpolate.py:788(__call__)
       15    0.002    0.000    0.002    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/tensorized_inputs.py:42(__post_init__)



