shape_lane,interval_index,substep,macro_index,endpoint_previous_C,endpoint_previous_I,endpoint_previous_J_G1,endpoint_previous_J_G2a,endpoint_previous_M,endpoint_previous_U,endpoint_target_C,endpoint_target_I,endpoint_target_J_G1,endpoint_target_J_G2a,endpoint_target_M,endpoint_target_U,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,prev_cap_cosmic,prev_cap_volume,neutral_previous,neutral_target,previous_state_cone_pass,target_state_cone_pass,previous_mass_caps_pass,target_mass_caps_pass,J_endpoint_nonnegative_pass,convex_state_segment_pass,minimum_endpoint_neutral_slack,minimum_endpoint_cosmic_cap_slack,minimum_endpoint_volume_cap_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,12,6.007478421708446e+49,1.2013522340447497e+65,4.4753123865017375e+49,1.2140303178654392e+49,1.2104962116233975e+65,3.647113633961435e+53,6.074346584597871e+49,1.214627878949155e+65,4.5238730145532875e+49,1.2264980025268198e+49,1.2238629176551392e+65,3.6866979794043445e+53,2.023106764287333e+65,3.1320772083010285e+66,2.023106764287333e+65,3.1321766099781997e+66,9.143977578647894e+62,9.235038705984175e+62,True,True,True,True,True,True,9.143977578647894e+62,7.992438466321938e+64,3.0096909165355145e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,13,1.6958491383224812e+49,3.391293331266253e+64,1.3010557523662076e+49,3.049869573267072e+48,3.417105835962991e+64,1.0295425267226768e+53,1.71474848574121e+49,3.428815407813951e+64,1.3151732214965348e+49,3.081190712070828e+48,3.45488532071125e+64,1.040730832448424e+53,3.875371926162632e+65,5.999665612259172e+66,3.875371926162632e+65,5.999856021621605e+66,2.581250469673774e+62,2.606991289729899e+62,True,True,True,True,True,True,2.581250469673774e+62,3.529883394091507e+65,5.96511675905206e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,14,6.428892267645167e+48,1.2856249404508249e+64,4.944425518465003e+48,1.1440143813636716e+48,1.295410351670691e+64,3.902952119789711e+52,6.500546369039538e+48,1.299850895610336e+64,4.998076389687985e+48,1.1557630258126898e+48,1.309733900554496e+64,3.9453710502014217e+52,2.1825486229520344e+65,3.37891747416746e+66,2.1825486229520344e+65,3.379024709730831e+66,9.785411219866138e+61,9.883004944160015e+61,True,True,True,True,True,True,9.785411219866138e+61,2.0515752328965849e+65,3.365820135161915e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,15,3.857902488624119e+48,7.71488376335664e+63,2.993023719909998e+48,6.6057731484354496e+47,7.773604862926659e+63,2.3421155728019081e+52,3.9009171890824304e+48,7.800283874722575e+63,3.025500360434672e+48,6.673612225719865e+47,7.859590864747411e+63,2.3675803345300797e+52,1.0862087234958699e+65,1.6816164358570565e+66,1.0862087234958699e+65,1.681669804750275e+66,5.872109957001821e+61,5.930699002483613e+61,True,True,True,True,True,True,5.872109957001821e+61,1.0076128148483958e+65,1.673756844992309e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,16,3.8634577950794e+47,7.725993049736659e+62,3.02968469734437e+47,6.291774536435109e+46,7.784798706576973e+62,2.3454881748308495e+51,3.906554294746907e+47,7.8115558454626305e+62,3.062559138052683e+47,6.356388953164581e+46,7.87094853834995e+62,2.3710016582516478e+51,1.0898279264988302e+64,1.6872195129847132e+65,1.0898279264988302e+64,1.6872730597008994e+65,5.880565684031364e+60,5.9392692887319856e+60,True,True,True,True,True,True,5.880565684031364e+60,1.0111184411153308e+64,1.6793485644463632e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,17,1.0325491235522252e+46,2.0648516886185424e+61,8.085882661821196e+45,1.6928055174686395e+45,2.0805681096721679e+61,6.268560154347255e+49,1.0440664181736077e+46,2.0877178496923114e+61,8.173620791945161e+45,1.7101900630547347e+45,2.1035911516996405e+61,6.336743385707535e+49,2.828756129330972e+62,4.379345053319707e+63,2.828756129330972e+62,4.379484039115477e+63,1.5716421053625474e+59,1.5873302007329168e+59,True,True,True,True,True,True,1.5716421053625474e+59,2.618397014161008e+62,4.358309141802711e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,0,4.786981387561816e+49,9.572060086407161e+64,3.570704852365172e+49,9.609626524385065e+48,9.644838216175146e+64,2.905358520983816e+53,3.3239216083163284e+49,8.611942895051178e+64,2.084044077349936e+49,9.193437107515322e+48,8.687641275563666e+64,2.6161104630380355e+53,1.9802574657709903e+65,1.1094984478923316e+67,1.9982867080879831e+65,1.4064936081990275e+67,7.2778129767985235e+62,7.569838051248825e+62,True,True,True,True,True,True,7.2778129767985235e+62,1.0338028864704685e+65,1.100810806616768e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,1,4.355791596023324e+48,8.70985188898735e+63,3.6231122319887216e+48,5.0036300956630435e+47,8.776074491573895e+63,2.6436568694456057e+52,5.032455003961949e+48,1.303857919139902e+64,3.674464917318972e+48,8.726982483988317e+47,1.315318739781664e+64,3.9608209043478895e+52,3.7932917455921924e+65,2.125305106474496e+67,3.8278277477244722e+65,2.6942156191454304e+67,6.622260258654489e+61,1.1460820641761997e+62,True,True,True,True,True,True,6.622260258654489e+61,3.661759871614026e+65,2.1239897877347145e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,2.016903350235608e+48,4.033005038852752e+63,1.7045763689485462e+48,2.0475534400546665e+47,4.063668716412546e+63,1.2241174260325361e+52,2.424913048193883e+48,6.282703131223421e+63,1.8074601611755652e+48,3.836126420854212e+47,6.3379276558249104e+63,1.908540917892112e+52,2.1363223539670404e+65,1.1969384672923304e+67,2.155772488130218e+65,1.5173399357630943e+67,3.066367755979382e+61,5.522452460148917e+61,True,True,True,True,True,True,3.066367755979382e+61,2.0729430774087913e+65,1.1963046745267478e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,3,9.857007979368752e+47,1.9710098078900066e+63,8.413603667793358e+47,9.176803164644745e+46,1.9859957572340032e+63,5.982505425794212e+51,1.1837035381123385e+48,3.0668555026654394e+63,8.951620669364859e+47,1.7439406886537053e+47,3.093812949741755e+63,9.31640265956635e+51,1.06320287789952e+65,5.956911983487488e+66,1.0728828021765943e+65,7.551482965384374e+66,1.4985949343996555e+61,2.695744707631579e+61,True,True,True,True,True,True,1.4985949343996555e+61,1.0322647484021025e+65,5.953818170537746e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,4,1.0585399677040252e+47,2.1166591959295727e+62,9.16255138217914e+46,8.582754934890236e+45,2.1327525443044663e+62,6.4245875761327234e+50,1.2407573571302092e+47,3.21467614623813e+62,9.615134968666184e+46,1.595946198466095e+46,3.242932926514993e+62,9.765447825118662e+50,1.0667454263666793e+64,5.976760170371441e+65,1.0764576037551994e+64,7.576644197506554e+65,1.609334837489362e+60,2.8256780276863185e+60,True,True,True,True,True,True,1.609334837489362e+60,1.0343160971015294e+64,5.973517237444927e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5,2.6912172986549044e+45,5.381364915108614e+60,2.3349775881881903e+45,2.1270350628368023e+44,5.422280420296136e+60,1.633378214250494e+49,3.1621361427482023e+45,8.192773204876767e+60,2.4581506002822807e+45,3.990530869776124e+44,8.264787112896487e+60,2.488776338135298e+49,2.7688432181810097e+62,1.5513271916048458e+64,2.794052134789696e+62,1.9665929081401505e+64,4.091550518752224e+58,7.201390801971981e+58,True,True,True,True,True,True,4.091550518752224e+58,2.6861953470520446e+62,1.5505007128935562e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,6,5.625801080432573e+49,1.1249366065219428e+65,4.283308441497481e+49,1.0424402674756332e+49,1.1334897060210223e+65,3.4144626400395957e+53,6.232630393713882e+49,1.614811158672674e+65,3.9584365251499135e+49,1.673166207416377e+49,1.629005236714606e+65,4.905425430145113e+53,8.006157683942245e+65,2.472849487196669e+67,8.021334743528933e+65,3.1347921255658004e+67,8.553099499079482e+62,1.419407804193209e+63,True,True,True,True,True,True,8.553099499079482e+62,6.377152447227639e+65,2.456559434829523e+67
