shape_lane,interval_index,substep,macro_index,z_mid,state_rows,M,I,N,U,C_old,C_local,B_old,B_local,R_rec,Q_coll,J_G1,J_G2a,kappa_G1,kappa_G2a,S_plus,S_minus,S_net,local_budget_violation_nodes,old_local_budget_mismatch_nodes,gamma_M_weight,recomb_down_M_weight,coll_up_M_weight,max_current_gamma_resid,max_old_capacity_rel_violation,max_local_budget_rel_violation,min_local_budget_slack,min_old_capacity_slack,x_mass_weighted,T_mass_weighted_K,gamma_mass_weighted_Myr_inv,recombination_down_mass_weighted_Myr_inv,collisional_up_mass_weighted_Myr_inv,old_to_local_budget_ratio,local_budget_to_J_ratio,M_sink_H_cMpc3,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,kappa_sink_G1_cMpc_inv,kappa_sink_G2a_cMpc_inv,J_sink_G1_s_inv_cMpc3,J_sink_G2a_s_inv_cMpc3,cycling_capacity_macro_s_inv_cMpc3,mass_transfer_rate_macro_H_s_inv_cMpc3,volume_filling_macro,mass_relative_residual,J_G1_relative_residual,J_G2a_relative_residual,kappa_G1_relative_residual,kappa_G2a_relative_residual,old_capacity_relative_residual,transfer_relative_residual,mass_cap_slack_cosmic,mass_cap_slack_volume,endpoint_state_cone_pass
RECOMBINATION_WEIGHTED_AUDITOR,3,1,4,5.65,2560,3.260105024214769e+62,3.218916709664553e+62,4.118831455021607e+60,9.611052078999509e+50,1.1265317610852234e+47,1.3261636890327379e+46,4.014489203159368e+61,4.7258941071623874e+60,1.703517742847621e+45,2.4967414238343262e+45,8.353152022535009e+46,1.6708341913570217e+46,1.7005652018441108e-05,4.2205388775593145e-06,0.0,1.00964029196245e+48,-1.00964029196245e+48,1681,2560,7.482742336520186e+48,1.7328163502085677e+45,8.215352660436823e+46,6.738423146153087e-16,7.663251467825499e-16,0.8822790679461062,-2.970013851580257e+45,-4.75368975085586e+29,0.9873659547025984,14235.240136797853,0.724324485883229,0.00016773547124149168,0.007952406784178552,8.494666008438825,0.1322990336114824,3.2601050242147687e+62,1.0465161172344701e+64,5.627088858810589e+65,1.7005652018441128e-05,4.220538877559297e-06,8.353152022535021e+46,1.6708341913570149e+46,1.1265317610852234e+47,-1.00964029196245e+48,0.0005793590799815,1.4009341977438682e-16,1.456868704096422e-15,4.096943476882525e-15,1.1954137784342777e-15,4.214554683269902e-15,0.0,0.0,1.0139150669923224e+64,5.623828753786374e+65,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,5,5.65,2560,8.31191766918139e+60,8.206904524840679e+60,1.0501314434070967e+59,2.4504202472464826e+49,2.87218944798063e+45,3.381168188516529e+44,1.0235284904208057e+60,1.204907278760573e+59,4.343264748027438e+43,6.365656628238219e+43,2.1358973690536784e+45,4.1980398130230345e+44,4.348337885775441e-07,1.0604277990035213e-07,0.0,2.5741646112463677e+46,-2.5741646112463677e+46,1681,2560,1.907795788512821e+47,4.417964063048589e+43,2.0945746971230917e+45,6.344649432156713e-16,7.820276408986034e-16,0.8822790679461071,-7.572305317559292e+43,-2.9710560942849127e+28,0.9873659547025984,14235.240136797853,0.7243269095265427,0.0001677354712414917,0.007952406784178554,8.494666008438903,0.1322990336114808,8.311917669181388e+60,2.716336046352788e+62,1.4605665456552913e+64,4.3483378857754265e-07,1.060427799003523e-07,2.1358973690536714e+45,4.198039813023041e+44,2.87218944798063e+45,-2.5741646112463677e+46,0.0005690885974286,1.717109997369024e-16,3.2642384424792288e-15,1.5098125037973191e-15,3.287159682708815e-15,1.6224920505922926e-15,0.0,0.0,2.6332168696609744e+62,1.459735353888373e+64,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,6,5.65,2560,1.1648491337240277e+65,1.1501323770039197e+65,1.4716756720107898e+63,3.43406902699266e+53,4.0251450068814655e+49,5.250425925946415e+48,1.4343937498673014e+64,1.8710327502346694e+63,1.1206617077942026e+48,1.64248509867515e+48,2.47201594486308e+49,1.1095961722269629e+49,0.005032620360430302,0.0028028477077497063,0.0,3.6074869083354308e+50,-3.6074869083354308e+50,1650,2560,2.6395758283620063e+51,1.1399358406871354e+48,5.404482096668257e+49,6.606791558456335e-16,9.00553955488608e-16,0.8695593347079468,-1.0246734457803476e+48,-1.6225927682921336e+32,0.9873659547025987,14235.240136797855,0.7151027180216086,0.0003088265960336036,0.014641594286855084,7.666320911204767,0.14659392905483679,1.1648491337240275e+65,7.972004895826807e+65,2.328175031666876e+67,0.0050326203604303,0.0028028477077497,2.472015944863079e+49,1.1095961722269603e+49,4.0251450068814655e+49,-3.6074869083354304e+50,0.0050032713085581,2.0074725147054548e-16,4.2008603296629776e-16,2.3397236708711204e-15,3.446958744625998e-16,2.3209298945948797e-15,0.0,1.1514490814173264e-16,6.80715576210278e+65,2.3165265403296358e+67,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,7,5.65,2560,1.150473062580818e+65,1.135937933794732e+65,1.4535128786086003e+63,3.391687211860165e+53,3.97546838412804e+49,5.1856274087322405e+48,1.416691074045633e+64,1.8479412621183958e+63,1.106830979013717e+48,1.6222142481876572e+48,2.5836524292595443e+49,9.53756958814394e+48,0.005259893993316025,0.0024091967624564233,0.0,3.5629648436826233e+50,-3.5629648436826233e+50,1664,2560,2.6077010204235477e+51,1.125867238779847e+48,5.337782283907518e+49,6.4683871925594e-16,7.039710292358794e-16,0.8695593347079442,-1.0120273631859358e+48,-3.2451855365842673e+32,0.9873659547025986,14235.240136797856,0.7152951981119269,0.00030882659603360355,0.014641594286855093,7.666320911204735,0.14659392905483665,1.1504730625808178e+65,1.5270812452352848e+66,4.459746918049046e+67,0.005259893993316,0.0024091967624564,2.583652429259532e+49,9.537569588143848e+48,3.97546838412804e+49,-3.562964843682623e+50,0.0025796823983996,2.0325574720400526e-16,4.823215506605493e-15,9.6631818396964e-15,4.782128771725691e-15,9.720570478356886e-15,0.0,1.1658373486881005e-16,1.412033938977203e+66,4.4482421874232377e+67,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,8,5.65,2560,5.365507754912692e+64,5.297719686893567e+64,6.7788068019124675e+62,1.581794883284853e+53,1.8540552698034869e+49,2.418442028814222e+48,6.607079462647969e+63,8.618318407453272e+62,5.161972404598152e+47,7.565586202648966e+47,1.2438708824220208e+49,4.058850415832184e+48,0.0025323177795966985,0.0010252684597208993,0.0,1.6616743252011144e+50,-1.6616743252011144e+50,1664,2560,1.2162821584738052e+51,5.250752579225255e+47,2.4894031133675046e+49,7.210086435105251e-16,7.662013562862025e-16,0.8695593347079451,-4.719832946959191e+47,-8.112963841460668e+31,0.9873659547025987,14235.240136797856,0.7153646513530669,0.00030882659603360355,0.014641594286855089,7.666320911204733,0.14659392905483767,5.365507754912691e+64,8.60028181146574e+65,2.5116594433145607e+67,0.0025323177795967,0.0010252684597209,1.2438708824220216e+49,4.058850415832187e+48,1.8540552698034869e+49,-1.6616743252011142e+50,0.0021362401535743,2.1791065510886537e-16,6.261458000075422e-16,6.396265354201591e-16,6.850338808003319e-16,6.344887500668737e-16,0.0,1.249895188193727e-16,8.06373103597447e+65,2.506293935559648e+67,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,9,5.65,2560,2.5314291375319162e+64,2.4994469471411768e+64,3.1982190390739494e+62,7.46285690013196e+52,8.747372563720238e+48,1.1410130967692028e+48,3.11719863798947e+63,4.066094641868578e+62,2.435401820111261e+47,3.5694190057519737e+47,5.983101292750286e+48,1.8003935908773994e+48,0.0012180616167538018,0.00045478068287760066,0.0,7.839725513491934e+49,-7.839725513491934e+49,1664,2560,5.738508719492141e+50,2.477288018240496e+47,1.1744923060583124e+49,7.589469230182626e-16,8.077954354880331e-16,0.8695593347079457,-2.2268018595772357e+47,-6.084722881095501e+31,0.9873659547025988,14235.240136797855,0.7153807313081935,0.00030882659603360366,0.014641594286855084,7.666320911204759,0.1465939290548369,2.5314291375319162e+64,4.280180074752127e+65,1.250000283654173e+67,0.0012180616167538,0.0004547806828776,5.983101292750277e+48,1.8003935908773968e+48,8.747372563720238e+48,-7.839725513491933e+49,0.0020251428504733,0.0,1.5186972537881096e-15,1.4419893752244549e-15,1.4241672606020838e-15,1.4304066289165221e-15,0.0,1.3246119011689986e-16,4.027037160998935e+65,1.2474688545166411e+67,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,10,5.65,2560,2.431268506051511e+63,2.400551749615911e+63,3.071675643560023e+61,7.16757529470101e+51,8.401266742788272e+47,1.0958668232253949e+47,2.993860963076204e+62,3.905212158155999e+61,2.3390406853695223e+46,3.428188403506985e+46,5.8907290587248015e+47,1.5847975902365209e+47,0.00011992561399249976,4.0032098201336845e-05,0.0,7.529532410938814e+48,-7.529532410938814e+48,1664,2560,5.51151430299124e+49,2.379269579333006e+46,1.1280213662640547e+48,8.029080178174657e-16,7.316294609370506e-16,0.8695593347079423,-2.1386943644353952e+46,-2.535301200456459e+30,0.9873659547025987,14235.24013679786,0.7153885444374333,0.0003088265960336035,0.014641594286855096,7.666320911204666,0.14659392905483906,2.431268506051511e+63,4.294441459552901e+64,1.2541652334308013e+66,0.0001199256139925,4.003209820133678e-05,5.8907290587248145e+47,1.5847975902365184e+47,8.401266742788273e+47,-7.529532410938814e+48,0.0019385551769767,0.0,2.2035883872661176e-15,1.5357728756231628e-15,2.034140003022995e-15,1.6927075727967e-15,1.931366802137288e-16,0.0,4.0513146089477504e+64,1.2517339649247498e+66,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,11,5.65,2560,6.164845516331482e+61,6.086958578826669e+61,7.7886937504813325e+59,1.817446090735057e+50,2.1302670388675588e+46,2.7787344979963833e+45,7.591382970988538e+60,9.90225045222586e+59,5.930988060687572e+44,8.692685261169452e+44,1.5018879022915099e+46,3.9364386762026996e+45,3.0575982537098433e-06,9.943471684971988e-07,0.0,1.909225739901278e+47,-1.909225739901278e+47,1664,2560,1.3975409125799523e+48,6.032994447872065e+44,2.8602671588227e+46,6.6360257947340705e-16,8.470018172401004e-16,0.8695593347079433,-5.422979950826426e+44,-2.37684487542793e+29,0.9873659547025987,14235.240136797856,0.7153956572958461,0.00030882659603360355,0.014641594286855089,7.666320911204707,0.14659392905483767,6.164845516331481e+61,1.1146647379269312e+63,3.2553098567205936e+64,3.0575982537098327e-06,9.94347168497199e-07,1.5018879022915045e+46,3.9364386762027e+45,2.1302670388675588e+46,-1.909225739901278e+47,0.0018937814793894,1.85211154300622e-16,3.5449599885818726e-15,1.6101490515928387e-16,3.462819822006451e-15,2.1296207554310705e-16,0.0,0.0,1.0530162827636164e+63,3.2491450112042624e+64,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,12,5.65,2560,8.793330869146825e+64,8.682235528630988e+64,1.110953405158375e+63,2.5923447344031524e+53,3.038542143963901e+49,5.377694995494235e+48,1.0828096509713046e+64,1.916386136907379e+63,2.260176843965141e+48,3.312602510430038e+48,1.7726416220800792e+49,9.3108193135819e+48,0.0036088085667749996,0.0023519194841821038,0.0,2.7232561773638595e+50,-2.7232561773638595e+50,1610,2560,1.9333441631449217e+51,2.2990493677152825e+48,1.0899886382802172e+50,6.71752427860573e-16,8.392283502658627e-16,0.8230172648361356,-6.952042114594626e+47,-2.4338891524382005e+32,0.9873659547025988,14235.240136797858,0.693840623886155,0.000825085299373606,0.0391176289886715,5.650268649504628,0.1988995875209036,8.793330869146824e+64,2.128018619423888e+65,2.326158692995698e+66,0.003608808566775,0.0023519194841821,1.7726416220800795e+49,9.310819313581883e+48,3.038542143963901e+49,-2.723256177363859e+50,0.0378019388600805,1.3296455316688934e-16,1.4645647472843398e-16,1.812403852110233e-15,1.2017286618828863e-16,1.6595499323843373e-15,0.0,1.525320137471907e-16,1.2486855325092055e+65,2.2382253843042294e+66,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,13,5.65,2560,4.915228158406635e+64,4.8531289432062624e+64,6.209921520037262e+62,1.4490488330813638e+53,1.6984608140834943e+49,3.005982404451548e+48,6.052605737062423e+63,1.0712067182138557e+63,1.263376191769977e+48,1.8516529605412466e+48,1.0186023282234772e+49,4.927041766910175e+48,0.0020737078281600992,0.0012445742034829024,0.0,1.5222247001416857e+50,-1.5222247001416857e+50,1616,2560,1.0810501416335751e+51,1.2851048547952051e+48,6.092734285725832e+49,6.852045864589568e-16,7.937122666637431e-16,0.8230172648361332,-3.88599879483437e+47,-8.112963841460668e+31,0.9873659547025986,14235.240136797856,0.6940745546321669,0.000825085299373606,0.03911762898867144,5.650268649504569,0.19889958752090578,4.915228158406635e+64,4.076336336590602e+65,4.455884510776301e+66,0.0020737078281601,0.0012445742034829,1.0186023282234778e+49,4.927041766910165e+48,1.6984608140834943e+49,-1.5222247001416855e+50,0.0110308697330898,0.0,5.097472011074823e-16,1.9759435925906757e-15,4.182661251551388e-16,1.9165147186829648e-15,0.0,1.364396953498794e-16,3.5848135207499385e+65,4.4067322291922346e+66,True
RECOMBINATION_WEIGHTED_AUDITOR,3,1,14,5.65,2560,1.1959094571375597e+64,1.180800282884493e+64,1.5109174253066597e+62,3.525637361049606e+52,4.1324741897606286e+48,7.313765850979417e+47,1.47264139283098e+63,2.6063210161876084e+62,3.0738828126951746e+47,4.5052014178846636e+47,2.451351899199138e+48,1.225762740473364e+48,0.0004990551741433996,0.00030962852733030035,0.0,3.703679373813563e+49,-3.703679373813563e+49,1632,2560,2.631588313963276e+50,3.1267501725925614e+47,1.48240494994393e+49,6.24964494399289e-16,8.169315156620094e-16,0.8230172648361352,-9.454907400827658e+46,-2.028240960365167e+31,0.9873659547025986,14235.240136797856,0.6944222313911765,0.000825085299373606,0.03911762898867147,5.650268649504594,0.19889958752090495,1.1959094571375597e+64,2.295728623632961e+65,2.509484196180862e+66,0.0004990551741434,0.0003096285273303,2.4513518991991398e+48,1.2257627404733626e+48,4.1324741897606286e+48,-3.703679373813563e+49,0.0047655588306058,0.0,7.943010232789035e-16,1.1913671734702671e-15,8.6900385260726025e-16,1.2255678236169792e-15,0.0,0.0,2.176137677919205e+65,2.4975251016094863e+66,True
