shape_lane,interval_index,substep,z_mid,state_rows,M,I,N,U,C_old,C_local,B_old,B_local,R_rec,Q_coll,J_G1,J_G2a,kappa_G1,kappa_G2a,S_plus,S_minus,S_net,local_budget_violation_nodes,old_local_budget_mismatch_nodes,gamma_M_weight,recomb_down_M_weight,coll_up_M_weight,max_current_gamma_resid,max_old_capacity_rel_violation,max_local_budget_rel_violation,min_local_budget_slack,min_old_capacity_slack,x_mass_weighted,T_mass_weighted_K,gamma_mass_weighted_Myr_inv,recombination_down_mass_weighted_Myr_inv,collisional_up_mass_weighted_Myr_inv,old_to_local_budget_ratio,local_budget_to_J_ratio
RECOMBINATION_WEIGHTED_AUDITOR,0,1,5.95,46080,5.287538531899683e+65,5.247596949829728e+65,3.994158206995585e+63,1.593086676737768e+54,2.6241117757600854e+50,2.0788509086426585e+49,8.378302904673581e+64,6.637385940322272e+63,8.27867540712701e+48,7.775214326133238e+48,2.0202821952699795e+50,4.648655054551557e+49,0.019121154753139743,0.008537119428908151,7.401578490069113e+47,0.0,7.401578490069113e+47,32520,46080,3.064634987330462e+52,8.362690254175395e+48,4.3051173146645655e+50,7.613748839863752e-16,8.556580806787779e-16,0.9399634594885627,-1.479899880250842e+48,-3.2451855365842673e+32,0.9924460915359788,14548.268864607982,1.829065159387753,0.0004991101859079036,0.02569421846282936,12.62289548928472,0.08365100022168001
RECOMBINATION_WEIGHTED_AUDITOR,0,2,5.95,46080,5.346006235809438e+65,5.305666281229619e+65,4.033995457981818e+63,1.610401794443071e+54,2.653360458207655e+50,2.1006331638396763e+49,8.471688530763143e+64,6.706932647011111e+63,8.371726390658704e+48,7.84523165521701e+48,2.0422038319672545e+50,4.696395184651109e+49,0.01932863418780078,0.008624792785487346,1.8312275418647798e+49,0.0,1.8312275418647798e+49,32503,46080,3.1003023026029667e+52,8.456594207151769e+48,4.348287193163811e+50,7.755312281673069e-16,9.188287226520019e-16,0.9400175404486566,-1.496368780390705e+48,-4.867778304876401e+32,0.992454188640932,14545.553199444143,1.8301157093545688,0.0004991947363697864,0.025668041127192887,12.63124139846325,0.08362914683664859
RECOMBINATION_WEIGHTED_AUDITOR,1,1,5.85,46080,6.76641943200005e+65,6.707461312457133e+65,5.89581195429164e+63,2.0375726980290978e+54,2.588855484194381e+50,2.780125395624877e+49,8.569509431076956e+64,9.202642226589081e+63,9.989960049161596e+48,1.1036745800383193e+49,1.6912427145616508e+50,6.479631580844805e+49,0.027364336192355218,0.012233511704903425,4.291079346321471e+50,0.0,4.291079346321471e+50,30920,46080,2.471435063093152e+52,1.0107380976267526e+49,5.288744881021311e+50,8.307446894138004e-16,9.166161962032907e-16,0.9160497310874509,-1.6222989760232016e+48,-6.490371073168535e+32,0.9912866590468676,14540.510555521787,1.1526415104896186,0.00047139360647405063,0.024665939960506558,9.31200976858274,0.11884911149269531
RECOMBINATION_WEIGHTED_AUDITOR,1,2,5.85,46080,6.714036018719885e+65,6.652786973405672e+65,6.12490453142125e+63,2.0266601046124483e+54,2.571167995089698e+50,2.838678775259856e+49,8.510961124452639e+64,9.39646290992457e+63,9.883403382853852e+48,1.1593981342765285e+49,1.6963288532385906e+50,6.651170309154133e+49,0.027446630003573894,0.012557375957744612,0.0,1.5825070016188546e+49,-1.5825070016188546e+49,31101,46080,2.3995825917204627e+52,1.0005050948016768e+49,5.313982566265323e+50,8.362651233535131e-16,9.134754501916339e-16,0.912946664767681,-1.610618711893742e+48,-3.2451855365842673e+32,0.9908774625063911,14575.474764423527,1.1278620994189366,0.0004702616949280723,0.024977008727032117,9.057622220232828,0.12020935115677327
RECOMBINATION_WEIGHTED_AUDITOR,2,1,5.75,46080,1.1957030573716283e+66,1.1825185004353121e+66,1.3184556936316046e+64,3.5610067031304995e+54,3.363679800289671e+50,5.490716003486245e+49,1.1549547414569161e+65,1.885294932553834e+64,1.650857500761555e+49,2.200396882711868e+49,1.8693321414003944e+50,8.838279021543839e+49,0.05727465753439412,0.026232714402515463,1.5269650181637e+51,0.0,1.5269650181637e+51,28458,46080,2.2484951590495303e+52,1.6755293840402696e+49,8.318673913245995e+50,8.2933101494838e-16,9.006383534163504e-16,0.8662801448128001,-1.960868231815858e+48,-6.490371073168535e+32,0.988973385277363,14380.530572471062,0.593434217582399,0.00044221419159050693,0.02195506503610625,6.1261223457085645,0.1994332300565003
RECOMBINATION_WEIGHTED_AUDITOR,2,2,5.75,46080,1.1375815617910119e+66,1.123290058845066e+66,1.4291502945946083e+64,3.367537044140764e+54,3.2540835571006177e+50,5.735866210856724e+49,1.1173237217902516e+65,1.9694698276634388e+64,1.5736217479768403e+49,2.2953639135522314e+49,1.837901265858493e+50,9.253427630471681e+49,0.056311643743104975,0.027464908460437643,0.0,1.692725209305849e+50,-1.692725209305849e+50,28691,46080,2.008875588564192e+52,1.600437725366326e+49,7.630589969774622e+50,7.975378853607587e-16,9.270352346527776e-16,0.8528314993076627,-1.975396860192976e+48,-3.2451855365842673e+32,0.987436942171034,14294.049963317242,0.557281292199072,0.0004439767244689129,0.021167986025638325,5.673220813521344,0.20757725886151007
RECOMBINATION_WEIGHTED_AUDITOR,3,1,5.65,46080,5.407717645577101e+65,5.339396295887324e+65,6.83213496897772e+63,1.594238698880095e+54,1.8686409295022401e+50,2.669546004949435e+49,6.659056668621455e+64,9.513148216862381e+63,7.523364549730048e+48,1.1026533769188773e+49,1.1747632598920341e+50,4.879711221373287e+49,0.02391625957228787,0.012326184745082696,0.0,1.6747465440460834e+51,-1.6747465440460834e+51,29745,46080,1.216548377809094e+52,7.652758038527728e+48,3.6282036526219568e+50,8.100909728938693e-16,1.0814149167508315e-15,0.8822790679461119,-1.0246734457803476e+48,-3.2451855365842673e+32,0.9873659547025989,14235.240136797858,0.709936235649212,0.0004465889177371611,0.02117296188376783,6.99984538958202,0.16055156095895853
RECOMBINATION_WEIGHTED_AUDITOR,3,2,5.65,46080,6.188524406046253e+65,6.112419010193245e+65,7.610539585300755e+63,1.8229780831998714e+54,2.1349713671388617e+50,2.9977998786026167e+49,7.60814723428376e+64,1.0682908073793968e+64,8.621571783830263e+48,1.2246521010394905e+49,1.338156134747124e+50,5.482491053523208e+49,0.027242671404111716,0.013848810825729987,2.191072314371457e+50,0.0,2.191072314371457e+50,29716,46080,1.4138373991317425e+52,8.765883473595536e+48,4.13620568555274e+50,8.719836684845741e-16,9.632397282556677e-16,0.8847979266697633,-1.172296190675078e+48,-4.867778304876401e+32,0.9877021740790661,14223.936264034564,0.7209685569511255,0.0004470051762841363,0.021092059427748434,7.121794161036691,0.158916006745432
RECOMBINATION_WEIGHTED_AUDITOR,4,1,5.55,46080,6.859678396727042e+65,6.8061263383884565e+65,5.355205833858478e+63,2.0760265648078792e+54,2.572468916607627e+50,2.412143057696376e+49,9.519514741777403e+64,8.926223072618405e+63,9.649999077226828e+48,1.0630339696477579e+49,1.8162970293028743e+50,6.577519258111941e+49,0.02458273112554283,0.010426678118840925,1.813666795121884e+50,0.0,1.813666795121884e+50,32258,46080,2.9597353740989086e+52,9.752668450011675e+48,5.613944227331649e+50,7.609580404992849e-16,9.219686522730095e-16,0.9307144940821841,-1.3072430139681608e+48,-3.2451855365842673e+32,0.9921932115120533,14613.512305565735,1.3616111374292514,0.0004486665293593576,0.025826663598831515,10.6646614859749,0.09749779011891709
RECOMBINATION_WEIGHTED_AUDITOR,4,2,5.55,46080,7.123058011280247e+65,7.070780023049296e+65,5.2277988230950946e+63,2.178091222558051e+54,2.6466407052815214e+50,2.4066563837340484e+49,9.793990142100707e+64,8.905919436166081e+63,9.939425701117474e+48,1.097416417208606e+49,1.8426792637680163e+50,6.500349630293541e+49,0.024939802334648174,0.010304348888284758,7.117336230730105e+49,0.0,7.117336230730105e+49,31934,46080,3.1406135371917224e+52,1.0038814473753384e+49,6.1725546286698025e+50,8.370335402432671e-16,9.300463005009037e-16,0.933571530017846,-1.3457882013216412e+48,-3.2451855365842673e+32,0.9926607381059985,14765.054073920022,1.3913999521599874,0.000444754052452228,0.027346542684509152,10.997169031563722,0.09654762498893069
