interval_index,substep,z_mid,q_refinement,dt_refined_Myr,neutral_inventory_H_cMpc3,recombination_rate_s_inv_cMpc3,C_original_s_inv_cMpc3,C_refined_s_inv_cMpc3,C_refined_over_original,C_change_relative_to_original,integrated_budget_original_H_cMpc3,integrated_budget_refined_one_substep_H_cMpc3
1,2,5.85,1,10.48924395482891,6.124904531421215e+63,2.3861341513922515e+50,2.5711679950896974e+50,2.5711679950896974e+50,1.0,0.0,8.510961124452638e+64,8.510961124452638e+64
1,2,5.85,2,5.244621977414455,6.124904531421215e+63,2.3861341513922515e+50,2.5711679950896974e+50,2.7562018387871437e+50,1.0719648984628058,0.07196489846280589,8.510961124452638e+64,4.56172578879738e+64
1,2,5.85,4,2.6223109887072273,6.124904531421215e+63,2.3861341513922515e+50,2.5711679950896974e+50,3.1262695261820354e+50,1.2158946953884173,0.21589469538841735,8.510961124452638e+64,2.5871081209697506e+64
1,2,5.85,8,1.3111554943536137,6.124904531421215e+63,2.3861341513922515e+50,2.5711679950896974e+50,3.866404900971819e+50,1.5037542892396405,0.5037542892396405,8.510961124452638e+64,1.599799287055936e+64
2,1,5.75,1,10.880437330974283,1.3184556936316064e+64,2.979693950017201e+50,3.3636798002896704e+50,3.3636798002896704e+50,1.0,0.0,1.154954741456916e+65,1.154954741456916e+65
2,1,5.75,2,5.440218665487142,1.3184556936316064e+64,2.979693950017201e+50,3.3636798002896704e+50,3.74766565056214e+50,1.1141564813153146,0.11415648131531474,1.154954741456916e+65,6.434001554100383e+64
2,1,5.75,4,2.720109332743571,1.3184556936316064e+64,2.979693950017201e+50,3.3636798002896704e+50,4.515637351107079e+50,1.3424694439459444,0.3424694439459445,1.154954741456916e+65,3.8762286238659946e+64
2,1,5.75,8,1.3600546663717854,1.3184556936316064e+64,2.979693950017201e+50,3.3636798002896704e+50,6.051580752196957e+50,1.7990953692072034,0.7990953692072034,1.154954741456916e+65,2.5973421587488004e+64
2,2,5.75,1,10.880437330974283,1.4291502945945996e+64,2.8378591108126317e+50,3.2540835571006177e+50,3.2540835571006177e+50,1.0,0.0,1.1173237217902516e+65,1.1173237217902516e+65
2,2,5.75,2,5.440218665487142,1.4291502945945996e+64,2.8378591108126317e+50,3.2540835571006177e+50,3.670308003388603e+50,1.1279083462315396,0.12790834623153952,1.1173237217902516e+65,6.301193756248558e+64
2,2,5.75,4,2.720109332743571,1.4291502945945996e+64,2.8378591108126317e+50,3.2540835571006177e+50,4.502756895964575e+50,1.3837250386946187,0.3837250386946187,1.1173237217902516e+65,3.865172025421579e+64
2,2,5.75,8,1.3600546663717854,1.4291502945945996e+64,2.8378591108126317e+50,3.2540835571006177e+50,6.167654681116518e+50,1.895358423620777,0.8953584236207771,1.1173237217902516e+65,2.647161160008089e+64
3,1,5.65,1,11.292312457807522,6.832134968977684e+63,1.676919974504598e+50,1.86864092950224e+50,1.86864092950224e+50,1.0,0.0,6.659056668621455e+64,6.659056668621455e+64
3,1,5.65,2,5.646156228903761,6.832134968977684e+63,1.676919974504598e+50,1.86864092950224e+50,2.0603618844998817e+50,1.1025991414245173,0.10259914142451732,6.659056668621455e+64,3.6711350827596113e+64
